Orthogroup	Cardamine_amara	Brassica_napus
OG0000000	evm.model.RL_6.1375	XP_048622406.1
OG0000000	evm.model.RL_6.904, evm.model.RL_8.1136	XP_013658077.1
OG0000000	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582	XP_048621624.1, XP_048626126.1, XP_048609471.1
OG0000000	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512	XP_022563908.1
OG0000000	evm.model.RL_8.1072	XP_048618529.1
OG0000000	evm.model.RL_2.1335	XP_048599884.1, XP_013718283.1
OG0000002	evm.model.RL_5.2510	XP_022558213.1
OG0000002	evm.model.RL_1.3299	XP_048623762.1
OG0000002	evm.model.RL_7.2046, evm.model.RL_4.1699, evm.model.RL_7.2065	XP_022565049.2
OG0000002	evm.model.RL_4.153	XP_048601867.1
OG0000002	evm.model.RL_2.2031	XP_013679867.3
OG0000002	evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607	XP_013689910.2
OG0000003	evm.model.RL_5.2420	XP_048623031.1
OG0000003	evm.model.RL_2.1084	XP_048630494.1
OG0000003	evm.model.RL_2.667, evm.model.RL_2.693, evm.model.RL_7.2022, evm.model.RL_2.688, evm.model.RL_8.1019, evm.model.RL_8.1021, evm.model.RL_1.2656, evm.model.RL_8.1024, evm.model.RL_1.2650, evm.model.RL_8.1013	XP_048627572.1, XP_048627497.1, XP_048630683.1, XP_048627321.1, XP_048630695.1, XP_048628607.1, XP_048629617.1, XP_048619971.1
OG0000003	evm.model.RL_6.633	XP_048611587.1
OG0000003	evm.model.RL_5.2419	XP_048626828.1
OG0000003	evm.model.RL_6.1194	XP_022552131.1, XP_013669317.2
OG0000003	evm.model.RL_6.652	XP_048631220.1, XP_048627963.1
OG0000003	evm.model.RL_7.2059, evm.model.RL_6.676	XP_048628610.1, XP_048628617.1, XP_048611574.1
OG0000003	evm.model.RL_1.2633	XP_048630645.1, XP_013669098.1, XP_048611542.1
OG0000004	evm.model.RL_2.303	XP_048593472.1, XP_048633069.1
OG0000005	evm.model.RL_2.975, evm.model.RL_4.402	XP_048591448.1
OG0000005	evm.model.RL_4.816, evm.model.RL_4.229	XP_013713475.1, XP_013658836.1
OG0000005	evm.model.RL_2.1105	XP_048591512.1
OG0000005	evm.model.RL_1.1903	XP_048630058.1
OG0000005	evm.model.RL_1.3117	XP_048599804.1, XP_022564309.1, XP_048627733.1
OG0000005	evm.model.RL_1.1904, evm.model.RL_2.461	XP_048599654.1, XP_013713504.1, XP_013658645.2
OG0000005	evm.model.RL_2.1096	XP_048601578.1
OG0000006	evm.model.RL_6.444	XP_048609003.1
OG0000006	evm.model.RL_1.2522	XP_048603704.1, XP_048596481.1
OG0000006	evm.model.RL_2.3087, evm.model.RL_5.3322	XP_022553496.1, XP_048591653.1, XP_048610451.1, XP_048612141.1, XP_048624568.1, XP_022549981.2, XP_022552001.1, XP_048601748.1, XP_048606946.1, XP_048609380.1, XP_048610801.1
OG0000006	evm.model.RL_1.817, evm.model.RL_2.785	XP_048606830.1
OG0000006	evm.model.RL_4.552	XP_048601765.1
OG0000006	evm.model.RL_5.2330	XP_048593388.1, XP_048609348.1, XP_048609347.1, XP_013665085.2, XP_048613183.1, XP_048631151.1, XP_048621605.1, XP_048621349.1, XP_048612104.1, XP_048602935.1, XP_048607098.1, XP_048602894.1, XP_022557024.2, XP_048631548.1, XP_013739847.3, XP_048597124.1, XP_048632399.1, XP_048629681.1
OG0000007	evm.model.RL_2.1094	XP_022569889.1
OG0000007	evm.model.RL_2.508	XP_013689641.1
OG0000007	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223	XP_048609270.1
OG0000007	evm.model.RL_2.539	XP_048606193.1, XP_048599926.1, XP_048608923.1, XP_048637623.1, XP_022549744.1, XP_013694951.1, XP_022569685.1, XP_013674205.2, XP_048634083.1, XP_048606175.1, XP_048611825.1, XP_048620110.1, XP_013704630.2, XP_048632995.1, XP_048634091.1, XP_013658983.1, XP_048598085.1, XP_013658904.1, XP_048605398.1, XP_013713691.1
OG0000007	evm.model.RL_2.2279	XP_048624246.1, XP_013709372.2, XP_022553380.1
OG0000007	evm.model.RL_2.556	XP_048591447.1, XP_048605541.1, XP_013678969.2, XP_048596342.1, XP_048621839.1, XP_022549722.2, XP_013658576.2, XP_013745771.2, XP_013690321.2, XP_048599593.1, XP_048599664.1
OG0000008	evm.model.RL_4.1914	XP_048605193.1, XP_048602098.1, XP_013729777.3, XP_048614654.1, XP_048613386.1, XP_013726652.1, XP_048634180.1, XP_048615675.1, XP_048627521.1, XP_048600989.1, XP_013649895.1, XP_048593291.1, XP_048637651.1, XP_048634041.1, XP_048599181.1, XP_048607915.1, XP_048607904.1, XP_013717411.2, XP_013691111.2, XP_013722649.1, XP_048633127.1, XP_048599584.1, XP_048603850.1, XP_048614138.1, XP_022548693.2, XP_022557716.2, XP_048612002.1, XP_048612005.1, XP_048630290.1, XP_048637523.1, XP_048605750.1, XP_048630899.1, XP_048612699.1, XP_048611975.1, XP_048622867.1, XP_022549239.1, XP_048615069.1, XP_048622956.1, XP_048621207.1, XP_048605224.1, XP_048622188.1, XP_022574272.2, XP_048593363.1, XP_048623066.1, XP_022565168.1, XP_048619957.1
OG0000010	evm.model.RL_6.734, evm.model.RL_8.1076	XP_022560075.1
OG0000010	evm.model.RL_5.2592	XP_048605625.1
OG0000010	evm.model.RL_2.396	XP_048602259.1
OG0000010	evm.model.RL_5.2483	XP_013689750.1
OG0000010	evm.model.RL_2.723	XP_048622602.1, XP_048605413.1
OG0000010	evm.model.RL_4.113	XP_013745801.1, XP_048615585.1, XP_022567036.1, XP_048605091.1
OG0000010	evm.model.RL_1.2848	XP_048611974.1
OG0000011	evm.model.RL_6.446	XP_013659705.2, XP_048599380.1, XP_048637426.1, XP_048624045.1, XP_048620495.1, XP_048605761.1, XP_013738651.1, XP_048620327.1, XP_013653955.2, XP_048598012.1, XP_048598119.1, XP_013665132.2, XP_048623694.1, XP_048621704.1, XP_048615584.1, XP_048622963.1, XP_022560000.2, XP_022556483.2, XP_022552299.1, XP_048622694.1, XP_022552139.2, XP_013658487.1, XP_048623617.1, XP_048635024.1, XP_048599617.1, XP_048612614.1, XP_048600528.1, XP_013690055.1, XP_048623729.1, XP_048602105.1, XP_013726425.1, XP_048622519.1, XP_022571427.1, XP_048611788.1, XP_013673712.1, XP_048613543.1, XP_013646120.2, XP_013723816.1, XP_048611936.1, XP_022570022.2, XP_048610411.1, XP_048613120.1, XP_022564313.2, XP_048615529.1, XP_048623978.1, XP_048598115.1, XP_013739031.1, XP_013669164.1, XP_022564938.2, XP_048605143.1, XP_013694454.1, XP_048615558.1, XP_048620274.1, XP_048630039.1, XP_013694905.1, XP_048599633.1, XP_013658351.1, XP_013700275.2, XP_048623742.1, XP_022557706.2, XP_048605310.1, XP_013674260.2, XP_013673871.2, XP_013711594.2, XP_048599938.1, XP_048599866.1, XP_022556449.1, XP_013668512.1, XP_048604715.1, XP_022562514.1, XP_013721125.1, XP_048596352.1, XP_013745969.2, XP_048596557.1, XP_048599923.1, XP_048622827.1, XP_048637633.1, XP_013700423.1, XP_048605917.1, XP_048624119.1, XP_013665471.2, XP_048620021.1, XP_048601344.1, XP_048616593.1, XP_013673600.2, XP_022557474.2, XP_048603707.1, XP_022569514.1, XP_048638510.1, XP_013721574.1, XP_048605555.1, XP_022571312.1, XP_013668590.2, XP_048605160.1, XP_013711654.1, XP_048630989.1, XP_048599557.1, XP_048615826.1, XP_048612540.1, XP_013668567.2, XP_048615923.1, XP_013694209.2
OG0000012	evm.model.RL_4.165	XP_048613104.1
OG0000012	evm.model.RL_7.2040	XP_048630875.1, XP_048604176.1
OG0000012	evm.model.RL_5.2583	XP_048633152.1
OG0000012	evm.model.RL_6.730, evm.model.RL_5.2582	XP_022552307.2
OG0000012	evm.model.RL_2.748	XP_048605550.1, XP_013729012.2
OG0000012	evm.model.RL_3.685	XP_048596427.1
OG0000012	evm.model.RL_2.3	XP_048622736.1, XP_013708269.2, XP_048621865.1, XP_048599599.1, XP_048605626.1, XP_048623965.1, XP_013689439.2, XP_013694857.2, XP_048623929.1, XP_048599867.1, XP_048605149.1, XP_048623958.1, XP_013688786.1, XP_048611444.1, XP_048613196.1, XP_048599881.1, XP_048622618.1, XP_022569359.2, XP_013658500.2
OG0000013	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641	XP_013700535.1, XP_013700318.1, XP_048615689.1, XP_013673894.2, XP_048620109.1, XP_013713592.1, XP_048603843.1, XP_048603078.1, XP_048617046.1, XP_048626973.1, XP_048600408.1, XP_048605631.1, XP_048622706.1, XP_013651736.2, XP_013665254.2
OG0000013	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358	XP_013673830.1
OG0000013	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397	XP_013669126.1, XP_013657861.1, XP_013680128.1, XP_048623792.1, XP_048627540.1, XP_048627019.1, XP_013654293.1, XP_013719470.1, XP_048628567.1, XP_013673938.1, XP_048599702.1, XP_048623790.1, XP_013657845.1, XP_013674358.1, XP_048611696.1, XP_013731674.1, XP_048620209.1, XP_048622591.1, XP_048613189.1, XP_013680096.1, XP_048599805.1, XP_048590782.1, XP_013695068.1, XP_048611913.1, XP_013709233.2, XP_013700181.2, XP_013715874.2, XP_048623780.1, XP_048622700.1, XP_048611935.1, XP_048604998.1, XP_048604852.1, XP_048611575.1, XP_048626950.1, XP_013745730.1, XP_013689885.1, XP_013709546.1, XP_048623897.1, XP_013658724.1, XP_048599858.1, XP_048626494.1, XP_048637553.1, XP_048613190.1, XP_048595147.1, XP_048611591.1, XP_013695057.1, XP_048622786.1, XP_048605855.1, XP_048596261.1, XP_048619839.1, XP_048599844.1, XP_048605676.1, XP_013705952.3, XP_048599685.1, XP_048605016.1, XP_048613311.1, XP_048605019.1, XP_048608870.1, XP_013689149.2, XP_048604885.1, XP_048599929.1, XP_048613405.1, XP_013721758.1, XP_048611835.1, XP_013689890.1, XP_048627565.1, XP_048598108.1, XP_013720996.1, XP_013654288.1, XP_013688904.1, XP_048611534.1, XP_048599780.1, XP_013700321.1
OG0000013	evm.model.RL_6.796	XP_013651123.1, XP_013699897.1, XP_013729113.2, XP_048608937.1, XP_048619944.1
OG0000014	evm.model.RL_3.2282	XP_022552432.1
OG0000014	evm.model.RL_1.2917	XP_048593366.1, XP_013658387.1, XP_013674050.1, XP_013673957.1, XP_013665229.1, XP_013729439.2, XP_048611726.1, XP_013704117.1, XP_022562283.2, XP_013658625.2, XP_013650466.1
OG0000014	evm.model.RL_3.2283	XP_013708671.1, XP_048624069.1, XP_013658227.1, XP_048599863.1, XP_048604671.1, XP_048624017.1, XP_048604978.1, XP_048613067.1, XP_013689140.2, XP_048615831.1, XP_048620011.1, XP_048613476.1
OG0000015	evm.model.RL_4.1006	XP_048622603.1
OG0000015	evm.model.RL_7.2535	XP_048613565.1, XP_048634846.1, XP_048611773.1, XP_048616950.1, XP_048602698.1, XP_048622170.1
OG0000015	evm.model.RL_1.2714	XP_048623927.1, XP_013645200.2, XP_048611390.1, XP_048606234.1
OG0000015	evm.model.RL_8.879	XP_048595752.1, XP_048605580.1
OG0000017	evm.model.RL_7.1516	XP_048615612.1, XP_048610757.1, XP_022559532.2
OG0000017	evm.model.RL_3.2130	XP_048603682.1
OG0000019	evm.model.RL_7.2531	XP_048621485.1
OG0000019	evm.model.RL_1.2654	XP_022557639.1, XP_048592640.1, XP_048625519.1, XP_013658536.1, XP_048593485.1, XP_048624077.1
OG0000019	evm.model.RL_7.2268	XP_022564361.1, XP_048596600.1, XP_013745161.1, XP_048620186.1, XP_048604827.1, XP_022571038.1, XP_022562585.2, XP_048593373.1, XP_013658360.2, XP_013674258.2, XP_048596246.1
OG0000020	evm.model.RL_8.674	XP_013694335.2
OG0000020	evm.model.RL_8.1178	XP_048605650.1
OG0000020	evm.model.RL_2.3364	XP_022562274.2, XP_048616652.1, XP_022567210.2, XP_013726427.2, XP_048634160.1, XP_013745514.1, XP_048605186.1, XP_048620230.1, XP_048623769.1, XP_013679767.1, XP_048621666.1, XP_013745491.2, XP_013650967.1, XP_048591571.1, XP_048626859.1, XP_048613161.1, XP_013658586.2, XP_048611725.1, XP_013699854.1, XP_022562366.2, XP_048620316.1, XP_013732066.2, XP_013674089.2, XP_048605043.1, XP_048599908.1, XP_048619511.1, XP_048611724.1, XP_048611452.1, XP_048603603.1, XP_048605540.1, XP_048595588.1, XP_048596917.1, XP_048596183.1, XP_048613160.1, XP_048626856.1, XP_048600450.1, XP_048620012.1, XP_048608714.1, XP_048615699.1, XP_048611812.1, XP_013709011.1, XP_048604246.1, XP_048604535.1
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444	XP_048615773.1, XP_048620188.1, XP_022552080.1, XP_013694633.1
OG0000021	evm.model.RL_5.2428	XP_022553574.1
OG0000021	evm.model.RL_6.1178, evm.model.RL_5.2234	XP_013709779.2, XP_013713803.1
OG0000021	evm.model.RL_3.587	XP_048596309.1, XP_048626541.1
OG0000021	evm.model.RL_2.653	XP_048622704.1
OG0000021	evm.model.RL_1.2419	XP_013678980.1
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	XP_013713376.1, XP_013661539.2, XP_013727601.1, XP_048620920.1, XP_048615710.1, XP_013708382.1, XP_013700007.2, XP_048604811.1, XP_048611847.1, XP_048620273.1, XP_013658199.2, XP_048604627.1, XP_048611960.1, XP_048604719.1, XP_048622881.1, XP_013704354.2, XP_013700069.1, XP_013700070.1, XP_013720866.1, XP_022557494.1, XP_022574317.2, XP_013717736.1, XP_013713632.1, XP_013745275.1
OG0000023	evm.model.RL_2.1848	XP_013697411.2, XP_013738434.2, XP_013738445.2, XP_022570725.1
OG0000023	evm.model.RL_2.1849	XP_048601630.1, XP_048597054.1, XP_048601629.1, XP_013737521.2, XP_048601631.1
OG0000023	evm.model.RL_2.1831	XP_013661254.1, XP_013737516.2
OG0000023	evm.model.RL_2.1843	XP_048633858.1
OG0000023	evm.model.RL_2.1842	XP_013694257.1, XP_013737657.1, XP_048612374.1
OG0000023	evm.model.RL_8.636	XP_048625802.1, XP_048632003.1
OG0000023	evm.model.RL_2.1840	XP_022573115.2
OG0000023	evm.model.RL_8.624, evm.model.RL_8.626, evm.model.RL_8.623, evm.model.RL_8.630	XP_013718638.2
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	XP_022572340.2, XP_048632570.1, XP_013690743.1
OG0000023	evm.model.RL_2.1825.3.687c86e4	XP_013710801.1, XP_013717353.1
OG0000023	evm.model.RL_2.1841, evm.model.RL_2.1826	XP_048605876.1
OG0000025	evm.model.RL_2.3111	XP_022546346.2, XP_048630650.1, XP_013674435.1, XP_048627723.1, XP_013674438.1, XP_022563912.2
OG0000026	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710	XP_013660801.2, XP_013693183.2
