Orthogroup	Cardamine_amara	Alyssum_gmelinii
OG0000000	evm.model.RL_2.738, evm.model.RL_4.733, evm.model.RL_1.3301	Ag002G167150
OG0000000	evm.model.RL_2.1335, evm.model.RL_5.2579, evm.model.RL_3.1102, evm.model.RL_6.1374	Ag007G637890, Ag001G032720
OG0000000	evm.model.RL_7.1901, evm.model.RL_2.681	Ag001G036200, Ag019G743060
OG0000003	evm.model.RL_2.1084	Ag001G024370
OG0000003	evm.model.RL_6.1194	Ag007G591720
OG0000003	evm.model.RL_2.548, evm.model.RL_2.709	Ag004G365940
OG0000003	evm.model.RL_6.652	Ag001G046010
OG0000003	evm.model.RL_1.2661, evm.model.RL_1.2660, evm.model.RL_2.686, evm.model.RL_6.663, evm.model.RL_2.668, evm.model.RL_3.810, evm.model.RL_7.2055, evm.model.RL_6.631, evm.model.RL_7.2059, evm.model.RL_6.676, evm.model.RL_1.2633	Ag007G647490
OG0000004	evm.model.RL_2.303	Ag002G133140, Ag008G711060, Ag006G542780, Ag002G121010, Ag006G552510, Ag004G374310
OG0000004	evm.model.RL_2.401	Ag005G427550
OG0000005	evm.model.RL_4.816, evm.model.RL_4.229	Ag008G703520
OG0000005	evm.model.RL_8.2917	Ag005G452100
OG0000005	evm.model.RL_1.1902	Ag005G434290
OG0000005	evm.model.RL_1.3117	Ag003G254650, Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920
OG0000005	evm.model.RL_2.1096	Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130
OG0000007	evm.model.RL_2.1094	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220
OG0000007	evm.model.RL_2.508	Ag001G051310, Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540
OG0000007	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223	Ag008G681210
OG0000007	evm.model.RL_1.2700, evm.model.RL_2.507	Ag005G466650
OG0000007	evm.model.RL_2.539	Ag006G520850, Ag003G220210, Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480
OG0000007	evm.model.RL_2.2279	Ag001G006450, Ag006G516390, Ag001G011750, Ag004G330770, Ag002G136200, Ag001G003030
OG0000008	evm.model.RL_7.1211	Ag001G015890
OG0000012	evm.model.RL_4.165	Ag005G452520, Ag007G638410, Ag007G621260, Ag005G417190, Ag003G250790
OG0000012	evm.model.RL_7.2040	Ag003G250900
OG0000012	evm.model.RL_3.685	Ag002G161720
OG0000013	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358	Ag004G396400, Ag004G380450
OG0000015	evm.model.RL_1.3215	Ag008G676660
