Orthogroup	Cardamine_amara	Cardamine_hirsuta
OG0000005	evm.model.RL_2.975	CARHR034640
OG0000005	evm.model.RL_4.402	CARHR017910
OG0000005	evm.model.RL_4.816, evm.model.RL_4.229	CARHR145720
OG0000005	evm.model.RL_7.1952, evm.model.RL_8.339	CARHR217600
OG0000006	evm.model.RL_6.444	CARHR216870, CARHR256390, CARHR115290, CARHR262640
OG0000006	evm.model.RL_1.2522	CARHR052510, CARHR150730
OG0000006	evm.model.RL_4.552	CARHR055190, CARHR182530
OG0000007	evm.model.RL_5.2474	CARHR166210, CARHR219900
OG0000007	evm.model.RL_8.1027, evm.model.RL_5.2316, evm.model.RL_1.2701	CARHR219240
OG0000008	evm.model.RL_7.2148, evm.model.RL_2.761	CARHR217630
OG0000008	evm.model.RL_7.1211	CARHR161340, CARHR161350
OG0000011	evm.model.RL_1.2267	CARHR060340
OG0000013	evm.model.RL_6.758	CARHR218430, CARHR058120
OG0000013	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641	CARHR259710, CARHR057870, CARHR288340
OG0000013	evm.model.RL_4.752	CARHR287550
OG0000015	evm.model.RL_1.3215	CARHR258200
OG0000015	evm.model.RL_1.2713, evm.model.RL_1.2714	CARHR055900
OG0000017	evm.model.RL_7.1516	CARHR213120
OG0000017	evm.model.RL_3.2130	CARHR049310, CARHR034150
OG0000019	evm.model.RL_7.2531	CARHR259400
OG0000020	evm.model.RL_7.2127	CARHR159320, CARHR180190
OG0000020	evm.model.RL_8.674	CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870
OG0000020	evm.model.RL_8.1178	CARHR217640, CARHR108030
OG0000020	evm.model.RL_7.1677, evm.model.RL_7.2128	CARHR154170
OG0000023	evm.model.RL_2.1848	CARHR057450
OG0000023	evm.model.RL_2.1849	CARHR230660
OG0000023	evm.model.RL_2.1831	CARHR230450
OG0000023	evm.model.RL_2.1843	CARHR230510
OG0000023	evm.model.RL_2.1842	CARHR230500
OG0000023	evm.model.RL_8.636	CARHR255040
OG0000023	evm.model.RL_2.1840	CARHR254960, CARHR254930
OG0000023	evm.model.RL_2.1839	CARHR230410
OG0000023	evm.model.RL_8.624	CARHR254920
OG0000023	evm.model.RL_8.626	CARHR254910
OG0000023	evm.model.RL_8.630	CARHR254880
OG0000023	evm.model.RL_2.1829	CARHR230390
OG0000023	evm.model.RL_2.1830	CARHR230400
OG0000023	evm.model.RL_2.1825.3.687c86e4	CARHR230300
OG0000023	evm.model.RL_2.1841	CARHR254990
OG0000023	evm.model.RL_2.1827	CARHR230350
OG0000025	evm.model.RL_2.872	CARHR100780
OG0000025	evm.model.RL_8.1541	CARHR267830
OG0000025	evm.model.RL_2.3111	CARHR244240
OG0000025	evm.model.RL_8.1529	CARHR203520, CARHR028780
OG0000027	evm.model.RL_3.649, evm.model.RL_7.2276	CARHR148710
OG0000027	evm.model.RL_5.2839	CARHR045190, CARHR030410, CARHR030440, CARHR030470
OG0000027	evm.model.RL_7.580	CARHR168020
OG0000028	evm.model.RL_4.1689	CARHR116610, CARHR153140
OG0000029	evm.model.RL_2.306	CARHR287660
OG0000029	evm.model.RL_5.2382	CARHR183060
OG0000030	evm.model.RL_7.2074	CARHR181500
OG0000031	evm.model.RL_3.204	CARHR055270
OG0000031	evm.model.RL_3.758	CARHR048810, CARHR051050
OG0000031	evm.model.RL_3.205	CARHR048190, CARHR051150
OG0000032	evm.model.RL_1.3084	CARHR257880
OG0000033	evm.model.RL_2.1834, evm.model.RL_2.1824	CARHR230270
OG0000033	evm.model.RL_2.1828	CARHR230320
OG0000033	evm.model.RL_2.1847	CARHR230570, CARHR230590, CARHR230540
OG0000033	evm.model.RL_2.1846	CARHR230620
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	CARHR230230
OG0000033	evm.model.RL_3.424, evm.model.RL_3.1278	CARHR230600, CARHR230550, CARHR255000, CARHR230610
OG0000033	evm.model.RL_8.413	CARHR252350
OG0000038	evm.model.RL_7.1446	CARHR158480, CARHR158470, CARHR158440
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	CARHR265450
OG0000040	evm.model.RL_7.2097	CARHR260760, CARHR260790
OG0000040	evm.model.RL_2.1272	CARHR158530
OG0000040	evm.model.RL_3.1121	CARHR059990, CARHR060010
OG0000043	evm.model.RL_2.730	CARHR056220, CARHR105040
OG0000043	evm.model.RL_6.792	CARHR221160, CARHR034710, CARHR057830, CARHR284340, CARHR219040, CARHR182000, CARHR104410, CARHR218070, CARHR153240
OG0000044	evm.model.RL_4.607, evm.model.RL_6.541	CARHR117470
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	CARHR159290, CARHR150320
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338	CARHR286710, CARHR217190, CARHR273180
OG0000044	evm.model.RL_8.226	CARHR152970
OG0000044	evm.model.RL_2.659	CARHR057390, CARHR183570, CARHR116100, CARHR107370
OG0000046	evm.model.RL_2.391	CARHR214340
OG0000046	evm.model.RL_2.1379	CARHR225000, CARHR225010
OG0000046	evm.model.RL_3.1072	CARHR059270
OG0000046	evm.model.RL_3.1077	CARHR059250
OG0000046	evm.model.RL_3.1059	CARHR059070
OG0000046	evm.model.RL_3.1065	CARHR059130
OG0000046	evm.model.RL_2.398	CARHR214400
OG0000052	evm.model.RL_5.167	CARHR002800
OG0000052	evm.model.RL_8.2684	CARHR109310, CARHR260850
OG0000052	evm.model.RL_6.1412	CARHR127280
OG0000052	evm.model.RL_6.2368	CARHR137550
OG0000052	evm.model.RL_8.741	CARHR256260
OG0000053	evm.model.RL_1.2655	CARHR152130, CARHR102470, CARHR286550
OG0000054	evm.model.RL_1.2395	CARHR056490
OG0000055	evm.model.RL_3.282	CARHR050220
OG0000055	evm.model.RL_3.286	CARHR050320
OG0000055	evm.model.RL_3.285	CARHR049970
OG0000055	evm.model.RL_3.288	CARHR050330
OG0000056	evm.model.RL_1.2423, evm.model.RL_1.2416	CARHR153090
OG0000056	evm.model.RL_8.1064	CARHR260200
OG0000056	evm.model.RL_7.2479	CARHR119870
OG0000056	evm.model.RL_8.880	CARHR219260
OG0000056	evm.model.RL_8.260	CARHR049910
OG0000057	evm.model.RL_1.2123	CARHR096180, CARHR096160
OG0000057	evm.model.RL_1.2359	CARHR100820, CARHR222490
OG0000058	evm.model.RL_2.1104, evm.model.RL_1.2538	CARHR153550
OG0000058	evm.model.RL_6.525, evm.model.RL_2.462, evm.model.RL_7.2216	CARHR071180
OG0000061	evm.model.RL_6.2768	CARHR217030
OG0000061	evm.model.RL_8.1041	CARHR258030
OG0000062	evm.model.RL_7.2113	CARHR218140, CARHR115840
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	CARHR100910
OG0000062	evm.model.RL_1.3086, evm.model.RL_2.842	CARHR256350
OG0000063	evm.model.RL_7.1014	CARHR273260
OG0000063	evm.model.RL_8.2072	CARHR163630
OG0000063	evm.model.RL_7.1774, evm.model.RL_6.981, evm.model.RL_5.633	CARHR121870
OG0000064	evm.model.RL_5.1832	CARHR020490
OG0000065	evm.model.RL_2.692, evm.model.RL_1.2797	CARHR184170
OG0000066	evm.model.RL_3.1975	CARHR069000, CARHR096450, CARHR058350
OG0000066	evm.model.RL_5.781, evm.model.RL_8.2623	CARHR202910
OG0000066	evm.model.RL_4.2540, evm.model.RL_8.2622	CARHR279310
OG0000067	evm.model.RL_4.3294.1.687c86de	CARHR210960
OG0000067	evm.model.RL_4.3219, evm.model.RL_4.3254	CARHR210190
OG0000067	evm.model.RL_3.1500, evm.model.RL_3.1537	CARHR064230
OG0000071	evm.model.RL_6.355	CARHR055550
OG0000071	evm.model.RL_4.341	CARHR082570
OG0000073	evm.model.RL_2.1159	CARHR222470
OG0000073	evm.model.RL_4.629	CARHR116350
OG0000073	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd	CARHR174840
OG0000073	evm.model.RL_6.501	CARHR116330
OG0000073	evm.model.RL_4.150	CARHR175070, CARHR176980
OG0000073	evm.model.RL_5.2720	CARHR292230
OG0000073	evm.model.RL_4.175	CARHR175090
OG0000074	evm.model.RL_5.3415	CARHR023950
OG0000075	evm.model.RL_1.2966	CARHR014740
OG0000075	evm.model.RL_5.729	CARHR010320
OG0000076	evm.model.RL_7.1484	CARHR157840
OG0000076	evm.model.RL_8.1070	CARHR162550
OG0000076	evm.model.RL_6.1653	CARHR121130, CARHR148040, CARHR278910
OG0000077	evm.model.RL_4.914	CARHR286200, CARHR286190
OG0000077	evm.model.RL_4.878	CARHR286160
OG0000077	evm.model.RL_2.3382	CARHR247160
OG0000077	evm.model.RL_2.1487	CARHR146390, CARHR254570, CARHR083750
OG0000077	evm.model.RL_2.3381	CARHR247140
OG0000079	evm.model.RL_7.465	CARHR169300
OG0000079	evm.model.RL_1.227	CARHR182570
OG0000079	evm.model.RL_7.464	CARHR214210
OG0000080	evm.model.RL_2.499	CARHR215660
OG0000080	evm.model.RL_5.2173	CARHR038000
OG0000080	evm.model.RL_6.1107	CARHR123150, CARHR123070
OG0000081	evm.model.RL_6.922	CARHR121110
OG0000081	evm.model.RL_5.1972	CARHR040920
OG0000083	evm.model.RL_1.2208	CARHR099030
OG0000084	evm.model.RL_6.376	CARHR117870, CARHR117890, CARHR116980
OG0000084	evm.model.RL_6.397	CARHR116880, CARHR117860
OG0000084	evm.model.RL_6.313	CARHR117880
OG0000086	evm.model.RL_8.2048	CARHR050760, CARHR273290
OG0000086	evm.model.RL_3.615	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420
OG0000086	evm.model.RL_4.2411	CARHR201440
OG0000086	evm.model.RL_4.2410	CARHR250740
OG0000087	evm.model.RL_4.1345	CARHR189700
OG0000087	evm.model.RL_6.1057	CARHR122890
OG0000087	evm.model.RL_7.1685	CARHR155480
OG0000087	evm.model.RL_8.2340	CARHR276490
OG0000087	evm.model.RL_4.2360	CARHR200860
OG0000087	evm.model.RL_6.1567	CARHR128920
OG0000087	evm.model.RL_4.428	CARHR178800
OG0000087	evm.model.RL_2.1599	CARHR227450
OG0000087	evm.model.RL_5.1831	CARHR020480
OG0000087	evm.model.RL_3.1990	CARHR069200
OG0000088	evm.model.RL_7.1629	CARHR155740, CARHR155710, CARHR155700, CARHR156270
OG0000088	evm.model.RL_8.1137	CARHR262970
OG0000089	evm.model.RL_4.2603	CARHR203590
OG0000089	evm.model.RL_1.1121	CARHR086670
OG0000089	evm.model.RL_7.1725, evm.model.RL_8.2019	CARHR285740
OG0000090	evm.model.RL_5.1846	CARHR020650
OG0000090	evm.model.RL_4.706	CARHR284690
OG0000090	evm.model.RL_3.2006	CARHR069500
OG0000090	evm.model.RL_2.2972	CARHR288810
OG0000090	evm.model.RL_7.2545	CARHR145520, CARHR145510
OG0000090	evm.model.RL_7.2013, evm.model.RL_7.2546	CARHR145500, CARHR145480
OG0000090	evm.model.RL_5.885	CARHR010350
OG0000091	evm.model.RL_4.825	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050
OG0000091	evm.model.RL_6.574	CARHR221560
OG0000093	evm.model.RL_7.523	CARHR168740
OG0000093	evm.model.RL_7.525	CARHR168710
OG0000093	evm.model.RL_7.532	CARHR168600, CARHR168590, CARHR259860, CARHR168580
OG0000096	evm.model.RL_7.2530	CARHR145650
OG0000096	evm.model.RL_4.275	CARHR176420
OG0000096	evm.model.RL_3.627	CARHR054510
OG0000096	evm.model.RL_4.362	CARHR177990
OG0000096	evm.model.RL_8.633	CARHR254980, CARHR254940
OG0000096	evm.model.RL_4.324	CARHR112190, CARHR177280
OG0000097	evm.model.RL_8.392	CARHR252060
OG0000097	evm.model.RL_8.388	CARHR252050
OG0000097	evm.model.RL_8.395	CARHR252100
OG0000098	evm.model.RL_3.229	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830, CARHR048210, CARHR049300
