Orthogroup	Cardamine_amara	Conringia_planisiliqua
OG0000000	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1
OG0000000	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512, evm.model.RL_2.738, evm.model.RL_4.733, evm.model.RL_1.3301, evm.model.RL_8.1072	CP3_g15530_DN1_SP0_c.t1
OG0000002	evm.model.RL_1.3300, evm.model.RL_1.3293	CP3_g16174_DN2_SP0_c.t1
OG0000002	evm.model.RL_7.2065	CP4_g26489_DN1_SP0_c.t1
OG0000003	evm.model.RL_5.2420	CP3_g15228_DN2_SP0_c.t1
OG0000003	evm.model.RL_5.2419	CP1_g39873_DN1_SP0_c.t1
OG0000003	evm.model.RL_6.671, evm.model.RL_8.1012, evm.model.RL_2.708	CP72_g12646_DN1_SP0_c.t1
OG0000004	evm.model.RL_2.303	CP6_g8613_DN2_SP0_c.t1, CP6_g8047_DN1_SP0_c.t1, CP15_g35744_DN2_SP0_c.t1, CP2_g49699_DN2_SP0_c.t1, CP17_g5130_DN2_SP0_c.t1
OG0000005	evm.model.RL_1.1902	CP12_g31672_DN2_SP0_c.t1
OG0000005	evm.model.RL_1.3117	CP18_g12172_DN1_SP0_c.t1
OG0000005	evm.model.RL_1.1904, evm.model.RL_2.461	CP4_g26231_DN1_SP0_c.t1
OG0000005	evm.model.RL_2.1096	CP9_g27694_DN1_SP0_c.t1
OG0000006	evm.model.RL_7.1936, evm.model.RL_4.552, evm.model.RL_3.2052, evm.model.RL_4.553, evm.model.RL_5.578	CP8_g52162_DN2_SP0_c.t1
OG0000007	evm.model.RL_2.1094	CP2_g50571_DN2_SP0_c.t1
OG0000007	evm.model.RL_5.2474, evm.model.RL_8.1027, evm.model.RL_5.2316, evm.model.RL_1.2701, evm.model.RL_2.506	CP18_g12262_DN2_SP0_c.t1
OG0000007	evm.model.RL_2.508	CP2_g49679_DN1_SP0_c.t1, CP6_g9325_DN2_SP0_c.t1, CP5_g2385_DN1_SP0_c.t1
OG0000007	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223	CP3_g14603_DN1_SP0_c.t1, CP8_g52821_DN1_SP0_c.t1
OG0000007	evm.model.RL_2.539	CP2_g50561_DN2_SP0_c.t1
OG0000007	evm.model.RL_4.557, evm.model.RL_2.1095	CP13_g20778_DN3_SP0_c.t1
OG0000007	evm.model.RL_2.2279	CP84_g51831_DN2_SP0_c.t1, CP5_g2386_DN1_SP0_c.t1, CP7_g44193_DN1_SP0_c.t1, CP18_g12259_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1, CP1_g40811_DN1_SP0_c.t1
OG0000007	evm.model.RL_4.1690, evm.model.RL_7.1569	CP3_g14602_DN2_SP0_c.t1
OG0000007	evm.model.RL_2.556	CP3_g15795_DN1_SP0_c.t1
OG0000008	evm.model.RL_7.2148, evm.model.RL_2.761	CP64_g21088_DN3_SP0_c.t1, CP8_g52854_DN2_SP0_c.t1
OG0000008	evm.model.RL_4.1914	CP5_g2304_DN1_SP0_c.t1
OG0000010	evm.model.RL_1.2848, evm.model.RL_7.2062	CP24_g47323_DN2_SP0_c.t1
OG0000010	evm.model.RL_2.395	CP17_g5733_DN1_SP0_c.t1
OG0000012	evm.model.RL_4.165	CP35_g52033_DN3_SP0_c.t1
OG0000013	evm.model.RL_6.758, evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641, evm.model.RL_5.2507	CP26_g51269_DN2_SP0_c.t1
OG0000013	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358	CP14_g22654_DN2_SP0_c.t1
OG0000015	evm.model.RL_1.3215	CP3_g15767_DN1_SP0_c.t1
OG0000015	evm.model.RL_7.2535	CP22_g17112_DN1_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP9_g27744_DN1_SP0_c.t1
OG0000015	evm.model.RL_2.1121	CP12_g31767_DN3_SP0_c.t1
OG0000015	evm.model.RL_8.879	CP2_g50727_DN3_SP0_c.t1
OG0000017	evm.model.RL_2.1821	CP1_g40651_DN3_SP0_c.t1, CP35_g52005_DN3_SP0_c.t1
OG0000017	evm.model.RL_3.2130	CP6_g9455_DN3_SP0_c.t1
OG0000019	evm.model.RL_7.2531	CP18_g11548_DN1_SP0_c.t1
OG0000020	evm.model.RL_8.1178	CP14_g23530_DN1_SP0_c.t1
OG0000020	evm.model.RL_7.2129	CP5_g3358_DN2_SP0_c.t1
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1
OG0000021	evm.model.RL_6.1178, evm.model.RL_5.2234	CP15_g36147_DN2_SP0_c.t1
OG0000021	evm.model.RL_4.405	CP3_g15821_DN1_SP0_c.t1
OG0000021	evm.model.RL_2.653	CP20_g4089_DN2_SP0_c.t1, CP5_g3095_DN2_SP0_c.t1
OG0000021	evm.model.RL_1.2419	CP2_g50567_DN2_SP0_c.t1
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1, CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1, CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000024	evm.model.RL_7.2066, evm.model.RL_8.1089	CP6_g8243_DN1_SP0_c.t1
OG0000024	evm.model.RL_5.2480	CP3_g16173_DN1_SP0_c.t1
OG0000025	evm.model.RL_8.1529	CP10_g43844_DN3_SP0_c.t1
OG0000026	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710	CP12_g31501_DN2_SP0_c.t1
OG0000027	evm.model.RL_5.2839	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000027	evm.model.RL_7.603, evm.model.RL_7.580	CP3_g13494_DN2_SP0_c.t1
OG0000028	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1
OG0000028	evm.model.RL_4.1689	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1, CP4_g26295_DN2_SP0_c.t1, CP5_g2126_DN1_SP0_c.t1, CP3_g14601_DN2_SP0_c.t1, CP25_g55834_DN2_SP0_c.t1, CP28_g34014_DN2_SP0_c.t1, CP17_g5929_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1, CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1, CP4_g26314_DN1_SP0_c.t1, CP18_g12498_DN1_SP0_c.t1
OG0000029	evm.model.RL_8.656, evm.model.RL_4.797, evm.model.RL_2.306, evm.model.RL_5.2382, evm.model.RL_1.2704	CP22_g17304_DN2_SP0_c.t1
OG0000030	evm.model.RL_5.2342	CP8_g52519_DN1_SP0_c.t1
OG0000033	evm.model.RL_2.1847, evm.model.RL_2.1846, evm.model.RL_2.1820_evm.model.RL_2.1823, evm.model.RL_3.424, evm.model.RL_3.1278, evm.model.RL_8.413	CP16_g55465_DN3_SP1_c.t1
OG0000034	evm.model.RL_5.2588	CP47_g21230_DN1_SP0_c.t1, CP47_g21257_DN2_SP0_c.t1, CP14_g23830_DN3_SP0_c.t1, CP1_g40470_DN3_SP0_c.t1, CP35_g52032_DN1_SP0_c.t1
OG0000034	evm.model.RL_2.4	CP21_g11036_DN2_SP0_c.t1
OG0000034	evm.model.RL_5.2587, evm.model.RL_2.749, evm.model.RL_5.2586, evm.model.RL_2.719, evm.model.RL_6.542, evm.model.RL_4.675, evm.model.RL_7.2041	CP15_g35590_DN3_SP0_c.t1
OG0000036	evm.model.RL_1.2959	CP13_g20701_DN3_SP0_c.t1
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1, CP17_g5406_DN1_SP0_c.t1
OG0000037	evm.model.RL_8.830	CP1_g38898_DN1_SP0_c.t1
OG0000037	evm.model.RL_4.2891, evm.model.RL_5.3695	CP3_g15633_DN2_SP0_c.t1
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	CP8_g53633_DN2_SP0_c.t1
OG0000040	evm.model.RL_7.2097	CP11_g31940_DN3_SP0_c.t1
OG0000040	evm.model.RL_2.1272	CP13_g19590_DN2_SP0_c.t1
OG0000042	evm.model.RL_7.1372	CP5_g2115_DN2_SP0_c.t1
OG0000042	evm.model.RL_3.1047	CP19_g18411_DN2_SP0_c.t1
OG0000042	evm.model.RL_6.2221	CP13_g20255_DN1_SP0_c.t1
OG0000043	evm.model.RL_3.816	CP29_g22024_DN2_SP0_c.t1
OG0000044	evm.model.RL_4.607, evm.model.RL_6.541	CP30_g10197_DN3_SP0_c.t1, CP1_g41420_DN3_SP0_c.t1
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	CP1_g39285_DN1_SP0_c.t1
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002	CP26_g51323_DN1_SP0_c.t1
OG0000045	evm.model.RL_6.267	CP15_g34638_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1
OG0000046	evm.model.RL_3.1077	CP9_g28234_DN3_SP0_c.t1
OG0000046	evm.model.RL_2.393	CP5_g1666_DN1_SP0_c.t1
OG0000049	evm.model.RL_4.948	CP3_g15154_DN3_SP0_c.t1, CP14_g23198_DN3_SP0_c.t1
OG0000052	evm.model.RL_8.2684	CP2_g49334_DN3_SP0_c.t1, CP1_g36582_DN3_SP0_c.t1, CP2_g49248_DN2_SP0_c.t1
OG0000052	evm.model.RL_6.2368	CP9_g28198_DN3_SP0_c.t1
OG0000053	evm.model.RL_1.2655	CP20_g3949_DN2_SP0_c.t1, CP1_g38971_DN3_SP0_c.t1
OG0000054	evm.model.RL_8.912, evm.model.RL_7.2126	CP3_g15706_DN3_SP0_c.t1, CP3_g15691_DN3_SP0_c.t1
OG0000054	evm.model.RL_1.2395	CP5_g2131_DN3_SP0_c.t1
OG0000054	evm.model.RL_1.3123	CP9_g27904_DN3_SP0_c.t1
OG0000055	evm.model.RL_3.277	CP2_g49066_DN2_SP0_c.t1
OG0000056	evm.model.RL_2.634	CP9_g27806_DN2_SP0_c.t1, CP6_g9757_DN2_SP0_c.t1, CP6_g8758_DN1_SP0_c.t1, CP22_g17290_DN2_SP0_c.t1, CP12_g31151_DN1_SP0_c.t1, CP14_g23418_DN2_SP0_c.t1, CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1
OG0000056	evm.model.RL_1.2423	CP4_g26050_DN2_SP0_c.t1
OG0000056	evm.model.RL_8.1064, evm.model.RL_7.2479	CP24_g47158_DN2_SP0_c.t1
OG0000057	evm.model.RL_4.2353	CP10_g42516_DN3_SP0_c.t1
OG0000057	evm.model.RL_1.2359	CP10_g42649_DN3_SP0_c.t1
OG0000058	evm.model.RL_6.526	CP4_g26939_DN1_SP0_c.t1
OG0000059	evm.model.RL_2.445	CP2_g50572_DN1_SP0_c.t1, CP6_g7965_DN2_SP0_c.t1, CP5_g3097_DN2_SP0_c.t1, CP20_g3928_DN2_SP0_c.t1, CP20_g4073_DN2_SP0_c.t1, CP20_g4091_DN1_SP0_c.t1
OG0000059	evm.model.RL_8.1003, evm.model.RL_6.341	CP26_g51324_DN2_SP0_c.t1
OG0000059	evm.model.RL_7.1801	CP13_g20626_DN1_SP0_c.t1
OG0000059	evm.model.RL_6.844	CP50_g6564_DN3_SP0_c.t1
OG0000059	evm.model.RL_7.1802	CP3_g14979_DN3_SP0_c.t1
OG0000059	evm.model.RL_7.2089	CP12_g31581_DN1_SP0_c.t1
OG0000059	evm.model.RL_4.1269	CP5_g3316_DN2_SP0_c.t1
OG0000059	evm.model.RL_6.807	CP15_g36037_DN2_SP0_c.t1
OG0000060	evm.model.RL_4.110	CP4_g26283_DN1_SP0_c.t1
OG0000060	evm.model.RL_3.1064, evm.model.RL_3.817, evm.model.RL_8.1029, evm.model.RL_7.1968	CP1_g40521_DN1_SP0_c.t1, CP6_g8728_DN2_SP0_c.t1, CP15_g34513_DN2_SP0_c.t1, CP26_g51317_DN2_SP0_c.t1, CP28_g33833_DN1_SP0_c.t1, CP5_g3440_DN1_SP0_c.t1, CP23_g21357_DN2_SP0_c.t1, CP18_g11519_DN1_SP0_c.t1, CP7_g44268_DN3_SP0_c.t1, CP8_g52493_DN1_SP0_c.t1, CP18_g11595_DN2_SP0_c.t1, CP6_g9762_DN2_SP0_c.t1, CP17_g6200_DN1_SP0_c.t1, CP28_g33789_DN3_SP0_c.t1, CP15_g35222_DN2_SP0_c.t1, CP4_g26566_DN2_SP0_c.t1, CP1_g39393_DN2_SP0_c.t1, CP9_g27602_DN1_SP0_c.t1, CP35_g52041_DN1_SP0_c.t1, CP3_g16147_DN1_SP0_c.t1, CP29_g22023_DN2_SP0_c.t1, CP23_g21362_DN2_SP0_c.t1, CP14_g23560_DN1_SP0_c.t1, CP1_g40045_DN1_SP0_c.t1, CP1_g39302_DN3_SP0_c.t1, CP14_g23290_DN3_SP0_c.t1, CP2_g50628_DN3_SP0_c.t1, CP1_g40977_DN1_SP0_c.t1, CP3_g15514_DN2_SP0_c.t1, CP3_g16309_DN3_SP0_c.t1, CP17_g5792_DN2_SP0_c.t1, CP18_g12096_DN1_SP0_c.t1, CP7_g44105_DN2_SP0_c.t1, CP15_g35072_DN1_SP0_c.t1, CP18_g11551_DN2_SP0_c.t1, CP6_g8880_DN3_SP0_c.t1, CP27_g41904_DN3_SP0_c.t1, CP23_g21444_DN1_SP0_c.t1, CP3_g16691_DN2_SP0_c.t1, CP2_g50559_DN2_SP0_c.t1, CP17_g4943_DN2_SP0_c.t1, CP28_g33906_DN3_SP0_c.t1, CP17_g6078_DN2_SP0_c.t1, CP33_g3690_DN2_SP0_c.t1, CP1_g38708_DN2_SP0_c.t1, CP59_g6671_DN2_SP0_c.t1, CP15_g34966_DN2_SP0_c.t1, CP24_g47456_DN2_SP0_c.t1, CP23_g21555_DN3_SP0_c.t1, CP23_g21696_DN3_SP0_c.t1, CP115_g10367_DN3_SP0_c.t1, CP23_g21502_DN2_SP0_c.t1, CP3_g16462_DN1_SP0_c.t1, CP3_g16619_DN1_SP0_c.t1, CP3_g16333_DN3_SP0_c.t1, CP6_g9846_DN2_SP0_c.t1, CP1_g40606_DN2_SP0_c.t1, CP6_g9555_DN1_SP0_c.t1, CP3_g16695_DN3_SP0_c.t1, CP4_g26744_DN1_SP0_c.t1
OG0000061	evm.model.RL_6.2768, evm.model.RL_3.1126, evm.model.RL_6.2867, evm.model.RL_7.2504, evm.model.RL_7.1966, evm.model.RL_8.1041	CP1_g40914_DN2_SP0_c.t1
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	CP7_g44287_DN2_SP0_c.t1
OG0000063	evm.model.RL_6.1828	CP1_g37049_DN3_SP0_c.t1, CP3_g14842_DN3_SP0_c.t1
OG0000065	evm.model.RL_2.692, evm.model.RL_1.2797	CP24_g47137_DN2_SP0_c.t1
OG0000066	evm.model.RL_5.781, evm.model.RL_8.2623	CP4_g25642_DN3_SP0_c.t1
OG0000066	evm.model.RL_4.2540, evm.model.RL_8.2622	CP2_g49425_DN3_SP0_c.t1
OG0000067	evm.model.RL_7.2627	CP12_g31237_DN3_SP0_c.t1
OG0000069	evm.model.RL_8.289	CP5_g2097_DN2_SP0_c.t1
OG0000069	evm.model.RL_1.2285	CP20_g3890_DN2_SP0_c.t1
