Orthogroup	Cardamine_amara	Eutrema_salsugineum
OG0000000	evm.model.RL_4.710	XP_024010229.1
OG0000000	evm.model.RL_4.599	XP_024014847.1
OG0000002	evm.model.RL_3.454	XP_024010711.1
OG0000002	evm.model.RL_1.3300, evm.model.RL_1.3293	XP_024010270.1
OG0000002	evm.model.RL_7.2046, evm.model.RL_4.1699, evm.model.RL_7.2065	XP_024013349.1, XP_024007240.1
OG0000003	evm.model.RL_8.1049	XP_024010390.1
OG0000003	evm.model.RL_2.667, evm.model.RL_2.693, evm.model.RL_7.2022, evm.model.RL_2.688, evm.model.RL_8.1019, evm.model.RL_8.1021, evm.model.RL_1.2656, evm.model.RL_8.1024, evm.model.RL_1.2650, evm.model.RL_8.1013	XP_024016833.1
OG0000003	evm.model.RL_6.633	XP_024015858.1
OG0000003	evm.model.RL_5.2494	XP_024015845.1
OG0000003	evm.model.RL_2.548	XP_024010571.1, XP_024010572.1
OG0000003	evm.model.RL_5.2492, evm.model.RL_3.793, evm.model.RL_6.677, evm.model.RL_3.838	XP_024009459.1, XP_024011381.1, XP_024013106.1, XP_024009610.1
OG0000003	evm.model.RL_6.670	XP_024014967.1
OG0000003	evm.model.RL_2.708	XP_024010454.1, XP_024010649.1, XP_024013240.1
OG0000003	evm.model.RL_6.652	XP_024016373.1
OG0000003	evm.model.RL_6.663, evm.model.RL_2.668, evm.model.RL_3.810	XP_024014528.1, XP_024014499.1, XP_024006399.1
OG0000003	evm.model.RL_7.2055, evm.model.RL_6.631	XP_024010472.1
OG0000003	evm.model.RL_7.2059, evm.model.RL_6.676	XP_024013092.1
OG0000003	evm.model.RL_1.2633	XP_024009493.1
OG0000004	evm.model.RL_2.303	XP_024004906.1, XP_024016239.1, XP_024006491.1, XP_024014707.1
OG0000004	evm.model.RL_2.402	XP_024004414.1
OG0000005	evm.model.RL_8.2917	XP_024014307.1, XP_024014469.1, XP_024004940.1
OG0000005	evm.model.RL_1.1086	XP_006404467.1
OG0000005	evm.model.RL_2.461	XP_024016213.1
OG0000006	evm.model.RL_1.2522	XP_024013573.1, XP_024016256.1, XP_024016234.1, XP_024011269.1, XP_024007956.1, XP_024013311.1
OG0000006	evm.model.RL_2.3087, evm.model.RL_5.3322	XP_024011210.1
OG0000006	evm.model.RL_1.817, evm.model.RL_2.785	XP_024006104.1, XP_024004744.1
OG0000007	evm.model.RL_2.556	XP_024009288.1
OG0000008	evm.model.RL_7.2148, evm.model.RL_2.761	XP_024004048.1
OG0000008	evm.model.RL_4.1914	XP_024013171.1, XP_024010288.1, XP_024007970.1, XP_024013997.1, XP_024014486.1, XP_024004792.1, XP_024009495.1, XP_024006454.1, XP_024013969.1, XP_024009322.1, XP_024009407.1, XP_024015209.1, XP_024010682.1, XP_024009967.1, XP_024013989.1, XP_024014489.1
OG0000010	evm.model.RL_6.734, evm.model.RL_8.1076	XP_006408809.2
OG0000010	evm.model.RL_4.113	XP_024011382.1, XP_024005930.1, XP_024013196.1
OG0000010	evm.model.RL_7.2062	XP_024015955.1
OG0000010	evm.model.RL_2.395	XP_024011402.1, XP_024006535.1
OG0000011	evm.model.RL_6.446	XP_024004173.1, XP_024008034.1, XP_024010329.1, XP_024010628.1, XP_024004872.1, XP_024007768.1, XP_024004156.1, XP_024009442.1, XP_024005001.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024006105.1, XP_024006278.1, XP_024007953.1, XP_024015281.1, XP_024006611.1, XP_024011358.1, XP_024016363.1, XP_024004052.1, XP_024006076.1, XP_024004111.1, XP_024013978.1, XP_024010663.1, XP_024004769.1, XP_024016352.1, XP_006390305.1, XP_024004169.1, XP_024013911.1, XP_024005329.1, XP_024004088.1, XP_024013590.1, XP_024007964.1, XP_024004313.1, XP_024006880.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024008044.1, XP_024013764.1, XP_024010049.1, XP_024006429.1, XP_024004131.1, XP_024004751.1, XP_024014256.1
OG0000011	evm.model.RL_1.2267	XP_024010246.1, XP_024010847.1, XP_024006310.1, XP_024014087.1, XP_024006789.1, XP_024013645.1
OG0000012	evm.model.RL_4.165	XP_024016167.1
OG0000012	evm.model.RL_7.2040	XP_024005031.1
OG0000012	evm.model.RL_6.730, evm.model.RL_5.2582	XP_024009473.1
OG0000012	evm.model.RL_2.748	XP_024004033.1
OG0000012	evm.model.RL_2.3	XP_024010406.1
OG0000013	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641	XP_024010313.1
OG0000013	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1
OG0000013	evm.model.RL_6.609	XP_024013112.1
OG0000013	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397	XP_024016668.1, XP_024004795.1, XP_024015926.1, XP_024006469.1, XP_024007909.1, XP_024006481.1, XP_024010423.1, XP_024016274.1
OG0000013	evm.model.RL_6.796	XP_024015867.1
OG0000014	evm.model.RL_1.2917	XP_024006397.1
OG0000014	evm.model.RL_3.2283	XP_024009964.1
OG0000014	evm.model.RL_3.2284	XP_024013181.1, XP_024016301.1, XP_024004089.1
OG0000015	evm.model.RL_4.1006	XP_024012449.1
OG0000015	evm.model.RL_1.3215	XP_024006904.1
OG0000015	evm.model.RL_1.2713, evm.model.RL_1.2714	XP_024009420.1
OG0000015	evm.model.RL_8.879	XP_024006143.1
OG0000017	evm.model.RL_7.1516	XP_024010776.1, XP_024011342.1, XP_024013985.1, XP_024014689.1, XP_024014221.1
OG0000018	evm.model.RL_7.1872	XP_024006639.1, XP_024008232.1
OG0000019	evm.model.RL_7.2531	XP_024016548.1, XP_024004876.1, XP_024003759.1
OG0000019	evm.model.RL_1.2654	XP_024007941.1, XP_024011405.1
