Orthogroup	Cardamine_amara	Odontarrhena_muralis
OG0000000	evm.model.RL_6.432, evm.model.RL_4.710	Om007G305590
OG0000000	evm.model.RL_3.693	Om008G350840
OG0000000	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582	Om004G142780, Om003G104870, Om003G105610
OG0000000	evm.model.RL_2.738, evm.model.RL_4.733, evm.model.RL_1.3301	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450
OG0000000	evm.model.RL_8.1072	Om004G154060, Om009G363570, Om004G177240, Om006G269410
OG0000000	evm.model.RL_2.1335, evm.model.RL_5.2579, evm.model.RL_3.1102, evm.model.RL_6.1374	Om004G155370
OG0000003	evm.model.RL_5.2420, evm.model.RL_2.1084	Om007G276690
OG0000003	evm.model.RL_1.2632	Om003G107890, Om007G304830
OG0000003	evm.model.RL_5.2494	Om005G217810, Om005G210700
OG0000003	evm.model.RL_6.652	Om007G309690, Om008G345700
OG0000003	evm.model.RL_1.2635	Om005G217800, Om004G150180, Om001G017380
OG0000003	evm.model.RL_6.663, evm.model.RL_2.668, evm.model.RL_3.810	Om004G155100
OG0000003	evm.model.RL_7.2055, evm.model.RL_6.631	Om007G309660
OG0000003	evm.model.RL_7.2059, evm.model.RL_6.676, evm.model.RL_1.2633	Om005G217790
OG0000004	evm.model.RL_2.303	Om003G114900, Om004G166890, Om008G350240, Om004G154990, Om007G295840, Om008G361070, Om003G090730, Om008G333050
OG0000004	evm.model.RL_2.401	Om004G151610, Om003G106990
OG0000004	evm.model.RL_2.402	Om004G159780
OG0000005	evm.model.RL_2.975, evm.model.RL_4.402	Om004G139040
OG0000005	evm.model.RL_7.1952, evm.model.RL_8.339	Om001G028590, Om007G295980
OG0000005	evm.model.RL_1.1902	Om006G268760, Om008G339970, Om008G338760, Om003G092950, Om001G028900
OG0000005	evm.model.RL_2.1105	Om007G300990
OG0000005	evm.model.RL_1.1086	Om003G120090, Om004G171760, Om001G040140, Om005G219160, Om004G133100, Om007G278140, Om004G162990, Om002G061770, Om005G208920, Om001G009210, Om003G121940, Om008G357500, Om002G087060
OG0000005	evm.model.RL_1.3117	Om003G112530, Om008G348300
OG0000005	evm.model.RL_1.1904, evm.model.RL_2.461	Om002G076060
OG0000005	evm.model.RL_2.1096	Om006G257980
OG0000007	evm.model.RL_2.1094	Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480
OG0000007	evm.model.RL_3.2011	Om006G249530
OG0000007	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223	Om005G219310, Om006G244810, Om006G267880, Om011G365910, Om003G114390
OG0000007	evm.model.RL_1.2700, evm.model.RL_2.507	Om006G268350
OG0000007	evm.model.RL_2.539	Om007G297600, Om005G190610, Om004G164520, Om006G258000
OG0000007	evm.model.RL_2.2279	Om008G348570, Om007G299940, Om006G268360, Om002G076040
OG0000008	evm.model.RL_4.1914	Om007G284450, Om008G361640, Om007G313430
OG0000010	evm.model.RL_7.2083, evm.model.RL_3.1061, evm.model.RL_2.724, evm.model.RL_2.751, evm.model.RL_2.615, evm.model.RL_2.220, evm.model.RL_7.2000, evm.model.RL_3.814, evm.model.RL_7.1970	Om006G235910
OG0000010	evm.model.RL_6.734, evm.model.RL_8.1076	Om008G341420
OG0000010	evm.model.RL_4.113	Om003G108840
OG0000011	evm.model.RL_1.2267	Om005G184900
OG0000012	evm.model.RL_4.165	Om004G146180
OG0000012	evm.model.RL_6.730, evm.model.RL_5.2582	Om008G343540
OG0000013	evm.model.RL_5.2507	Om008G350670
OG0000013	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358	Om002G088760, Om001G031100, Om003G113450, Om006G258780
OG0000013	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397	Om002G089030
OG0000013	evm.model.RL_6.796	Om003G108850, Om006G268640
OG0000014	evm.model.RL_3.2284	Om008G343710
OG0000015	evm.model.RL_1.3215	Om008G350280
OG0000015	evm.model.RL_2.1121	Om003G105790, Om004G154560
OG0000015	evm.model.RL_8.879	Om007G305020
OG0000015	evm.model.RL_4.1007	Om002G088840
OG0000017	evm.model.RL_7.1888	Om003G112310, Om004G148090
OG0000017	evm.model.RL_6.717	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040
OG0000017	evm.model.RL_7.1516	Om003G101880, Om004G153720
OG0000018	evm.model.RL_4.1915, evm.model.RL_6.190, evm.model.RL_7.1872	Om008G335480, Om007G284460, Om008G361630
OG0000020	evm.model.RL_7.2127	Om007G308530, Om007G308500
OG0000020	evm.model.RL_2.3364	Om008G361920
OG0000020	evm.model.RL_7.2129	Om007G309390
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444, evm.model.RL_5.2428, evm.model.RL_6.438	Om005G226540, Om001G020790
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	Om001G020780, Om001G006810, Om002G059070
OG0000023	evm.model.RL_2.1848	Om001G010400
OG0000023	evm.model.RL_2.1843, evm.model.RL_2.1842	Om001G010360, Om001G009290
OG0000023	evm.model.RL_8.636	Om008G351580
OG0000023	evm.model.RL_8.624, evm.model.RL_8.626, evm.model.RL_8.623, evm.model.RL_8.630	Om008G351640, Om008G351650
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	Om001G010200
OG0000023	evm.model.RL_2.1825.3.687c86e4	Om001G010250
OG0000024	evm.model.RL_7.2066, evm.model.RL_8.1089	Om008G342080, Om001G017150
OG0000024	evm.model.RL_5.2480	Om001G030080, Om007G305000
OG0000025	evm.model.RL_2.872	Om002G073490, Om002G073430
OG0000028	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115	Om001G022770
OG0000028	evm.model.RL_4.1689	Om003G104120, Om007G318240, Om004G149360, Om007G299950, Om006G268370, Om001G035430, Om006G267550, Om004G151300, Om007G308810, Om003G104130, Om001G019310
OG0000029	evm.model.RL_8.656	Om008G343780
OG0000029	evm.model.RL_4.797	Om005G216790
OG0000029	evm.model.RL_2.306	Om004G147450
OG0000030	evm.model.RL_5.2340, evm.model.RL_6.2259	Om004G152960
OG0000030	evm.model.RL_5.2342	Om011G364950
OG0000032	evm.model.RL_1.3081	Om008G348900
OG0000033	evm.model.RL_2.1834, evm.model.RL_2.1824	Om001G010240
OG0000033	evm.model.RL_2.1828	Om001G011550
OG0000033	evm.model.RL_2.1847, evm.model.RL_2.1846	Om001G010220
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	Om001G010110
OG0000034	evm.model.RL_5.2588	Om003G107450, Om008G350440, Om004G148920, Om008G345340
OG0000034	evm.model.RL_2.4	Om003G111610
OG0000034	evm.model.RL_5.2587, evm.model.RL_2.749	Om005G219940
OG0000034	evm.model.RL_5.2586	Om006G267380
