Orthogroup	Arabidopsis_arenosa	Euclidium_syriacum
OG0000000	jg1749	ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1, ESY3_g27908_DN2_SP0_c72.t1
OG0000000	jg27064	ESY7_g17009_DN2_SP0_c60.t1
OG0000002	jg27118, jg2023, jg27584, jg11830, jg13863, jg1783	ESY9_g43349_DN2_SP0_c0.t1
OG0000005	jg20041	ESY4_g24391_DN2_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1
OG0000005	jg1846, jg6872, jg23533, jg17538	ESY6_g47492_DN1_SP0_c0.t1
OG0000005	jg13667	ESY6_g46340_DN3_SP0_c0.t1
OG0000005	jg13854, jg1845, jg4267, jg10505, jg32583, jg32326, jg14085, jg11603, jg25251, jg5560	ESY1_g10225_DN1_SP0_c0.t1
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113, jg21920, jg21901, jg12230, jg27468	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1
OG0000007	jg7091	ESY7_g16535_DN2_SP0_c0.t1
OG0000007	jg6465	ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1
OG0000007	jg32942, jg11905	ESY14_g19959_DN1_SP0_c0.t1
OG0000007	jg25591, jg26753	ESY19_g41595_DN1_SP0_c0.t1
OG0000007	jg14512, jg5404, jg7218, jg32933, jg21574	ESY6_g47093_DN2_SP0_c0.t1
OG0000008	jg27185, jg15069, jg15062, jg15057, jg15054, jg20324	ESY15_g64840_DN3_SP0_c0.t1
OG0000012	jg1757, jg32331	ESY8_g61320_DN3_SP0_c0.t1
OG0000012	jg32597	ESY11_g53222_DN2_SP0_c100.t1
OG0000013	jg1575, jg27445, jg20945, jg11978, jg12130	ESY8_g60272_DN2_SP0_c0.t1
OG0000015	jg32444	ESY13_g56759_DN1_SP0_c0.t1
OG0000015	jg11869	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1
OG0000015	jg27710	ESY3_g29490_DN1_SP0_c0.t1
OG0000015	jg6954	ESY4_g23102_DN1_SP0_c100.t1
OG0000017	jg11431	ESY1_g7308_DN3_SP0_c0.t1, ESY18_g63484_DN3_SP0_c0.t1
OG0000017	jg32222, jg15995	ESY5_g765_DN2_SP0_c0.t1, ESY15_g65202_DN2_SP0_c0.t1, ESY4_g24554_DN3_SP0_c31.t1, ESY7_g16670_DN3_SP0_c0.t1
OG0000017	jg1560	ESY1_g7621_DN3_SP0_c100.t1, ESY6_g46672_DN3_SP0_c94.t1
OG0000017	jg6883	ESY5_g674_DN3_SP0_c68.t1
OG0000017	jg6884	ESY11_g52417_DN3_SP0_c0.t1, ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1
OG0000018	jg4400, jg32393, jg11989, jg32560, jg26774, jg3954, jg701, jg1978, jg32225, jg20321, jg32267, jg11853, jg1316, jg17083, jg15089, jg16332, jg12414, jg15196, jg2029, jg27287, jg27179	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000018	jg25715	ESY9_g43986_DN3_SP0_c0.t1
OG0000019	jg13651	ESY6_g48254_DN3_SP0_c48.t1, ESY8_g60783_DN3_SP0_c0.t1
OG0000019	jg13840	ESY24_g33175_DN3_SP0_c2.t1
OG0000019	jg13839	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1
OG0000021	jg17386	ESY9_g43536_DN2_SP0_c0.t1
OG0000021	jg13577	ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1
OG0000024	jg13862, jg2022	ESY6_g47516_DN2_SP0_c0.t1
OG0000025	jg22353	ESY3_g32269_DN2_SP0_c54.t1
OG0000026	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349, jg32153, jg20543, jg27936, jg21506, jg1826, jg1637, jg14016, jg1257, jg27352	ESY1_g10661_DN2_SP0_c99.t1
OG0000027	jg17071	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1
