Orthogroup	Arabidopsis_arenosa	Conringia_planisiliqua
OG0000000	jg1749	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1
OG0000000	jg6905, jg17418, jg16482, jg16492	CP3_g15530_DN1_SP0_c.t1
OG0000002	jg27118	CP25_g55807_DN3_SP0_c.t1, CP1_g39210_DN2_SP0_c.t1, CP42_g27257_DN3_SP0_c.t1, CP4_g26489_DN1_SP0_c.t1
OG0000002	jg11830	CP13_g20669_DN2_SP0_c.t1
OG0000005	jg20041	CP2_g50066_DN1_SP0_c.t1
OG0000005	jg28095, jg17698	CP1_g39903_DN2_SP0_c.t1, CP3_g15091_DN1_SP0_c.t1
OG0000005	jg17538	CP5_g3355_DN3_SP0_c.t1
OG0000005	jg13667	CP3_g16336_DN2_SP0_c.t1
OG0000005	jg13854, jg1845, jg4267, jg10505	CP18_g12172_DN1_SP0_c.t1
OG0000005	jg32583, jg32326, jg14085, jg11603, jg25251, jg5560	CP9_g27577_DN3_SP0_c.t1
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113	CP4_g26231_DN1_SP0_c.t1
OG0000005	jg21920	CP9_g27889_DN1_SP0_c.t1
OG0000005	jg27468	CP4_g26940_DN2_SP0_c.t1
OG0000005	jg21611, jg16911, jg12161, jg12492	CP10_g43899_DN1_SP0_c.t1
OG0000007	jg7091	CP2_g50571_DN2_SP0_c.t1
OG0000007	jg6465	CP2_g49679_DN1_SP0_c.t1, CP6_g9325_DN2_SP0_c.t1, CP5_g2385_DN1_SP0_c.t1
OG0000007	jg32942	CP42_g27277_DN1_SP0_c.t1, CP17_g6015_DN1_SP0_c.t1, CP18_g12501_DN1_SP0_c.t1
OG0000007	jg11905	CP7_g45495_DN1_SP0_c.t1, CP1_g39688_DN1_SP0_c.t1
OG0000007	jg25591	CP3_g14602_DN2_SP0_c.t1
OG0000007	jg26753	CP2_g49678_DN3_SP0_c.t1
OG0000007	jg14512, jg5404, jg7218	CP28_g33903_DN1_SP0_c.t1
OG0000007	jg32933, jg21574	CP3_g15796_DN1_SP0_c.t1
OG0000012	jg26919, jg12454, jg31920, jg1757, jg32331, jg12319, jg3735	CP35_g52033_DN3_SP0_c.t1
OG0000013	jg1575, jg27445	CP26_g51269_DN2_SP0_c.t1
