Orthogroup	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI
OG0000000	jg27456, jg2001, jg27197, jg21191, jg32817, jg27337, jg72, jg32155, jg20829, jg8262	XP_020886399.1
OG0000000	jg6893, jg23550	XP_020882672.1
OG0000000	jg1749	XP_020887182.1, XP_020890321.1, XP_020870326.1
OG0000000	jg6905	XP_020886397.1, XP_020866436.1
OG0000003	jg11918	XP_020874036.1
OG0000005	jg28095, jg17698	XP_020876055.1, XP_020877155.1
OG0000005	jg17538	XP_020883429.1
OG0000005	jg11602	XP_020887659.1
OG0000007	jg7091	XP_020887823.1
OG0000007	jg26753	XP_020888529.1
OG0000007	jg14512, jg5404, jg7218, jg32933, jg21574	XP_020869115.1, XP_020890704.1
OG0000008	jg15069, jg15062, jg15057, jg15054	XP_020881885.1, XP_020881611.1
OG0000010	jg11731	XP_020871369.1
OG0000011	jg14895, jg31555	XP_020891087.1
OG0000011	jg6738, jg16352, jg8938	XP_020886262.1
OG0000011	jg9712	XP_020871500.1
OG0000011	jg12228	XP_020889043.1
OG0000011	jg13806	XP_020889836.1
OG0000011	jg6632	XP_020880935.1, XP_020872964.1
OG0000012	jg12319	XP_020866256.1
OG0000012	jg26946	XP_020888454.1
OG0000012	jg32355, jg32390, jg32436, jg32336, jg17412	XP_020872339.1
OG0000017	jg32618	XP_020879010.1
OG0000017	jg6965	XP_020879892.1, XP_020879506.1, XP_020887777.1
OG0000017	jg32222, jg15995	XP_020884768.1, XP_020872420.1
OG0000017	jg6883	XP_020876951.1
OG0000017	jg1901, jg1479, jg11614, jg32221, jg11780, jg21044	XP_020877054.1
OG0000017	jg1480, jg14690, jg6982	XP_020869021.1
OG0000018	jg4400, jg32393, jg11989, jg32560	XP_020885208.1
OG0000018	jg26774	XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000018	jg27179	XP_020889705.1, XP_020882641.1, XP_020889912.1, XP_020876177.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1
OG0000018	jg25715	XP_020874896.1, XP_020872412.1, XP_020871964.1, XP_020874134.1, XP_020879723.1
OG0000019	jg33383	XP_020881814.1
OG0000019	jg21637	XP_020878850.1
OG0000019	jg13651	XP_020876758.1, XP_020881514.1, XP_020889800.1
OG0000019	jg26287	XP_020869090.1, XP_020878589.1
OG0000019	jg13838	XP_020877201.1, XP_020872379.1, XP_020879405.1
OG0000019	jg27639	XP_020871455.1
OG0000019	jg18104	XP_020887782.1
OG0000019	jg28177	XP_020887011.1
OG0000019	jg5942	XP_020879429.1
OG0000019	jg13487, jg13649	XP_020866192.1, XP_020877161.1
OG0000019	jg11481	XP_020877831.1
OG0000019	jg20674	XP_020869856.1
OG0000021	jg17386, jg13577	XP_020883515.1
OG0000023	jg10189	XP_020873345.1
OG0000023	jg7515	XP_020878447.1
OG0000023	jg7514	XP_020878438.1
OG0000023	jg10181	XP_020873367.1
OG0000023	jg7523	XP_002872595.1
OG0000023	jg7517	XP_020878445.1
OG0000023	jg7519, jg7518	XP_020878446.1
OG0000023	jg7521	XP_002872592.1
OG0000023	jg7533, jg7537, jg7530	XP_020867640.1
OG0000023	jg10191	XP_020873352.1
OG0000023	jg10192	XP_002867727.1
OG0000023	jg10190	XP_020873349.1
OG0000024	jg2022	XP_020874131.1
OG0000025	jg11446	XP_020874777.1
OG0000025	jg22446	XP_020885754.1
OG0000025	jg22952	XP_020886436.1
OG0000025	jg22443, jg22441	XP_020871166.1
