Orthogroup	Arabidopsis_arenosa	Arabis_alpina
OG0000000	jg27064	Aa_G305790.h1.t1
OG0000002	jg27118	Aa_G645190.h1.t1
OG0000002	jg11830	Aa_G109850.h1.t1, Aa_G417360.h1.t1
OG0000002	jg13863, jg1783	Aa_G202910.h1.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G36530.h1.t1, Aa_G272260.h2.t1, Aa_G272260.h1.t1, Aa_G571690.h1.t1
OG0000003	jg14786	Aa_G301670.h1.t1
OG0000005	jg12267, jg12278	Aa_G1025960.h1.t1
OG0000007	jg7091	Aa_G60120.h1.t1
OG0000008	jg15069, jg15062, jg15057, jg15054	Aa_G302250.h1.t1
OG0000012	jg26919, jg12454, jg31920, jg1757, jg32331, jg12319, jg3735	Aa_G297380.h1.t1
OG0000013	jg12130	Aa_G790.h1.t1
OG0000015	jg6954	Aa_G212210.h1.t1
OG0000017	jg32618	Aa_G135640.h1.t1
OG0000017	jg21095	Aa_G917470.h1.t1
OG0000019	jg13651	Aa_G277650.h1.t1
OG0000020	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520	Aa_G209100.h1.t1
OG0000023	jg10189, jg10184, jg10183	Aa_G200970.h1.t1
OG0000023	jg7523	Aa_G561100.h1.t1
OG0000023	jg7533, jg7537, jg7530	Aa_G597270.h1.t1
OG0000023	jg10205, jg10191	Aa_G200900.h1.t1
OG0000023	jg10199	Aa_G191740.h1.t1
OG0000025	jg22442, jg11446, jg22446, jg22952, jg22443, jg22441, jg22353, jg22247, jg22250, jg12583, jg12582, jg22219	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1
OG0000025	jg22244	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000025	jg22236, jg22237, jg29584, jg8748, jg8750, jg23436, jg23431, jg23430, jg23437, jg23433, jg21838, jg4646, jg21837, jg4645	Aa_G553200.h1.t1
OG0000026	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349, jg32153, jg20543, jg27936, jg21506, jg1826, jg1637, jg14016, jg1257, jg27352	Aa_G387540.h1.t1
OG0000027	jg31701, jg31702, jg31695, jg7351, jg31700, jg31706, jg31682, jg31674, jg31676, jg31678, jg31679, jg31677, jg31671	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000027	jg14278, jg15770, jg15695, jg15696, jg15771	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000028	jg13951, jg1780, jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460, jg33138, jg30060, jg20837	Aa_G248570.h1.t1
OG0000028	jg21311	Aa_G988890.h1.t1
OG0000029	jg5864, jg27798, jg17174, jg18126	Aa_G1055220.h1.t1, Aa_G1055220.h2.t1, Aa_G205300.h1.t1
OG0000029	jg16768	Aa_G154360.h1.t1
OG0000029	jg1946	Aa_G302660.h1.t1
OG0000030	jg32294, jg33373, jg6978	Aa_G67230.h1.t1
OG0000030	jg11609	Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1
OG0000030	jg17129	Aa_G392560.h1.t1
OG0000030	jg900, jg26487, jg11586, jg11588, jg2222, jg2223	Aa_G500830.h1.t1
OG0000031	jg618, jg613, jg617, jg616, jg643	Aa_G830960.h1.t1, Aa_G357190.h1.t1, Aa_G22660.h1.t1
OG0000031	jg29711	Aa_G291980.h1.t1, Aa_G291990.h1.t1
OG0000031	jg29675	Aa_G319760.h1.t1
OG0000031	jg5495	Aa_G447870.h1.t1
OG0000031	jg25741	Aa_G97120.h1.t1
OG0000033	jg10203, jg10197, jg10193	Aa_G619140.h1.t1, Aa_G782810.h1.t1
OG0000033	jg10186, jg10200, jg10207	Aa_G191730.h1.t1
OG0000033	jg10425	Aa_G58920.h1.t1
OG0000033	jg10177	Aa_G474070.h1.t1, Aa_G92800.h1.t1
OG0000033	jg10208, jg10195, jg10202	Aa_G191690.h1.t1
OG0000035	jg18271, jg18309	Aa_G154560.h1.t1
OG0000036	jg16618	Aa_G444220.h1.t1
OG0000038	jg20023, jg549	Aa_G525570.h1.t1
OG0000038	jg31063, jg31071, jg31062, jg31070, jg31999, jg31068, jg31060	Aa_G470970.h1.t1
OG0000038	jg28841	Aa_G344370.h1.t1
OG0000038	jg25018	Aa_G572080.h1.t1, Aa_G136980.h1.t1
OG0000038	jg25017, jg25016, jg25015	Aa_G136990.h1.t1
OG0000040	jg14799, jg17824, jg14802, jg14804, jg1537	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000041	jg6878	Aa_G262080.h1.t1, Aa_G56940.h1.t1
OG0000044	jg1572	Aa_G675110.h1.t1
OG0000044	jg1834, jg309, jg32416, jg1035, jg17283, jg1573	Aa_G882110.h32.t1, Aa_G882110.h5.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h33.t1, Aa_G882110.h7.t1, Aa_G882110.h9.t1, Aa_G882110.h35.t1, Aa_G882110.h15.t1, Aa_G882110.h10.t1, Aa_G882110.h28.t1, Aa_G882110.h1.t1, Aa_G882110.h30.t1, Aa_G882110.h20.t1, Aa_G882110.h23.t1, Aa_G882110.h31.t1, Aa_G882110.h24.t1, Aa_G882110.h14.t1, Aa_G882110.h12.t1, Aa_G882110.h29.t1, Aa_G882110.h19.t1, Aa_G882110.h4.t1, Aa_G882110.h2.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h34.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h21.t1, Aa_G882110.h13.t1, Aa_G882110.h11.t1, Aa_G882110.h8.t1, Aa_G882110.h25.t1, Aa_G882110.h16.t1, Aa_G882110.h27.t1
OG0000046	jg12463, jg12464	Aa_G120780.h1.t1, Aa_G120790.h1.t1
OG0000046	jg2206, jg2195, jg2209, jg2212, jg2189, jg2188, jg2193	Aa_G190950.h1.t1, Aa_G756440.h1.t1
OG0000046	jg12331	Aa_G574220.h1.t1
OG0000046	jg6601	Aa_G439610.h1.t1
OG0000048	jg24237	Aa_G339730.h1.t1
OG0000048	jg5635	Aa_G253630.h1.t1
OG0000048	jg5646	Aa_G253740.h1.t1
OG0000048	jg5634, jg5644	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1
OG0000052	jg29349	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1
OG0000052	jg19557	Aa_G399340.h1.t1
OG0000052	jg497	Aa_G678670.h1.t1
OG0000052	jg19552, jg19554	Aa_G599340.h1.t1
OG0000052	jg19564	Aa_G271540.h1.t1
OG0000055	jg748	Aa_G534290.h1.t1
OG0000055	jg1420	Aa_G615080.h1.t1
OG0000055	jg749	Aa_G615090.h1.t1
OG0000056	jg12110	Aa_G9790.h1.t1, Aa_G233100.h1.t1
OG0000056	jg25787	Aa_G652160.h1.t1, Aa_G44560.h1.t1
OG0000057	jg17788	Aa_G5070.h1.t1
OG0000057	jg28057, jg28058	Aa_G253800.h1.t1
OG0000057	jg26019	Aa_G659190.h1.t1
OG0000057	jg1195, jg14633, jg25647	Aa_G507860.h1.t1
OG0000058	jg13853	Aa_G559960.h1.t1, Aa_G560070.h1.t1, Aa_G637230.h1.t1
OG0000062	jg7377	Aa_G11510.h1.t1, Aa_G297760.h1.t1, Aa_G255800.h1.t1
OG0000063	jg21249	Aa_G448310.h8.t1, Aa_G33920.h4.t1, Aa_G257700.h2.t1, Aa_G257700.h7.t1, Aa_G318860.h1.t1, Aa_G367650.h4.t1, Aa_G448310.h2.t1, Aa_G318860.h5.t1, Aa_G550780.h2.t1, Aa_G550780.h3.t1, Aa_G550780.h8.t1, Aa_G33920.h5.t1, Aa_G367650.h8.t1, Aa_G197130.h4.t1, Aa_G318860.h2.t1, Aa_G367650.h6.t1, Aa_G448310.h1.t1, Aa_G550780.h1.t1, Aa_G257700.h1.t1, Aa_G367650.h7.t1, Aa_G257700.h4.t1, Aa_G367650.h2.t1, Aa_G33920.h2.t1, Aa_G197130.h1.t1, Aa_G33920.h7.t1, Aa_G367650.h1.t1, Aa_G197130.h2.t1, Aa_G33920.h3.t1, Aa_G375890.h2.t1, Aa_G375890.h7.t1, Aa_G367650.h5.t1, Aa_G257700.h8.t1, Aa_G375890.h8.t1, Aa_G550780.h6.t1, Aa_G257700.h3.t1, Aa_G33920.h1.t1, Aa_G197130.h5.t1, Aa_G375890.h1.t1, Aa_G550780.h5.t1, Aa_G805160.h1.t1, Aa_G781680.h1.t1, Aa_G781680.h2.t1, Aa_G318860.h8.t1, Aa_G33920.h8.t1, Aa_G318860.h7.t1, Aa_G197130.h8.t1, Aa_G375890.h4.t1
OG0000063	jg22905	Aa_G448310.h4.t1
OG0000063	jg14371	Aa_G550780.h4.t1
OG0000063	jg17853	Aa_G367650.h3.t1
OG0000063	jg15309	Aa_G197130.h6.t1
OG0000063	jg29139, jg21260	Aa_G197130.h3.t1
OG0000063	jg29120, jg22936	Aa_G375890.h3.t1
OG0000063	jg14419	Aa_G257700.h6.t1
OG0000064	jg8362	Aa_G137810.h1.t1
OG0000066	jg27126	Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1
OG0000066	jg7203, jg3219, jg3220	Aa_G486090.h1.t1
OG0000066	jg1404	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1
OG0000067	jg24838, jg24839	Aa_G389030.h1.t1, Aa_G484940.h1.t1
OG0000067	jg12213	Aa_G84550.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1, Aa_G72500.h1.t1
OG0000067	jg4679	Aa_G2360.h1.t1, Aa_G236530.h1.t1, Aa_G10890.h1.t1, Aa_G602850.h1.t1, Aa_G602860.h1.t1, Aa_G176470.h1.t1, Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1
OG0000068	jg32484	Aa_G75180.h1.t1
OG0000071	jg28233	Aa_G616190.h1.t1, Aa_G692990.h1.t1, Aa_G268590.h1.t1
OG0000071	jg25723	Aa_G32140.h1.t1, Aa_G456270.h1.t1
OG0000073	jg10924	Aa_G639660.h1.t1, Aa_G295890.h1.t1, Aa_G685510.h1.t1
OG0000073	jg21833	Aa_G295950.h1.t1
OG0000073	jg21037	Aa_G33030.h1.t1
OG0000073	jg12610, jg7157, jg7084, jg20415, jg20412, jg20417, jg13687, jg20423, jg20420	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1
OG0000074	jg30934	Aa_G62240.h1.t1
OG0000074	jg17689	Aa_G62260.h1.t1, Aa_G62270.h1.t1
OG0000074	jg30936	Aa_G349950.h1.t1
OG0000074	jg30922, jg30923, jg30924	Aa_G62330.h1.t1
OG0000075	jg29545, jg29543	Aa_G535390.h1.t1
OG0000076	jg13391, jg13389	Aa_G247970.h1.t1, Aa_G247980.h1.t1, Aa_G465260.h1.t1, Aa_G247990.h1.t1
OG0000076	jg14731, jg14730, jg14729, jg14732, jg14762, jg14733, jg14734, jg14739	Aa_G712070.h1.t1
OG0000076	jg15039	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1
OG0000076	jg20913, jg15189	Aa_G521750.h1.t1
OG0000077	jg21503	Aa_G136250.h1.t1
OG0000077	jg7662, jg7663, jg933, jg32683, jg24861, jg24794, jg20353, jg26791, jg7664	Aa_G374870.h1.t1
OG0000077	jg32692, jg26472, jg32685, jg32682, jg8427	Aa_G254660.h1.t1
OG0000077	jg8424, jg8422	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000077	jg1000, jg934	Aa_G374840.h1.t1
OG0000078	jg13800, jg25795, jg13799, jg25794	Aa_G32020.h1.t1
OG0000079	jg24132, jg24131	Aa_G111800.h1.t1, Aa_G111810.h1.t1, Aa_G46620.h1.t1, Aa_G111790.h1.t1
OG0000079	jg15929	Aa_G175740.h1.t1, Aa_G175730.h1.t1, Aa_G449530.h1.t1, Aa_G175720.h1.t1
OG0000079	jg15921	Aa_G175840.h1.t1
OG0000079	jg15922	Aa_G175830.h1.t1, Aa_G175820.h1.t1, Aa_G175780.h1.t1
OG0000079	jg15911, jg15928	Aa_G175750.h1.t1, Aa_G175760.h1.t1
OG0000080	jg12190	Aa_G235680.h1.t1
OG0000080	jg32551, jg32841, jg32864, jg32857	Aa_G175650.h1.t1
OG0000081	jg32820, jg24959, jg32882, jg32881, jg32883, jg33223, jg33224, jg461, jg33221, jg2643, jg5636, jg5656, jg1069, jg1066, jg1064, jg1068, jg1070, jg1395, jg5637, jg5657	Aa_G604970.h1.t1
OG0000083	jg2770, jg2771	Aa_G319590.h1.t1, Aa_G319580.h1.t1
OG0000083	jg2773	Aa_G245790.h1.t1, Aa_G319570.h1.t1, Aa_G245780.h1.t1
OG0000083	jg26539, jg26554, jg26543, jg26553	Aa_G729280.h1.t1, Aa_G704230.h1.t1
OG0000083	jg32422	Aa_G74650.h1.t1
OG0000083	jg24440, jg16886, jg16884, jg2772, jg16885	Aa_G21020.h1.t1
OG0000084	jg16997	Aa_G271110.h1.t1
OG0000084	jg17005, jg20640	Aa_G155650.h1.t1
OG0000084	jg17289	Aa_G54460.h1.t1
OG0000087	jg6235	Aa_G630880.h1.t1
OG0000087	jg17972	Aa_G199760.h1.t1
OG0000087	jg5068	Aa_G256660.h1.t1
OG0000087	jg18593	Aa_G562810.h1.t1
OG0000087	jg20749	Aa_G103150.h1.t1
OG0000087	jg10485	Aa_G580380.h1.t1
OG0000087	jg3235	Aa_G656110.h1.t1
OG0000088	jg14558	Aa_G363940.h1.t1
OG0000088	jg14559, jg14561	Aa_G89030.h1.t1, Aa_G425930.h1.t1
OG0000088	jg14562	Aa_G60310.h1.t1
OG0000088	jg5910	Aa_G15590.h1.t1
OG0000088	jg21695	Aa_G15570.h1.t1
OG0000089	jg4799	Aa_G152880.h1.t1
OG0000089	jg26012, jg33022	Aa_G429520.h1.t1
OG0000089	jg19507	Aa_G67360.h1.t1
OG0000089	jg18920, jg15311	Aa_G367680.h1.t1
OG0000090	jg4483, jg30544, jg16631	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000090	jg3251	Aa_G410840.h1.t1
OG0000090	jg8905	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000090	jg13115, jg28225, jg28226, jg13116, jg29403	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1
OG0000091	jg20823, jg20821, jg1412, jg2211, jg14179	Aa_G445870.h1.t1
OG0000093	jg15862	Aa_G526230.h1.t1
OG0000093	jg15851	Aa_G526150.h1.t1, Aa_G526160.h1.t1
OG0000093	jg15841	Aa_G627630.h1.t1, Aa_G627620.h1.t1
OG0000096	jg13128	Aa_G683270.h1.t1
OG0000096	jg20644	Aa_G122040.h1.t1
OG0000096	jg20589	Aa_G786250.h1.t1, Aa_G786250.h2.t1
OG0000096	jg29337	Aa_G160980.h1.t1
OG0000097	jg7810	Aa_G42050.h1.t1
OG0000097	jg7819	Aa_G132920.h1.t1
OG0000097	jg7820	Aa_G577800.h1.t1
OG0000097	jg7813, jg7812, jg7815, jg7814	Aa_G120830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1
OG0000098	jg650	Aa_G391060.h1.t1, Aa_G391060.h2.t1
OG0000098	jg23265	Aa_G492220.h1.t1, Aa_G406360.h1.t1
OG0000098	jg32280	Aa_G193750.h1.t1
OG0000098	jg29671	Aa_G366140.h1.t1
OG0000098	jg32282	Aa_G193720.h1.t1
OG0000098	jg12025	Aa_G521440.h1.t1
OG0000099	jg459, jg7310, jg27477	Aa_G647960.h1.t1
OG0000099	jg456	Aa_G384670.h1.t1
OG0000101	jg477	Aa_G65950.h1.t1
OG0000101	jg492	Aa_G65760.h1.t1
OG0000101	jg472	Aa_G408910.h1.t1
OG0000102	jg32522	Aa_G186650.h1.t1
OG0000104	jg29111	Aa_G257560.h1.t1
OG0000104	jg17897	Aa_G459870.h1.t1
OG0000104	jg33004	Aa_G166390.h1.t1
OG0000106	jg25957, jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891, jg27435, jg14860, jg25967, jg25964, jg12059, jg25966	Aa_G32180.h1.t1
OG0000107	jg26157	Aa_G115060.h1.t1
OG0000107	jg26163	Aa_G323960.h1.t1
OG0000108	jg6402, jg6418, jg6403, jg6404, jg7433, jg17595, jg31284, jg16872	Aa_G539300.h1.t1, Aa_G70590.h1.t1
OG0000109	jg17424	Aa_G663410.h1.t1
OG0000110	jg20835	Aa_G271280.h1.t1
OG0000110	jg15960	Aa_G271260.h1.t1
OG0000110	jg15959	Aa_G784880.h1.t1
OG0000110	jg15957, jg15956	Aa_G533500.h1.t1, Aa_G544160.h1.t1, Aa_G430880.h1.t1, Aa_G741430.h1.t1, Aa_G544170.h1.t1, Aa_G430870.h1.t1, Aa_G350840.h1.t1, Aa_G773700.h1.t1
OG0000110	jg11381	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000110	jg15969	Aa_G271300.h1.t1
OG0000111	jg12398, jg12393, jg12389, jg12394, jg12395	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000111	jg12396	Aa_G110080.h1.t1, Aa_G75250.h1.t1
OG0000111	jg11228	Aa_G482020.h1.t1, Aa_G601860.h1.t1, Aa_G116920.h1.t1
OG0000111	jg23312, jg23313	Aa_G75240.h1.t1
OG0000111	jg15428	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000113	jg12808	Aa_G229780.h1.t1
OG0000113	jg509	Aa_G106970.h1.t1, Aa_G65730.h1.t1
OG0000113	jg508	Aa_G416120.h1.t1, Aa_G217250.h1.t1, Aa_G224170.h1.t1
OG0000113	jg14194, jg14191	Aa_G339760.h1.t1, Aa_G217260.h1.t1, Aa_G84880.h1.t1
OG0000114	jg20994	Aa_G360810.h1.t1
OG0000114	jg24299	Aa_G332260.h1.t1
OG0000114	jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021	Aa_G146330.h1.t1, Aa_G146320.h1.t1
OG0000115	jg6881, jg12949, jg10772, jg12951	Aa_G172360.h1.t1
OG0000120	jg13317, jg4214, jg4213, jg2215, jg14374	Aa_G388280.h1.t1
OG0000122	jg22508	Aa_G592740.h1.t1
OG0000122	jg32572	Aa_G5880.h1.t1
OG0000122	jg22505	Aa_G379620.h1.t1
OG0000122	jg22485	Aa_G379580.h1.t1, Aa_G625770.h1.t1, Aa_G247680.h1.t1, Aa_G379610.h1.t1
OG0000123	jg31338, jg29806, jg14270, jg9826, jg29805, jg647	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1
OG0000124	jg20993, jg25905, jg11327	Aa_G9780.h1.t1
OG0000124	jg33081, jg14104, jg9592	Aa_G10940.h1.t1
OG0000125	jg6123	Aa_G552180.h1.t1
OG0000125	jg14378, jg22931	Aa_G33880.h1.t1
OG0000125	jg17851	Aa_G69270.h1.t1
OG0000127	jg3916	Aa_G443050.h1.t1, Aa_G443060.h1.t1
OG0000127	jg20918, jg3920	Aa_G18590.h1.t1
OG0000127	jg24833	Aa_G101380.h1.t1
OG0000131	jg16945, jg14091, jg6734, jg10774, jg12947	Aa_G861160.h1.t1
OG0000132	jg16608, jg16609	Aa_G31310.h1.t1
OG0000132	jg32304, jg32306, jg17285, jg2010, jg6560	Aa_G65480.h1.t1
OG0000132	jg32193	Aa_G322800.h1.t1
OG0000132	jg27190	Aa_G342720.h1.t1
OG0000133	jg7039	Aa_G50020.h1.t1
OG0000136	jg12270, jg12260	Aa_G483980.h1.t1, Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G221000.h1.t1
OG0000138	jg13817, jg13821	Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1
