Orthogroup	Arabidopsis_arenosa	Brassica_oleracea
OG0000000	jg21092	XP_013594448.1, XP_013633089.1
OG0000000	jg42	XP_013632971.1, XP_013617848.1, XP_013617837.1
OG0000000	jg1749	XP_013639847.1, XP_013607596.1, XP_013622052.1, XP_013590886.1, XP_013617292.1
OG0000000	jg16482, jg16492	XP_013639843.1
OG0000002	jg27118	XP_013624531.1, XP_013624816.1, XP_013617594.1, XP_013617547.1, XP_013614472.1, XP_013632700.1, XP_013639598.1
OG0000002	jg11830	XP_013589182.1
OG0000003	jg14786	XP_013624595.1, XP_013633002.1, XP_013614810.1
OG0000003	jg11918	XP_013624602.1, XP_013639562.1, XP_013624568.1, XP_013632769.1
OG0000005	jg19324, jg12452	XP_013608026.1, XP_013639201.1, XP_013635062.1
OG0000005	jg17698	XP_013617184.1, XP_013595190.1
OG0000005	jg1845	XP_013632594.1
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113	XP_013624887.1, XP_013608346.1, XP_013583336.1, XP_013624321.1
OG0000005	jg21920	XP_013583274.1
OG0000005	jg27468	XP_013594364.1, XP_013633351.1
OG0000007	jg7091	XP_013616974.1
OG0000007	jg6465	XP_013589191.1, XP_013594546.1, XP_013624739.1, XP_013617741.1
OG0000007	jg32942	XP_013595033.1, XP_013616899.1
OG0000007	jg32933, jg21574	XP_013631219.1
OG0000008	jg27185	XP_013617727.1
OG0000011	jg27080	XP_013617880.1, XP_013594971.1, XP_013633088.1, XP_013616799.1, XP_013639268.1, XP_013632776.1, XP_013632771.1
OG0000011	jg14895, jg31555	XP_013623455.1, XP_013613506.1, XP_013626439.1, XP_013624793.1, XP_013611088.1, XP_013608356.1, XP_013631748.1, XP_013617763.1, XP_013624952.1, XP_013632469.1, XP_013623757.1, XP_013624389.1, XP_013639143.1, XP_013608057.1, XP_013617337.1, XP_013624348.1, XP_013601625.1, XP_013608173.1, XP_013583440.1, XP_013617074.1, XP_013594278.1, XP_013612972.1, XP_013639372.1, XP_013633419.1, XP_013589462.1, XP_013608370.1, XP_013607434.1, XP_013617725.1, XP_013594932.1, XP_013589147.1, XP_013632620.1, XP_013617879.1, XP_013594808.1, XP_013632621.1, XP_013624069.1, XP_013589134.1, XP_013632664.1, XP_013632853.1
OG0000011	jg27079	XP_013614955.1, XP_013607737.1
OG0000012	jg12454, jg31920	XP_013617060.1
OG0000012	jg32355, jg32390, jg32436, jg32336, jg17412	XP_013614407.1, XP_013588965.1
OG0000013	jg11978	XP_013617899.1
OG0000013	jg12130	XP_013632810.1, XP_013617907.1, XP_013613388.1
OG0000014	jg16959	XP_013594307.1, XP_013627465.1
OG0000014	jg22974	XP_013601583.1
OG0000014	jg18640	XP_013617684.1
OG0000015	jg11869	XP_013614071.1
OG0000015	jg21314, jg11868	XP_013613389.1, XP_013594602.1
