Orthogroup	Arabidopsis_arenosa	Aethionema_saxatile
OG0000000	jg6905, jg17418	As001G006630, As006G147610
OG0000003	jg11918	As003G066700, As007G166450, As007G166410, As003G066730, As003G066690, As007G166480
OG0000004	jg25786	As007G177100
OG0000005	jg21611, jg16911, jg12161, jg12492	As007G177090, As005G111430
OG0000008	jg27185	As006G149000
OG0000010	jg11731	As012G280540, As003G067340
OG0000011	jg27473, jg29119	As012G276770, As007G163680, As002G041220, As004G093340
OG0000013	jg11978	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120
OG0000015	jg32444	As007G166610
OG0000015	jg21088, jg11869	As010G225860
OG0000015	jg21086	As011G262280
OG0000015	jg6954	As011G262470
OG0000017	jg7335	As009G209200
OG0000017	jg11431, jg32222, jg15995, jg27353	As006G147350
OG0000017	jg1560	As006G144790, As012G280790
OG0000017	jg31846	As003G065520
OG0000017	jg6883	As011G261070, As010G227380
OG0000017	jg6884	As003G065780
OG0000019	jg13651	As009G203070
OG0000019	jg13839	As010G228470, As001G007070
OG0000019	jg28177	As010G228190
OG0000020	jg27186	As009G211210, As012G277620, As011G260540, As001G015300
OG0000021	jg17562	As001G004280
OG0000021	jg27173	As011G259540, As001G012170
OG0000021	jg17386, jg13577, jg12206	As003G071480, As010G232120
OG0000023	jg10174	As003G061360
OG0000023	jg10189, jg10184, jg10183	As003G061290
OG0000023	jg7526, jg7533, jg7537, jg7530	As004G084560, As004G084580, As004G084570
OG0000023	jg10192	As003G061270
OG0000029	jg21060	As001G005430
OG0000029	jg16768	As004G091740, As005G109110
OG0000029	jg17949	As008G192170
OG0000030	jg32294, jg33373, jg6978	As011G260570, As011G260600, As010G228030, As011G258250
OG0000030	jg6977	As001G013020
OG0000030	jg11609	As001G013350
OG0000031	jg663, jg481, jg538, jg645, jg586, jg583, jg572, jg642	As001G032000
OG0000031	jg5495	As009G202600
OG0000031	jg12744, jg25741, jg9770	As006G134510
OG0000033	jg10203, jg10197, jg10193	As003G061230, As003G061200, As003G061190, As003G061240
OG0000033	jg10426, jg10425	As003G059410, As003G059430, As003G059400
OG0000033	jg10176, jg10175, jg10177, jg10198, jg10208, jg10195, jg10202	As003G061210, As003G061160
OG0000033	jg7784	As004G086230
OG0000035	jg33607	As005G105710, As005G106260, As012G269410
OG0000036	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900
OG0000038	jg20023, jg549	As009G211050, As009G210990, As009G210820
OG0000038	jg25018, jg31052	As007G157540
OG0000041	jg6878	As012G279020, As011G257710, As007G164480, As006G148790, As002G037900, As011G259690, As007G166880, As011G257530, As009G209010, As012G277460, As012G278530, As011G256620, As001G005400, As001G012680, As002G037890
OG0000044	jg12140	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110
OG0000048	jg24239	As006G137110, As006G137010, As006G136980
OG0000048	jg16525, jg5643, jg5639, jg5648, jg5641, jg5640, jg5634, jg5644	As001G017720, As001G017740, As001G017730, As001G017710
OG0000049	jg28661	As002G044530
OG0000055	jg14491	As001G022050
OG0000056	jg25787	As007G178620
OG0000063	jg14371	As006G129480, As005G114650
OG0000066	jg27126, jg7203, jg3219, jg3220	As002G052230
OG0000066	jg30515	As007G156090
OG0000066	jg4871, jg4870, jg29279, jg13471	As002G052910
OG0000066	jg1404	As005G118450
OG0000067	jg4261, jg4260, jg4298	As011G256070, As011G256050
OG0000067	jg12213	As011G256020
OG0000073	jg10924, jg21833	As006G137430
OG0000073	jg21037, jg1752, jg6091	As002G034500, As002G034570, As002G034640
OG0000078	jg9173	As004G095030
OG0000079	jg24132, jg24131, jg15929, jg15924, jg15925, jg17321, jg17317, jg17322, jg15921, jg15922, jg15934, jg12362, jg12361, jg12363, jg12370, jg12367, jg12366, jg11406, jg12369, jg12364, jg15911, jg15928	As012G285110
OG0000083	jg32007, jg27544, jg27541, jg2769, jg2770, jg2771, jg2773, jg26539, jg26554, jg26543, jg26553, jg27213, jg32422, jg24440, jg16886, jg16884, jg2772, jg16885	As006G138550
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	As009G216030, As009G216300, As009G216040
OG0000087	jg6235	As010G222260
OG0000087	jg17972	As006G128780
OG0000087	jg5068	As002G051000
OG0000087	jg18593	As012G274980
OG0000087	jg20749	As004G086530
OG0000087	jg10485	As003G058850
OG0000087	jg3235	As010G237710
OG0000088	jg14230, jg14231, jg17633, jg14563, jg27525, jg14545, jg14558, jg14559, jg14561, jg14507	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920
OG0000089	jg4799	As002G053510
OG0000089	jg26012, jg33022	As011G250900
OG0000089	jg18920, jg15311	As012G277570
OG0000089	jg22870, jg14433	As010G224530, As005G115200
OG0000090	jg21183	As004G082910
OG0000090	jg3251	As003G065330
OG0000090	jg16054, jg15233, jg8905, jg13115, jg28225, jg28226, jg13116, jg29403	As012G273080
OG0000093	jg15862, jg15865, jg15861, jg15848, jg15846, jg27054, jg27053, jg27051, jg27052	As012G284680, As012G284700, As012G284660
OG0000096	jg1261	As002G036580, As001G019400, As001G019410, As001G019450
OG0000096	jg20644	As004G087370, As004G087300, As004G087270
OG0000097	jg7810	As004G086430, As004G086420, As004G086450, As004G086440
OG0000098	jg649	As001G018420, As001G018430, As001G018440
OG0000098	jg29677, jg29672, jg32280, jg29671, jg11302, jg29664, jg32282, jg12025	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330
OG0000104	jg17890, jg17887, jg17891	As006G129210
OG0000104	jg33349, jg33354	As012G271240, As012G271230
OG0000104	jg33355, jg33352, jg33347	As012G271190, As012G271200
OG0000104	jg17893, jg17886, jg17879, jg17889, jg17885, jg17878	As006G129190
OG0000106	jg25957, jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891, jg27435, jg14860, jg25967, jg25964, jg12059, jg25966	As002G041170, As002G041390, As002G041440
OG0000107	jg26161	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220
OG0000107	jg26163, jg26160	As011G252340
OG0000108	jg27471, jg27452, jg27460, jg27464, jg27222, jg27246, jg27226, jg17593, jg16875, jg6402, jg6418, jg6403, jg6404, jg7433, jg17595, jg31284, jg16872, jg27107, jg27264, jg27221, jg27229, jg27223, jg2306, jg27465, jg27461, jg1132, jg6405, jg11987, jg17594, jg31283, jg16874	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000111	jg11228	As002G048150
OG0000112	jg16607, jg17599, jg27950, jg23041, jg20712	As011G262130, As011G262140, As009G217680, As009G217690
OG0000114	jg20994, jg24299, jg27419, jg2542, jg20995, jg20998, jg20997, jg20999, jg20992, jg4953, jg7114, jg1323, jg17682, jg20706, jg1189, jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021, jg27601, jg1248, jg2013, jg12353, jg12354	As006G137050, As006G137080
OG0000116	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410
OG0000118	jg13696, jg13697, jg13695	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770
OG0000123	jg14270	As008G183730, As008G183740
