Orthogroup	Arabidopsis_arenosa	Cardamine_hirsuta
OG0000005	jg19324, jg12452	CARHR145720
OG0000008	jg27185	CARHR101910
OG0000008	jg15069, jg15062, jg15057, jg15054	CARHR161340, CARHR161350
OG0000011	jg14895, jg31555	CARHR130420
OG0000011	jg27473, jg29119	CARHR060340
OG0000011	jg27079	CARHR032700
OG0000015	jg11869	CARHR258200
OG0000017	jg6883	CARHR213120
OG0000017	jg2142, jg6884, jg1901, jg1479, jg11614, jg32221, jg11780, jg21044, jg1480, jg14690, jg6982	CARHR049310, CARHR034150
OG0000018	jg701, jg1978, jg32225, jg20321	CARHR146600
OG0000019	jg33383, jg21637, jg13651, jg26287	CARHR218510
OG0000019	jg13840	CARHR259400
OG0000020	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520	CARHR287070
OG0000020	jg27186	CARHR266450, CARHR035020, CARHR108040, CARHR158140, CARHR287680, CARHR287700
OG0000023	jg10174	CARHR057450
OG0000023	jg10189, jg10184	CARHR230470, CARHR230480
OG0000023	jg10183	CARHR230450
OG0000023	jg10181	CARHR230510
OG0000023	jg7523	CARHR255010
OG0000023	jg7517, jg7516	CARHR255070
OG0000023	jg7521	CARHR255040
OG0000023	jg7533, jg7537, jg7530	CARHR254870
OG0000023	jg10191	CARHR230390, CARHR230400
OG0000023	jg10192	CARHR230300
OG0000023	jg10190	CARHR230440
OG0000023	jg10187	CARHR230350
OG0000023	jg10199	CARHR055330
OG0000025	jg22442, jg11446	CARHR100780
OG0000025	jg22446, jg22952, jg22443, jg22441	CARHR220000
OG0000025	jg22353	CARHR100770, CARHR248330, CARHR028790
OG0000025	jg22219	CARHR267520
OG0000025	jg8946, jg8944	CARHR242590, CARHR242640, CARHR030090, CARHR030060
OG0000025	jg22427, jg22428	CARHR268630
OG0000025	jg22259	CARHR267830
OG0000025	jg22445	CARHR267840
OG0000025	jg22262, jg22279, jg22270, jg22269, jg22278, jg22242	CARHR267700
