Orthogroup	Arabidopsis_arenosa	Arabidopsis_lyrata_Rawat
OG0000000	jg2924, jg12072, jg12472	AL7G51790
OG0000000	jg17429, jg6893, jg23550	AL4G11460
OG0000002	jg11830	AL1G57360, AL3G37080
OG0000003	jg14786	AL4G38100
OG0000004	jg25786	AL1G56670
OG0000004	jg27616	AL1G48610, AL8G30500
OG0000005	jg20691, jg3218	AL1G49730
OG0000005	jg19324, jg12452	AL6G36520
OG0000005	jg1846, jg6872	AL251U10020, AL3G32130
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113	AL7G37950
OG0000007	jg25591	AL4G43860
OG0000007	jg26753	AL7G35240, AL7G44950
OG0000007	jg14512, jg5404, jg7218	AL7G44730
OG0000008	jg15069, jg15062, jg15057, jg15054	AL5G32180
OG0000011	jg13807	AL971U10010
OG0000011	jg14895, jg31555	AL2G23040, AL4G33280, AL5G24930, AL5G42550, AL3G31820, AL1G61200
OG0000011	jg6738, jg16352, jg8938	AL4G29050
OG0000011	jg9712	AL3G37530, AL8G15640
OG0000011	jg17246	AL6G20560
OG0000011	jg33243	AL4G24110, AL3G45980
OG0000011	jg1376, jg22437	AL4G10450
OG0000011	jg12228	AL3G50610
OG0000011	jg13806	AL2G22540
OG0000011	jg1512	AL4G23800
OG0000011	jg6632	AL5G31150, AL8G45660, AL3G40370
OG0000012	jg1757, jg32331	AL5G18610
OG0000012	jg12319	AL1G66070
OG0000012	jg27744, jg1550, jg27237, jg26946, jg7019, jg10010, jg11974, jg21172, jg12128, jg11895, jg21243, jg32109, jg17207, jg1599, jg12143, jg31034, jg32719, jg17365, jg31024, jg27300	AL2G19210
OG0000012	jg32355, jg32390, jg32436, jg32336, jg17412	AL8G19630, AL7G45280
OG0000013	jg1575, jg27445	AL3G45620
OG0000013	jg12130	AL5G20640
OG0000014	jg22974	AL3G43620, AL527U10010
OG0000014	jg18640	AL7G43490
OG0000015	jg32444	AL1G15850, AL3G42230
OG0000015	jg6954	AL3G46050
OG0000017	jg32618	AL6G40580
OG0000017	jg32222, jg15995	AL7G11240, AL7G16690, AL4G42290
OG0000017	jg1901, jg1479, jg11614, jg32221, jg11780, jg21044	AL1G18490, AL6G44340, AL6G44350
OG0000017	jg1480	AL4G18270, AL5G11530, AL4G19490
OG0000017	jg14690, jg6982	AL5G20700
OG0000018	jg4400, jg32393, jg11989, jg32560	AL4G20340
OG0000018	jg26774	AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170
OG0000018	jg32267, jg11853, jg1316, jg17083, jg15089, jg16332, jg12414, jg15196, jg2029, jg27287	AL39U10070
OG0000018	jg27179	AL8G31610, AL7G45200, AL2G25080, AL5G20460
OG0000018	jg25715	AL7G47350, AL7G51150
OG0000019	jg21637	AL6G32670
OG0000019	jg26287	AL8G22980
OG0000019	jg13838	AL1G50520
OG0000019	jg27639	AL5G34620, AL5G17780
OG0000019	jg16702	AL7G52850
OG0000019	jg28177	AL8G40930
OG0000020	jg27186	AL4G17980
OG0000021	jg17386, jg13577, jg12206	AL5G10040, AL5G25470
OG0000023	jg7514	AL6G45910
OG0000023	jg10181	AL7G30160
OG0000023	jg7523	AL6G46000
OG0000023	jg7517	AL6G45930
OG0000023	jg7519, jg7518	nbis-gene-1639
OG0000023	jg7521	AL6G45970
OG0000023	jg7533, jg7537, jg7530	AL1G66280
OG0000023	jg10191	AL7G30270
OG0000023	jg10192	AL7G30280
OG0000023	jg10190	AL7G30260
OG0000024	jg13862	AL128U10010
OG0000025	jg22446	AL594U10010
OG0000025	jg22247, jg22250	AL8G29780
OG0000025	jg22427, jg22428	AL236U10020
OG0000025	jg22259	AL8G29920
OG0000025	jg22007	nbis-gene-2113
OG0000025	jg22006	nbis-gene-2112
OG0000025	jg22262, jg22279, jg22270	AL8G29950
OG0000025	jg22236	AL8G29750
OG0000025	jg22237	AL8G29760
OG0000025	jg23430	AL5G44140
OG0000026	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349, jg32153, jg20543, jg27936, jg21506, jg1826, jg1637, jg14016, jg1257	AL2G12870, AL5G16730, AL9U11280
OG0000027	jg17071	AL4G16470
