Orthogroup	Arabidopsis_arenosa	Cochlearia_excelsa
OG0000000	jg21340	g16658, g48700, g28585, g48697, g20926, g15557, g42275, g38565, g15527, g8257, g49005, g8925
OG0000000	jg21092	g43381, g1368, g22041, g30161, g30503, g3478, g21442, g8934, g48064, g32795, g39211, g43269, g30373, g14523, g22546, g24983, g14971, g4315, g25877, g32785, g42245, g9295, g34421, g43335, g33600, g42602, g34365, g35496, g35241, g33195, g30362, g30003, g41664, g49210
OG0000000	jg2924, jg12072, jg12472	g34594, g8693, g34396, g42237
OG0000000	jg27456	g8542
OG0000000	jg2001	g8860, g34135, g42650, g21489, g24928, g49072
OG0000000	jg27197, jg21191, jg32817, jg27337, jg72, jg32155, jg20829, jg8262	g26362, g33443, g24882, g17665, g42071, g52754, g33447, g35195, g52439, g3554, g15622, g26364
OG0000000	jg17429	g34753, g25891, g43643, g52519, g34575, g34572, g21397, g33355, g30249, g32910, g22189, g19921, g16275, g35086, g35102, g33126, g42102, g34033, g34767, g3404, g42813
OG0000000	jg6893, jg23550	g19788, g26543, g3141, g35622, g3985, g26693, g26442, g42189, g43591, g26823, g34869
OG0000000	jg42	g8483, g19797, g3697, g4199, g3305, g33036, g26838, g35215, g4841, g22231, g34516, g34307, g36940, g30064, g9246, g16755
OG0000000	jg17418	g19951, g32653, g34565, g14368, g48258
OG0000000	jg16482, jg16492	g20288, g2552, g16557, g33271, g2892, g24985, g20292, g20299, g52791, g52787, g46456, g42793, g42075, g35203, g21934, g48247, g11598, g14706
OG0000000	jg27064	g30252, g34845, g9059, g21875, g30199, g22028, g21099, g36650, g9224, g52509, g9287
OG0000002	jg27118	g17598, g51597, g28460, g25506, g14097, g4778, g53950
OG0000003	jg14786	g19913, g14065, g52866, g43208, g25223, g43589, g14824, g15574, g4576, g20561, g20558
OG0000003	jg1672	g16106, g21595
OG0000003	jg11918	g21727, g8684
OG0000004	jg17252	g31046, g53414, g36791, g18495
