Orthogroup	Raphanus_sativus	Arabidopsis_arenosa
OG0000000	XP_018453653.1	jg7091
OG0000000	XP_018460558.1	jg26753
OG0000000	XP_018472282.1	jg25591
OG0000000	XP_018435536.1, XP_018465308.1, XP_018463500.1, XP_018443699.1, XP_018459856.1, XP_018461626.1	jg27616
OG0000003	XP_018479479.1, XP_018458947.1	jg27926
OG0000003	XP_018473666.1	jg17386, jg13577, jg12206, jg20194, jg17562
OG0000004	XP_018467378.1	jg1749
OG0000004	XP_018435922.1	jg21092
OG0000004	XP_018459921.1	jg17418
OG0000008	XP_018487720.1	jg27185
OG0000008	XP_018438736.1	jg15054, jg15062, jg15069, jg15057
OG0000009	XP_018463485.1, XP_018435713.1	jg1846, jg6872
OG0000009	XP_018435786.1, XP_018461258.1	jg17698, jg17538, jg11602
OG0000009	XP_018460890.1, XP_018454026.1, XP_018463890.1, XP_018466227.1, XP_018479847.1, XP_018473842.1, XP_018435552.1, XP_018443423.1	jg13081, jg20041
OG0000011	XP_018436176.1, XP_018465398.1, XP_018435783.1	jg13838, jg27639, jg22122
OG0000011	XP_018450169.1	jg4342
OG0000011	XP_018448446.1	jg14168
OG0000011	XP_018448643.1, XP_018436024.1	jg6805
OG0000015	XP_018459146.1	jg32432, jg6861, jg27710
OG0000018	XP_018487785.1	jg2924
OG0000020	XP_018487868.1, XP_018435883.1, XP_018466125.1, XP_018461261.1, XP_018467394.1, XP_018463332.1, XP_018458674.1, XP_018479532.1, XP_018459067.1, XP_018471648.1, XP_018473772.1, XP_018476168.1, XP_018461992.1, XP_018435266.1, XP_018436016.1	jg21095
OG0000020	XP_018439110.1	jg27354
OG0000020	XP_018463663.1, XP_018481037.1, XP_018464215.1, XP_018448670.1, XP_018448669.1	jg2142
OG0000020	XP_018463043.1	jg32618
OG0000020	XP_018460984.1, XP_018460983.1	jg27355, jg11845, jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883, jg32222, jg15995
OG0000021	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287, jg27179, jg32393, jg11989, jg32560, jg4400, jg26774
OG0000022	XP_018467852.1	jg9770
OG0000022	XP_018446660.1	jg5495
OG0000022	XP_018452507.1	jg642
OG0000022	XP_018456914.1, XP_018456330.1	jg29675, jg638
OG0000022	XP_018439379.1	jg29724
OG0000022	XP_018490861.1, XP_018490862.1, XP_018439418.1, XP_018436026.1, XP_018438506.1, XP_018438505.1, XP_018435012.1, XP_018491224.1, XP_018491225.1, XP_018485652.1, XP_018440869.1, XP_018451491.1, XP_018438507.1, XP_018440496.1, XP_018463937.1, XP_018451058.1, XP_018448229.1	jg29722, jg29734, jg29678, jg29676
OG0000022	XP_018478989.1	jg12744
OG0000022	XP_018437843.1	jg25741
OG0000023	XP_018480111.1	jg1757, jg31920, jg12454
OG0000024	XP_018485466.1, XP_018482596.1	jg17071
OG0000024	XP_018458976.1, XP_018467451.1	jg31712
OG0000024	XP_018467644.1	jg31673
OG0000024	XP_018436387.1	jg27402, jg18984, jg31665, jg31668
OG0000024	XP_018487153.1	jg14278
OG0000025	XP_018435935.1, XP_018448760.1, XP_018471288.1, XP_018462638.1, XP_018443466.1, XP_018487867.1, XP_018463331.1, XP_018480029.1, XP_018487802.1, XP_018476186.1, XP_018475505.1, XP_018475511.1, XP_018435267.1	jg27352
OG0000027	XP_018476504.1, XP_018476512.1, XP_018454315.1	jg7521
OG0000027	XP_018468520.1, XP_018468522.1	jg10174
OG0000027	XP_018464962.1, XP_018461167.1, XP_018471375.1	jg7515
OG0000027	XP_018451933.1, XP_018448914.1	jg10181
OG0000027	XP_018448923.1, XP_018448922.1	jg10205
OG0000027	XP_018454312.1	jg7537, jg7533, jg7530
OG0000027	XP_018454316.1	jg7526
OG0000027	XP_018463400.1, XP_018480408.1	jg10190
OG0000028	XP_018467289.1, XP_018480012.1	jg22446, jg11446, jg22442, jg22443, jg22441, jg22952
OG0000028	XP_018474185.1, XP_018475245.1, XP_018465891.1, XP_018474187.1	jg22236, jg22237
OG0000028	XP_018475306.1, XP_018475278.1	jg22427, jg22428
