Orthogroup	Raphanus_sativus	Cochlearia_excelsa
OG0000000	XP_018472305.1	g25278, g41831
OG0000000	XP_018443420.1	g34710, g46576
OG0000000	XP_018435931.1	g15642
OG0000000	XP_018473866.1, XP_018473869.1, XP_018473811.1, XP_018487729.1, XP_018479554.1, XP_018487722.1, XP_018458508.1, XP_018435836.1, XP_018460445.1, XP_018466408.1, XP_018459879.1, XP_018458776.1, XP_018458831.1, XP_018435953.1, XP_018461970.1, XP_018462044.1, XP_018478488.1, XP_018473859.1, XP_018453885.1, XP_018473827.1	g4652, g42066
OG0000000	XP_018473555.1	g14626
OG0000000	XP_018462157.1	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292
OG0000000	XP_018464511.1, XP_018474039.1, XP_018458646.1	g2380
OG0000000	XP_018465308.1, XP_018463500.1, XP_018443699.1, XP_018459856.1	g34709, g4497, g26082, g48927
OG0000000	XP_018479791.1, XP_018435819.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1, XP_018461587.1, XP_018479550.1, XP_018473616.1	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263
OG0000000	XP_018466708.1, XP_018454128.1	g14416, g10434, g12783, g43405, g3096
OG0000000	XP_018464681.1	g34450, g26048, g33078, g18495, g45105, g43929, g26644, g46718, g14652
OG0000000	XP_018463022.1	g41948
OG0000002	XP_018436084.1	g24273, g31606, g31905, g24143
OG0000002	XP_018461124.1	g37245, g2354, g39436, g6838, g25760, g29103, g23772, g90, g50454, g36751, g4010, g43962, g19245, g43934, g44424, g41749, g24257, g3133, g3191, g4742, g52215, g3933, g13094, g23775, g35212, g16357, g1174, g39575, g53949, g32517, g38095, g38550, g45383, g31907, g19556, g35262, g42582, g4354, g3990, g34279, g45327, g19105, g28792, g31361, g9965, g16038, g50948, g24802, g16867, g54126, g2355, g25413, g53914, g39435, g16050, g49182
OG0000002	XP_018436085.1	g36079
OG0000002	XP_018466031.1	g28128, g35851, g3258, g32516
OG0000002	XP_018465756.1	g22355
OG0000003	XP_018479340.1, XP_018473970.1, XP_018474062.1	g14063
OG0000003	XP_018467689.1, XP_018453433.1, XP_018453884.1, XP_018461971.1	g51436, g50080, g50933, g49020
OG0000003	XP_018453894.1	g18622, g25137
OG0000003	XP_018487877.1, XP_018473660.1, XP_018436223.1, XP_018464826.1, XP_018464837.1, XP_018463488.1, XP_018473840.1	g6810, g1448
OG0000003	XP_018435394.1	g25134
OG0000003	XP_018460607.1	g24632
OG0000003	XP_018458309.1, XP_018477029.1	g42621
OG0000003	XP_018462893.1	g42622
OG0000003	XP_018467654.1	g12346, g2655, g14239, g52812
OG0000003	XP_018487950.1, XP_018479095.1	g26213, g52072
OG0000003	XP_018435818.1	g53942, g4056, g32055, g3715
OG0000003	XP_018448335.1, XP_018448333.1, XP_018473666.1, XP_018436465.1, XP_018435962.1	g46643, g3725, g24106
OG0000004	XP_018466160.1, XP_018473944.1	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059
OG0000004	XP_018467378.1	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889
OG0000004	XP_018461339.1	g21983, g42984, g20893, g26400, g20569, g25307, g35496, g22187, g30034, g35136, g53148, g26496, g23263, g19433, g53231, g5034, g16879, g34609, g30041, g8348, g18470, g43270, g20927, g21387, g53257, g32762, g25182, g53206, g53402, g42012, g49243, g19888, g15221, g48834, g14943, g8471, g3588, g40872, g15611, g20848, g42568, g33231, g52412, g35580, g35834, g15847, g15509, g42990, g32807, g49050, g3533, g43274, g49066, g15473, g48262, g4602, g48198, g44460, g26367, g33388, g52326, g8598, g21125, g22323
OG0000004	XP_018458452.1, XP_018479562.1	g30371, g48085, g4721, g53669, g21500, g25180, g52738, g21847
OG0000004	XP_018435922.1	g48700, g20926, g15557, g42275, g8925, g8257, g28585, g16658, g39214, g39216, g48656, g1668, g8853, g30531
OG0000004	XP_018459921.1	g21492, g48652, g53446, g48258, g26620, g4470
OG0000004	XP_018454350.1	g16396, g30119
OG0000004	XP_018463541.1	g32855
OG0000004	XP_018456393.1	g16275, g33029
OG0000004	XP_018464654.1	g15895, g33141, g34291, g3426
OG0000004	XP_018459208.1, XP_018459207.1	g6262
OG0000004	XP_018462257.1, XP_018435900.1	g53542
OG0000004	XP_018462320.1, XP_018465985.1	g15622
