Orthogroup	Raphanus_sativus	Cardamine_glauca
OG0000000	XP_018443468.1, XP_018460143.1, XP_018436074.1, XP_018458626.1, XP_018487800.1, XP_018461381.1, XP_018487582.1	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500
OG0000000	XP_018436035.1	Cg003G0947300
OG0000000	XP_018435931.1	Cg005G1542700
OG0000000	XP_018488005.1, XP_018435927.1, XP_018479789.1, XP_018463775.1	Cg001G0384000
OG0000000	XP_018474641.1, XP_018463709.1, XP_018435631.1, XP_018453541.1, XP_018462157.1, XP_018435281.1, XP_018435286.1, XP_018460172.1, XP_018443746.1, XP_018479968.1, XP_018461263.1, XP_018435287.1, XP_018453921.1, XP_018460558.1, XP_018479757.1, XP_018472282.1, XP_018487416.1, XP_018487413.1, XP_018479119.1, XP_018487613.1, XP_018435875.1, XP_018453704.1, XP_018478228.1, XP_018463849.1, XP_018478413.1, XP_018479618.1, XP_018462177.1, XP_018479420.1	Cg002G0506900
OG0000000	XP_018479790.1, XP_018487667.1, XP_018488079.1, XP_018473662.1	Cg002G0574500
OG0000000	XP_018479791.1, XP_018435819.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1, XP_018461587.1, XP_018479550.1, XP_018473616.1	Cg007G2381100
OG0000000	XP_018453573.1, XP_018462059.1	Cg004G1415700
OG0000002	XP_018436084.1	Cg001G0121200
OG0000002	XP_018436085.1, XP_018453671.1, XP_018459832.1	Cg002G0472400, Cg005G1504200
OG0000003	XP_018479340.1, XP_018473970.1, XP_018474062.1	Cg006G1905700
OG0000003	XP_018448722.1, XP_018487950.1, XP_018479095.1, XP_018435818.1	Cg001G0323400, Cg008G2981700
OG0000004	XP_018466160.1, XP_018473944.1	Cg014G3042600
OG0000004	XP_018467378.1	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	XP_018459921.1, XP_018454350.1, XP_018470557.1, XP_018479771.1, XP_018463541.1, XP_018456393.1	Cg004G1187900
OG0000004	XP_018462257.1, XP_018435900.1	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600
OG0000005	XP_018460938.1	Cg006G1917400
OG0000007	XP_018455976.1	Cg006G1865000
OG0000007	XP_018466179.1	Cg001G0098100
OG0000007	XP_018448723.1, XP_018448724.1	Cg008G2926400, Cg008G2911000, Cg001G0210800
OG0000007	XP_018487693.1	Cg004G1331500
OG0000008	XP_018461035.1, XP_018443555.1, XP_018443557.1, XP_018443584.1, XP_018464955.1, XP_018479533.1, XP_018467574.1, XP_018473874.1, XP_018487389.1, XP_018453621.1, XP_018473912.1, XP_018435954.1, XP_018443581.1, XP_018462957.1, XP_018454207.1, XP_018462648.1, XP_018465341.1, XP_018435390.1, XP_018435386.1, XP_018454008.1, XP_018459643.1, XP_018463424.1, XP_018487499.1, XP_018435369.1, XP_018475693.1, XP_018488090.1, XP_018458139.1, XP_018489767.1, XP_018444644.1, XP_018448882.1, XP_018448884.1, XP_018464317.1, XP_018448605.1, XP_018463041.1, XP_018455757.1, XP_018458111.1, XP_018463415.1, XP_018453388.1, XP_018479750.1, XP_018464703.1, XP_018488222.1, XP_018482699.1, XP_018473907.1, XP_018459798.1, XP_018490599.1, XP_018489331.1, XP_018469961.1, XP_018460935.1	Cg002G0653600
OG0000008	XP_018438736.1	Cg002G0512100, Cg002G0565700
OG0000009	XP_018463485.1, XP_018435713.1	Cg003G0834900
OG0000009	XP_018479454.1	Cg007G2452800
OG0000009	XP_018479324.1, XP_018463676.1, XP_018474023.1	Cg005G1711000
OG0000009	XP_018467418.1, XP_018443533.1, XP_018481184.1	Cg005G1717900, Cg003G0717800, Cg005G1769300
OG0000011	XP_018436001.1, XP_018453737.1, XP_018450169.1, XP_018468839.1, XP_018448270.1, XP_018448446.1, XP_018453517.1, XP_018444097.1	Cg005G1679200
OG0000011	XP_018448643.1, XP_018436024.1	Cg005G1679100
OG0000012	XP_018479747.1, XP_018479745.1, XP_018487564.1, XP_018466969.1, XP_018450842.1, XP_018479316.1, XP_018481586.1, XP_018466155.1, XP_018436044.1, XP_018465050.1, XP_018479889.1, XP_018471963.1, XP_018448880.1, XP_018479604.1, XP_018459024.1, XP_018462958.1	Cg005G1703300
OG0000014	XP_018461000.1	Cg001G0103300
OG0000015	XP_018475313.1	Cg001G0251200
OG0000015	XP_018463612.1	Cg008G2857400
OG0000016	XP_018466545.1, XP_018464905.1, XP_018465409.1, XP_018443351.1	Cg005G1715500
OG0000016	XP_018463982.1	Cg001G0284700
OG0000018	XP_018453711.1, XP_018467280.1, XP_018487785.1, XP_018448678.1, XP_018458644.1, XP_018474819.1, XP_018459885.1, XP_018464831.1, XP_018458866.1	Cg003G0814300
OG0000020	XP_018487868.1, XP_018435883.1, XP_018466125.1, XP_018461261.1, XP_018467394.1, XP_018463332.1, XP_018458674.1, XP_018479532.1, XP_018459067.1, XP_018471648.1, XP_018473772.1, XP_018476168.1, XP_018461992.1, XP_018435266.1, XP_018436016.1, XP_018439110.1	Cg004G1313600
OG0000021	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1	Cg006G1871200, Cg003G0793000, Cg001G0263700, Cg003G0871900, Cg005G1666000
OG0000022	XP_018467852.1	Cg001G0134600
OG0000022	XP_018452507.1	Cg007G2277400
OG0000022	XP_018478989.1	Cg001G0385000
OG0000022	XP_018437843.1	Cg004G1232100
OG0000023	XP_018459711.1	Cg003G0882200, Cg006G1902200
OG0000023	XP_018443761.1	Cg003G1048300, Cg006G1990600, Cg003G0860500, Cg007G2541200, Cg014G3040300
OG0000023	XP_018480111.1	Cg006G2067800
OG0000024	XP_018436387.1	Cg006G1963900, Cg006G1963800
OG0000024	XP_018487153.1	Cg002G0447000, Cg002G0448700
OG0000025	XP_018487947.1	Cg007G2444400
OG0000027	XP_018476504.1, XP_018476512.1, XP_018454315.1	Cg003G0758500
OG0000027	XP_018468520.1, XP_018468522.1	Cg001G0170600
OG0000027	XP_018464962.1, XP_018461167.1, XP_018471375.1	Cg003G0758900
OG0000027	XP_018451939.1, XP_018448955.1	Cg001G0171100
OG0000027	XP_018458837.1, XP_018459041.1	Cg001G0171400
OG0000027	XP_018448923.1, XP_018448922.1	Cg001G0172400
OG0000027	XP_018454312.1	Cg003G0757800
OG0000027	XP_018463400.1, XP_018480408.1	Cg001G0171700
OG0000028	XP_018467289.1, XP_018480012.1	Cg003G0981300
OG0000028	XP_018465681.1, XP_018448362.1	Cg007G2581000
OG0000028	XP_018475375.1, XP_018475377.1, XP_018475791.1, XP_018475795.1	Cg001G0051700
OG0000028	XP_018462813.1	Cg006G2183100
OG0000028	XP_018474193.1, XP_018474191.1, XP_018466544.1, XP_018480011.1	Cg003G0941300
OG0000029	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1, XP_018459455.1, XP_018479546.1, XP_018443548.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018436157.1, XP_018464649.1, XP_018464671.1, XP_018475894.1, XP_018478725.1, XP_018460863.1, XP_018479047.1, XP_018472293.1, XP_018448729.1, XP_018459873.1, XP_018488169.1	Cg007G2405400, Cg007G2364600, Cg001G0384100
OG0000030	XP_018435466.1, XP_018464547.1, XP_018443694.1	Cg004G1270000
OG0000030	XP_018481995.1, XP_018492454.1	Cg004G1264800
OG0000030	XP_018479424.1, XP_018466469.1, XP_018462013.1	Cg006G1982700, Cg001G0286900
OG0000030	XP_018453970.1	Cg002G0532900
