Orthogroup	Capsella_rubella	Cochlearia_excelsa
OG0000000	XP_023632598.1	g23875, g4482
OG0000000	XP_023644510.1, XP_023644490.1	g15642
OG0000000	XP_023637681.1	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292, g4630, g41809, g41811, g1664, g47712, g1393, g31899, g26833, g41879, g46860, g14950, g30821, g7470, g17871, g24558, g2149, g2379
OG0000000	XP_023640349.1	g36335
OG0000000	XP_023640443.1, XP_023633512.1	g30907
OG0000002	XP_023638855.1	g44628, g5460, g51805, g6616, g5880, g29227, g49681, g9947, g35122, g12827, g22517, g22299, g14099, g23128, g16024, g17546, g22357, g54221, g22707, g40366, g33609, g51791, g16254, g12053, g52853, g57, g36475, g33085, g32227, g2531, g12890, g3989, g17420, g50076, g39920, g43321, g35849, g15943, g22279, g12708, g46797, g517, g33084, g42698, g194, g14098, g24145, g44742, g2225, g18734, g16611, g35850, g48969, g35126, g46299, g34796, g36749, g37143, g40655, g12891, g12952, g23648, g37011, g46087, g50562, g10421, g38467, g19554, g41590, g32328, g31909, g92, g3931, g28790, g2558, g52048, g4353, g42923, g25758, g39438, g3132, g16037, g32048, g2353, g1175, g4895, g38552, g17829, g45326, g19106, g12705, g54131, g12567, g53909, g51166, g32228, g13093, g26238, g53437, g9948, g22268, g41801, g38312, g31092, g50475, g49477, g22706, g20017, g36478, g4705, g24147, g56, g19235, g5458, g4202, g36769, g6617, g22858, g22281, g40197, g16025, g35637, g22483, g29768, g37989, g39923, g47601, g28189, g19054, g31608, g5152, g36551, g5878, g51652, g43320, g32846, g18735, g3257, g45380, g30785, g36477, g19234, g2906, g17597, g30784, g50260, g23112, g10785, g13170, g49645, g38313, g17830, g38094, g18733, g51782, g51654, g53783, g22354, g25505, g4702, g49476, g47321, g22754, g40394, g6620, g24144, g44741, g28463, g36764, g17951, g52049, g10783, g54223, g47322, g50479, g22753, g1903, g3746, g17293, g28808, g36550, g2075, g51102, g19055, g14321, g49632, g49475, g41842, g41535, g12570, g45323, g23052, g6837, g29104, g38549, g1173, g4356, g3134, g24273, g31606, g31905, g24143, g12828, g5461, g42699, g19117, g37245, g2354, g39436, g6838, g25760, g29103, g23772, g90, g50454, g36751, g4010, g43962, g19245, g43934, g44424, g41749, g24257, g3133, g3191, g4742, g52215, g3933, g13094, g23775, g35212, g16357, g1174, g39575, g53949, g32517, g38095, g38550, g45383, g31907, g19556, g35262, g42582, g4354, g3990, g34279, g45327, g19105, g28792, g31361, g9965, g16038, g50948, g24802, g16867, g54126, g2355, g25413, g53914, g39435, g16050, g49182, g16055, g23051, g18890, g45322, g36393, g17831, g43957, g43885, g32847, g42704, g32759, g22481, g22300, g26182, g22499, g51595, g16351, g4776, g22857, g34979, g16823, g32695, g26240, g28129, g11929, g37738
OG0000004	XP_023644517.1, XP_023638874.1	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059
OG0000004	XP_023639960.1	g15980, g52602, g15019
OG0000004	XP_023632701.1	g15622
OG0000005	XP_023640321.1	g3007
OG0000005	XP_023639598.1	g52866, g10483, g26067, g34544, g15875, g33596, g14065, g35068, g53526, g19913, g53525, g15922, g34539, g43208, g6103, g1720, g25223, g41973
OG0000005	XP_023634510.1	g33986
OG0000005	XP_023638126.1	g4552, g14576
OG0000005	XP_023645768.1	g21883
OG0000005	XP_023640434.1, XP_023642103.1	g15274, g3525
OG0000005	XP_023642453.1	g39056
OG0000005	XP_023636063.1	g20611, g15105, g33817
OG0000007	XP_023640317.1	g4635
OG0000007	XP_023635150.1	g1504, g5172, g25855
OG0000007	XP_023640335.1	g4033
OG0000007	XP_023643356.1, XP_023634292.1	g47006, g45886, g50470
OG0000007	XP_023644453.1	g40353, g47960
OG0000008	XP_023641963.1	g26783
OG0000008	XP_023633617.1	g29630, g27680, g4391, g43762, g33124
