Orthogroup	Capsella_rubella	Brassica_rapa
OG0000000	XP_023644510.1, XP_023644490.1	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1
OG0000000	XP_023637681.1	XP_033143372.1, XP_009140188.1, XP_009150035.2, XP_018514383.1, XP_033148610.1, XP_009150816.2, XP_009103791.2, XP_009103405.1
OG0000000	XP_023633614.1	XP_033128765.1, XP_009108636.2, XP_033132438.1
OG0000000	XP_023634268.1, XP_023644256.1	XP_009140393.1, XP_033148554.1, XP_009113628.1, XP_033146231.1, XP_009127418.1
OG0000000	XP_023640349.1	XP_033130110.1
OG0000000	XP_023633451.1	XP_009129274.1
OG0000000	XP_023633877.1	XP_033131605.1, XP_033131962.1
OG0000000	XP_023640443.1, XP_023633512.1	XP_033134325.1, XP_033135924.1
OG0000000	XP_023632892.1	XP_009124577.2
OG0000002	XP_023638855.1	XP_033138748.1
OG0000003	XP_023644456.1	XP_033129393.1, XP_009107616.2, XP_009138649.2, XP_033148502.1, XP_033133979.1, XP_033141128.1, XP_009119170.2
OG0000004	XP_023644517.1, XP_023638874.1	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1
OG0000004	XP_023632701.1	XP_033139378.1, XP_033139209.1
OG0000005	XP_023633718.1	XP_033144892.1
OG0000005	XP_023640321.1	XP_018511976.2
OG0000005	XP_023639598.1	XP_009113007.1, XP_033148226.1, XP_009106784.1, XP_033147287.1, XP_018514447.1
OG0000005	XP_023645768.1	XP_033145199.1, XP_033138856.1, XP_033139537.1
OG0000005	XP_023636063.1	XP_033134337.1
OG0000007	XP_023640317.1	XP_033140542.1, XP_033128538.1
OG0000007	XP_023639048.1, XP_023644546.1	XP_033134391.1, XP_009103805.2, XP_009129528.2, XP_033133945.1
OG0000007	XP_023643663.1	XP_033133985.1, XP_033143316.1, XP_033138798.1, XP_033141235.1, XP_033133974.1, XP_033141172.1, XP_033145248.1, XP_033143243.1
OG0000007	XP_023636902.1	XP_033145261.1, XP_033128729.1, XP_033133916.1
OG0000008	XP_023641963.1	XP_033145226.1
OG0000008	XP_023633343.1	XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_018513989.2, XP_033129879.1, XP_033140569.1, XP_033140184.1
OG0000008	XP_023638567.1	XP_009115858.3
OG0000008	XP_023633352.1	XP_033131438.1, XP_033138353.1, XP_033131793.1
OG0000009	XP_023639354.1	XP_009142536.1, XP_009111228.2
OG0000009	XP_023640352.1	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1
OG0000009	XP_006292284.1	XP_009109961.2, XP_033148561.1, XP_009139324.1
OG0000011	XP_023644226.1	XP_033140208.1, XP_033129445.1, XP_033136844.1, XP_033130854.1, XP_033144009.1, XP_033128807.1
OG0000011	XP_023641372.1	XP_033144010.1
OG0000011	XP_023643301.1, XP_023638031.1	XP_033143497.1, XP_033129499.1, XP_018513221.2, XP_033148218.1, XP_018514420.1
OG0000011	XP_023641182.1, XP_006288329.2	XP_033132530.1
OG0000014	XP_023638462.1, XP_023634279.1	XP_033137204.1, XP_033143861.1, XP_033138986.1
OG0000015	XP_023633382.1	XP_033143451.1
OG0000015	XP_023636914.1	XP_033143221.1
OG0000018	XP_023639601.1	XP_033139921.1
OG0000020	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1	XP_033132628.1, XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1
OG0000020	XP_006302668.2	XP_033146803.1, XP_033138241.1, XP_033134460.1, XP_033147772.1
OG0000021	XP_023634269.1, XP_023637241.1, XP_023637954.1, XP_006303531.2, XP_023644562.1, XP_023641377.1, XP_023638098.1, XP_023633350.1, XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1
OG0000022	XP_006283550.1	XP_009142868.1
OG0000022	XP_023636761.1	XP_009121467.1
OG0000022	XP_006302102.1	XP_009112698.1
OG0000022	XP_006301814.1	XP_009112701.1
OG0000022	XP_006306232.1	XP_033134453.1
OG0000022	XP_006303680.2, XP_006303621.1	XP_033133748.1
OG0000022	XP_006306401.2, XP_006303167.1	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1
OG0000022	XP_023643559.1, XP_006302132.1	XP_009112843.1
OG0000022	XP_023635463.1	XP_009140073.1
OG0000022	XP_006297483.1	XP_009114567.1
OG0000023	XP_023633772.1	XP_033132919.1, XP_033134299.1, XP_033130737.1
OG0000023	XP_023642187.1	XP_033131417.1, XP_033140796.1, XP_033147063.1
OG0000024	XP_023632980.1, XP_023632975.1, XP_023632970.1	XP_009144063.2, XP_018514372.2, XP_033148397.1
OG0000025	XP_023636962.1	XP_033129969.1
OG0000025	XP_023641784.1, XP_023644446.1, XP_023636071.1	XP_033131820.1, XP_033134321.1, XP_033134331.1, XP_033135247.1, XP_009150041.2, XP_018513355.1, XP_033128551.1, XP_018515043.1, XP_009149632.2, XP_033129389.1, XP_033133949.1, XP_009113566.2, XP_033141177.1, XP_033133947.1, XP_033131885.1, XP_033143428.1, XP_033139107.1, XP_009115887.2, XP_033134459.1, XP_033130671.1, XP_033136819.1, XP_009108648.2, XP_033129312.1
OG0000027	XP_006287218.1	XP_033142038.1
OG0000027	XP_023635866.1	XP_033142132.1
OG0000027	XP_006284983.1	XP_009136778.1, XP_009136797.2
OG0000027	XP_023634683.1	XP_033132923.1
OG0000027	XP_006283253.1	XP_009108600.1
OG0000027	XP_023634688.1	XP_009137325.1
OG0000027	XP_006285954.1	XP_033144191.1
OG0000027	XP_006287240.1	XP_009108168.1
OG0000027	XP_023634685.1	XP_009136791.2
OG0000028	XP_023634475.1	XP_009101849.2, XP_033129787.1, XP_033138374.1
OG0000028	XP_006304936.1, XP_023644946.1	XP_033132412.1, XP_033132404.1, XP_009107001.1
OG0000028	XP_006281712.1	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1
OG0000028	XP_006285133.1	XP_009148196.2
OG0000029	XP_023633422.1, XP_023644241.1, XP_023638860.1, XP_023634002.1, XP_023644242.1, XP_023644257.1, XP_023638123.1, XP_023633373.1, XP_023633615.1, XP_023641909.1, XP_023636106.1, XP_023644249.1, XP_023638859.1	XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_009105534.2, XP_033129358.1, XP_009128619.2, XP_009102786.1, XP_009111952.1, XP_009106480.1, XP_009118510.1
OG0000029	XP_023634815.1, XP_023641328.1, XP_023642217.1, XP_023644323.1, XP_023644233.1, XP_023640355.1	XP_009130032.1, XP_033147848.1, XP_009127426.1, XP_009101982.1, XP_033133924.1, XP_009124763.2, XP_009113849.2, XP_009146105.1, XP_033129930.1, XP_009107501.2, XP_009115704.1
OG0000029	XP_023640390.1, XP_023635785.1, XP_023637682.1	XP_033141711.1, XP_033144745.1, XP_009137703.2, XP_009144174.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_009145179.2, XP_033138742.1, XP_009150817.2, XP_009138126.1, XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1
OG0000030	XP_023642658.1, XP_023641336.1, XP_006296044.1	XP_033144643.1, XP_033142641.1
OG0000030	XP_006297884.1	XP_033138328.1, XP_033137984.1, XP_009141814.1
OG0000030	XP_006303634.1, XP_023632886.1, XP_023632793.1	XP_033129474.1, XP_033128828.1, XP_033131947.1
OG0000030	XP_006293126.1	XP_033148474.1
OG0000030	XP_006297854.1, XP_006297862.1, XP_006300177.2	XP_018510426.1
OG0000030	XP_006298407.2	XP_033130762.1, XP_033145302.1, XP_033146117.1, XP_009123103.2, XP_009141585.2
OG0000032	XP_023634318.1	XP_033134461.1
OG0000032	XP_023632591.1	XP_033143621.1
OG0000034	XP_006283285.1	XP_009137321.1, XP_009136929.1
OG0000034	XP_023634692.1	XP_009136747.2
OG0000034	XP_006285944.1	XP_009137324.1, XP_033135404.1
OG0000034	XP_023634856.1	XP_009134716.1
OG0000034	XP_023634635.1	XP_009137319.1
OG0000034	XP_006283283.1	XP_033143970.1
OG0000034	XP_023635576.1	XP_009108599.1
OG0000035	XP_023633542.1, XP_023633652.1, XP_023639706.1	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1
OG0000040	XP_023643349.1	XP_009126331.2
OG0000040	XP_023643216.1, XP_023641303.1	XP_009149322.1
OG0000040	XP_023638978.1, XP_023642459.1, XP_023632551.1, XP_023638973.1, XP_023644566.1, XP_023634840.1, XP_023636105.1, XP_023633811.1	XP_033131826.1, XP_009107588.1, XP_033134026.1, XP_009148789.1
OG0000042	XP_023634283.1	XP_033136099.1, XP_009120611.1, XP_033129992.1, XP_009108258.2
OG0000042	XP_023644481.1	XP_009138234.2, XP_033131226.1
OG0000044	XP_006282385.2	XP_033136809.1
OG0000044	XP_023638542.1	XP_033139620.1
OG0000044	XP_006281533.1	XP_018512047.1, XP_009134864.2
OG0000044	XP_023636310.1	XP_018513381.1
OG0000048	XP_023640388.1	XP_009141214.1, XP_033145357.1
OG0000048	XP_023640514.1	XP_009123149.2
