Orthogroup	Capsella_rubella	Arabis_alpina
OG0000002	XP_023638855.1	Aa_G417360.h1.t1, Aa_G109850.h1.t1, Aa_G504380.h1.t1, Aa_G843080.h1.t1, Aa_G973590.h1.t1, Aa_G523140.h1.t1, Aa_G139860.h1.t1, Aa_G544990.h1.t1
OG0000005	XP_023633718.1	Aa_G301670.h1.t1
OG0000005	XP_023639598.1	Aa_G418640.h1.t1
OG0000007	XP_023634292.1	Aa_G596260.h1.t1
OG0000007	XP_023634518.1, XP_023644418.1	Aa_G437570.h1.t1
OG0000008	XP_023638567.1	Aa_G302250.h1.t1
OG0000011	XP_023638113.1, XP_023633028.1	Aa_G396980.h1.t1
OG0000011	XP_023641372.1	Aa_G277650.h1.t1
OG0000012	XP_023644370.1, XP_023634858.1, XP_023636049.1	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1
OG0000012	XP_023636126.1	Aa_G1031570.h1.t1
OG0000014	XP_023639612.1	Aa_G17450.h1.t1
OG0000014	XP_023638462.1, XP_023634279.1	Aa_G227980.h1.t1, Aa_G848940.h1.t1, Aa_G286860.h1.t1, Aa_G162930.h1.t1, Aa_G7690.h1.t1, Aa_G192810.h1.t1
OG0000015	XP_023644452.1	Aa_G212210.h1.t1
OG0000020	XP_023640323.1, XP_006279199.1, XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1, XP_023644230.1, XP_023638100.1, XP_023633554.1, XP_023644447.1, XP_023640322.1, XP_006301549.2, XP_023638121.1	Aa_G135640.h1.t1
OG0000022	XP_023636761.1	Aa_G447870.h1.t1
OG0000022	XP_006301297.1	Aa_G357190.h1.t1
OG0000022	XP_006306401.2, XP_006303167.1	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1
OG0000022	XP_023635463.1, XP_006297483.1	Aa_G97120.h1.t1
OG0000024	XP_023643300.1, XP_023632994.1, XP_023633131.1, XP_023632981.1, XP_023645579.1, XP_023645581.1	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000024	XP_023633004.1, XP_023639207.1	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
