Orthogroup	Capsella_rubella	Euclidium_syriacum
OG0000000	XP_023632598.1	ESY6_g47093_DN2_SP0_c0.t1
OG0000002	XP_023640941.1, XP_023638855.1	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	XP_023641338.1	ESY7_g19226_DN2_SP0_c46.t1
OG0000003	XP_023644456.1	ESY9_g43824_DN1_SP0_c0.t1
OG0000004	XP_023644517.1, XP_023638874.1	ESY9_g43878_DN2_SP0_c0.t1
OG0000007	XP_023640317.1, XP_023635039.1, XP_023635150.1, XP_023639048.1, XP_023644546.1, XP_023641719.1, XP_023637544.1, XP_023643663.1, XP_023636902.1, XP_023640335.1, XP_023643356.1, XP_023634292.1, XP_023634518.1, XP_023644418.1, XP_023636143.1, XP_023633251.1, XP_023633686.1, XP_023640302.1, XP_023644453.1	ESY9_g43616_DN3_SP0_c12.t1
OG0000009	XP_023639354.1	ESY2_g34470_DN1_SP0_c0.t1
OG0000009	XP_023639614.1, XP_023644435.1, XP_023644436.1	ESY13_g56734_DN1_SP0_c0.t1
OG0000011	XP_023638113.1, XP_023633028.1	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1
OG0000011	XP_023644226.1	ESY5_g2565_DN1_SP0_c0.t1
OG0000011	XP_023636996.1, XP_023635713.1, XP_023636144.1, XP_023636084.1, XP_023637727.1, XP_006305811.2, XP_023641252.1, XP_023637592.1, XP_023644258.1, XP_023643301.1, XP_023638031.1	ESY8_g60782_DN3_SP0_c0.t1
OG0000011	XP_006288329.2	ESY7_g17507_DN3_SP0_c53.t1
OG0000015	XP_023644452.1	ESY4_g23102_DN1_SP0_c100.t1
OG0000015	XP_023638902.1	ESY2_g38598_DN3_SP0_c0.t1
OG0000020	XP_023640323.1, XP_006279199.1, XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1, XP_023644230.1, XP_023638100.1, XP_023633554.1, XP_023644447.1, XP_023640322.1, XP_006301549.2, XP_023638121.1	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1
OG0000021	XP_023634269.1, XP_023637241.1, XP_023637954.1, XP_006303531.2, XP_023644562.1, XP_023641377.1, XP_023638098.1, XP_023633350.1, XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000021	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1
OG0000023	XP_023633772.1, XP_023636242.1, XP_023642187.1, XP_023636237.1	ESY11_g53222_DN2_SP0_c100.t1
OG0000027	XP_023635866.1	ESY9_g42764_DN3_SP0_c0.t1
OG0000027	XP_006283274.1, XP_006282816.1, XP_023634698.1, XP_006283296.1, XP_023634685.1, XP_023634702.1	ESY9_g42607_DN2_SP0_c68.t1
OG0000028	XP_023634475.1	ESY3_g32269_DN2_SP0_c54.t1
OG0000028	XP_006299262.2	ESY20_g13267_DN3_SP0_c0.t1
OG0000028	XP_023633414.1	ESY4_g24911_DN2_SP0_c50.t1, ESY7_g18156_DN1_SP0_c46.t1
OG0000030	XP_023644289.1	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1
OG0000030	XP_006297884.1	ESY3_g29344_DN3_SP0_c0.t1
OG0000030	XP_006303634.1, XP_023632886.1, XP_023632793.1	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1
OG0000030	XP_006293126.1	ESY3_g29392_DN3_SP0_c0.t1
OG0000030	XP_006297854.1, XP_006297862.1, XP_006300177.2	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1
OG0000035	XP_023633542.1, XP_023633652.1, XP_023639706.1	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1
OG0000035	XP_023640381.1, XP_023634177.1	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1
OG0000035	XP_023634166.1	ESY10_g13797_DN1_SP0_c0.t1
OG0000040	XP_023640353.1	ESY7_g16531_DN2_SP0_c0.t1
OG0000042	XP_023634283.1	ESY18_g63717_DN3_SP0_c55.t1, ESY17_g39786_DN2_SP0_c77.t1, ESY1_g9008_DN2_SP0_c16.t1, ESY3_g28214_DN2_SP0_c7.t1, ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1, ESY17_g39785_DN1_SP0_c100.t1
OG0000042	XP_023644481.1	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1
OG0000043	XP_023643350.1, XP_023644208.1, XP_023639459.1, XP_006301503.2, XP_006296651.2, XP_006296775.2, XP_006299187.2, XP_006304881.2	ESY4_g23863_DN2_SP0_c100.t1
OG0000046	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1	ESY15_g65758_DN2_SP0_c100.t1
OG0000048	XP_023640388.1	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1
OG0000048	XP_023640387.1	ESY8_g58361_DN2_SP0_c0.t1
OG0000048	XP_006299189.1	ESY8_g58364_DN2_SP0_c0.t1
OG0000048	XP_023632757.1	ESY1_g10653_DN1_SP0_c0.t1
OG0000048	XP_023641959.1	ESY3_g32505_DN1_SP0_c0.t1, ESY3_g32506_DN1_SP0_c0.t1
OG0000050	XP_006299955.2	ESY1_g9981_DN2_SP0_c0.t1, ESY7_g19658_DN2_SP0_c17.t1, ESY3_g29149_DN1_SP0_c0.t1, ESY9_g45386_DN2_SP0_c0.t1, ESY21_g55697_DN2_SP0_c0.t1, ESY10_g15754_DN1_SP0_c0.t1, ESY3_g27878_DN2_SP0_c0.t1
OG0000051	XP_006304062.1	ESY5_g5128_DN3_SP0_c0.t1
OG0000051	XP_023640868.1	ESY5_g5127_DN3_SP0_c0.t1
OG0000051	XP_023640424.1	ESY5_g2706_DN3_SP0_c11.t1
OG0000051	XP_023639525.1, XP_023640425.1, XP_023640455.1, XP_023640454.1	ESY12_g51338_DN3_SP0_c0.t1
OG0000052	XP_023638056.1, XP_023639204.1	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1
OG0000052	XP_006291114.1, XP_006291129.1	ESY1_g10445_DN3_SP0_c0.t1
OG0000052	XP_023638815.1	ESY1_g10448_DN1_SP0_c0.t1
OG0000055	XP_006299228.1, XP_006300113.1	ESY2_g35826_DN2_SP0_c0.t1
OG0000055	XP_023642764.1	ESY8_g59290_DN2_SP0_c0.t1
OG0000055	XP_006292584.2, XP_023634515.1	ESY3_g29892_DN1_SP0_c0.t1
OG0000055	XP_006286657.2	ESY2_g35556_DN3_SP0_c0.t1
OG0000055	XP_006299604.1	ESY16_g61658_DN1_SP0_c0.t1, ESY2_g38033_DN2_SP0_c0.t1
OG0000056	XP_006302241.1	ESY2_g33771_DN2_SP0_c0.t1
OG0000056	XP_006301237.2	ESY2_g33766_DN3_SP0_c0.t1
OG0000056	XP_023643438.1	ESY2_g33762_DN3_SP0_c0.t1
OG0000056	XP_006301411.1, XP_006301193.1, XP_006301052.1	ESY2_g33775_DN1_SP0_c0.t1
OG0000056	XP_006292456.1	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1
OG0000058	XP_023633448.1, XP_023636066.1, XP_023636060.1, XP_023640345.1, XP_023636058.1, XP_023640315.1, XP_023643584.1, XP_023640320.1, XP_023634265.1, XP_023644147.1, XP_023644470.1, XP_023634034.1, XP_023638869.1	ESY13_g56710_DN1_SP0_c0.t1
OG0000059	XP_023633548.1, XP_023644244.1, XP_023634277.1	ESY11_g53896_DN3_SP0_c0.t1
OG0000061	XP_023640829.1	ESY10_g14355_DN2_SP0_c0.t1
OG0000062	XP_023633725.1	ESY17_g40168_DN2_SP0_c0.t1, ESY1_g8355_DN3_SP0_c0.t1
OG0000062	XP_023633353.1	ESY9_g44156_DN3_SP0_c0.t1
OG0000062	XP_023634169.1	ESY14_g20663_DN3_SP0_c36.t1
OG0000064	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1, XP_006301107.1, XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301855.1, XP_006301176.1, XP_006306169.1	ESY16_g62560_DN2_SP0_c0.t1
OG0000065	XP_023638915.1	ESY4_g26383_DN3_SP0_c53.t1
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	ESY23_g163_DN2_SP0_c0.t1, ESY7_g18022_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1
OG0000066	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1	ESY2_g36068_DN3_SP8_c0.t1
OG0000066	XP_006304375.1	ESY18_g62954_DN3_SP0_c77.t1
OG0000067	XP_023638931.1, XP_023634337.1, XP_023633435.1, XP_023645924.1	ESY3_g28898_DN3_SP0_c0.t1
OG0000068	XP_006289028.2, XP_006289556.2, XP_023637280.1	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1
OG0000068	XP_023642606.1, XP_023633398.1, XP_006289558.2, XP_023637635.1, XP_006286541.1	ESY6_g50195_DN3_SP0_c0.t1
OG0000069	XP_023634322.1	ESY7_g19473_DN2_SP0_c0.t1
OG0000069	XP_006304155.1	ESY8_g58271_DN2_SP0_c9.t1
