Orthogroup	Capsella_rubella	Camelina_sativa
OG0000000	XP_023632598.1	XP_010419000.1, XP_010431245.1
OG0000000	XP_023644490.1	XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1
OG0000000	XP_023637681.1	XP_010507236.1, XP_010513760.1, XP_010495271.1, XP_019091045.1, XP_010418618.1, XP_010419439.1, XP_010419043.1, XP_019092333.1, XP_010436306.1, XP_010495688.1, XP_010468497.1
OG0000000	XP_023633614.1	XP_019097375.1, XP_010513742.1, XP_010495131.1, XP_010518579.1, XP_010462992.1
OG0000000	XP_023634268.1, XP_023644256.1	XP_010472251.1, XP_019099588.1, XP_010474031.1, XP_010472440.1, XP_010451797.1, XP_010507264.1, XP_010468426.1
OG0000000	XP_023636065.1, XP_023634315.1	XP_019101571.1
OG0000000	XP_023640349.1	XP_019092328.1, XP_019087439.1, XP_010456766.1
OG0000000	XP_023633451.1	XP_019101890.1
OG0000000	XP_023633818.1	XP_010463143.1
OG0000000	XP_023634340.1	XP_010480989.1, XP_010513536.1, XP_019094536.1, XP_010445465.1, XP_010418809.1, XP_010468748.2, XP_010445461.1, XP_010424753.1, XP_010446022.1, XP_019101856.1, XP_010412448.1, XP_019094471.1, XP_010506884.1, XP_010430691.1, XP_019089246.1, XP_010468536.1, XP_019091159.1, XP_019096517.1, XP_010513001.1, XP_010484944.1, XP_010507233.1, XP_019099624.1, XP_010424289.1, XP_010468779.1, XP_010513530.1, XP_019094514.1, XP_010495329.1, XP_010495217.1
OG0000000	XP_023643231.1, XP_023644538.1	XP_010481146.1, XP_010446169.1, XP_010424493.1, XP_010481092.1
OG0000000	XP_023633877.1	XP_010468192.1, XP_010424608.1, XP_010451493.1, XP_010451645.1, XP_010490248.1, XP_019085377.1, XP_010495306.1, XP_010480636.1, XP_010468796.1, XP_010495441.1
OG0000000	XP_023634285.1	XP_019093256.1
OG0000000	XP_023638968.1	XP_010513002.1
OG0000000	XP_023635799.1	XP_019100869.1
OG0000000	XP_023632892.1	XP_010495165.1, XP_010495244.1
OG0000000	XP_023634342.1, XP_006300431.2	XP_019099765.1, XP_010468701.1
OG0000002	XP_023640941.1	XP_010450988.1, XP_010490420.1, XP_010412505.1, XP_019087469.1, XP_019092364.1, XP_010473468.1, XP_010501788.1, XP_010462995.1, XP_010445389.1, XP_010468817.1, XP_010412566.1, XP_010456779.1, XP_010495410.1, XP_010495202.1, XP_019094475.1, XP_010495711.1, XP_010496877.1, XP_010412728.1, XP_010513419.1, XP_010513400.1, XP_019087345.1, XP_010480889.1
OG0000002	XP_023638855.1	XP_019096180.1, XP_010457030.1, XP_010420641.1, XP_019085487.1, XP_019091135.1, XP_019101801.1, XP_019100799.1, XP_010431635.1, XP_010456767.1, XP_010513476.1, XP_010484771.1, XP_010475671.1, XP_010480715.1
OG0000003	XP_023641338.1	XP_019085419.1
OG0000003	XP_023638041.1	XP_010430973.1
OG0000003	XP_023637460.1, XP_023637566.1	XP_010467312.1, XP_019082547.1
OG0000003	XP_023644456.1	XP_010436867.1
OG0000004	XP_023644517.1, XP_023638874.1	XP_010484959.1, XP_019098112.1, XP_010451376.1, XP_010468186.1, XP_010501684.1
OG0000004	XP_023639960.1	XP_010508146.1, XP_019097313.1, XP_010451681.1, XP_019085476.1, XP_019091276.1
OG0000004	XP_023633832.1	XP_010495973.1, XP_010507007.1, XP_010418888.1, XP_010507177.1, XP_010424969.1, XP_019100923.1, XP_010470702.1, XP_010456912.1
OG0000005	XP_023639598.1	XP_019085415.1, XP_010450321.1, XP_010445703.1, XP_010497063.1
OG0000005	XP_023638126.1	XP_010445304.1
OG0000005	XP_023645768.1	XP_010412462.1, XP_010451773.2
OG0000005	XP_023640434.1, XP_023642103.1	XP_019082698.1
OG0000007	XP_023640317.1	XP_010431016.1, XP_010431602.1, XP_010495651.1
OG0000007	XP_023635039.1	XP_010436667.1, XP_010435400.1
OG0000007	XP_023635150.1	XP_010451880.1
OG0000007	XP_023639048.1, XP_023644546.1	XP_010468495.1, XP_010445987.1, XP_010463082.1, XP_010507576.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019097408.1, XP_019094446.1, XP_010480912.1
OG0000007	XP_023641719.1	XP_010496849.2, XP_010436513.1, XP_010471152.1, XP_010468712.1, XP_010445003.1, XP_019085642.1, XP_019096041.1, XP_019096210.1, XP_019097221.1, XP_019088922.1, XP_010477729.2, XP_019094573.1, XP_019091014.1, XP_010446804.2, XP_010416297.2, XP_010445698.1, XP_010456622.1, XP_019087537.1, XP_010445750.1, XP_010424813.1, XP_010495224.1, XP_010418574.1, XP_010436820.1, XP_010474418.1, XP_010436701.1, XP_019100967.1, XP_010445262.1, XP_019087605.1, XP_010506961.1, XP_010489975.1, XP_010463458.1, XP_010496974.1, XP_010418941.1, XP_019087475.1, XP_019082563.1, XP_010481097.1, XP_010445969.1
OG0000007	XP_023637544.1	XP_010418993.1, XP_010484977.1, XP_010418557.1, XP_010496147.1
OG0000007	XP_023643663.1	XP_019084200.1, XP_010490462.1, XP_010485011.1, XP_010462584.1, XP_010485291.1, XP_010478660.1, XP_010500080.1, XP_019082601.1, XP_019090940.1, XP_019094917.1, XP_019093341.1, XP_019087695.1, XP_010470530.1, XP_019089183.1
OG0000007	XP_023634292.1	XP_019099816.1, XP_010463256.1
OG0000008	XP_023641963.1	XP_019100927.1, XP_010480868.1, XP_010497028.1, XP_010445013.1, XP_010507052.1, XP_010490195.1, XP_019089099.1, XP_010497042.1, XP_010419054.1, XP_019093233.1, XP_010490230.2, XP_010468775.1, XP_019095563.1, XP_010419092.1
OG0000008	XP_023644880.1, XP_006303816.2	XP_010445484.1, XP_019100889.1
OG0000008	XP_023633343.1	XP_010469634.1, XP_010468583.2
OG0000008	XP_023633617.1	XP_010462780.1
OG0000008	XP_006305876.2	XP_010490304.1, XP_010468439.1, XP_019096470.1, XP_010451611.1, XP_019092291.1, XP_010451476.1, XP_010484870.1, XP_019092275.1, XP_010496514.1, XP_010490409.1, XP_019085184.1, XP_010507505.1, XP_010445057.1, XP_010495644.1, XP_010424378.1, XP_010496603.1, XP_010480905.1
OG0000008	XP_023644459.1	XP_010468434.1, XP_019086304.1, XP_010496023.1
OG0000008	XP_006304508.2, XP_023634290.1	XP_010484923.1, XP_010474067.1, XP_019094615.1, XP_010484960.1, XP_010473823.2, XP_010506903.1
OG0000008	XP_006282156.2	XP_010484838.1, XP_010425247.1, XP_010480908.1, XP_010451894.1
OG0000008	XP_023641902.1	XP_010423670.1, XP_010507012.1
OG0000008	XP_006299996.2	XP_010480907.2, XP_010445523.1, XP_019089216.1, XP_019096478.1, XP_010445117.1, XP_019091029.1
OG0000008	XP_023638567.1	XP_010431254.1, XP_010507402.1
OG0000008	XP_023633352.1	XP_010484804.1, XP_010456594.1, XP_010456996.1, XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010456943.1, XP_010424377.2, XP_010445494.1, XP_019087202.1
OG0000008	XP_023633344.1	XP_019097389.1, XP_019092334.1
