Orthogroup	Capsella_rubella	Alyssum_gmelinii
OG0000000	XP_023637681.1	Ag077G5323300, Ag003G0363000, Ag013G1740700, Ag055G4904400
OG0000000	XP_023633614.1	Ag061G5017100, Ag078G5391400, Ag048G4660900, Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100, Ag078G5385300, Ag040G4340700, Ag052G4868500
OG0000000	XP_023634268.1, XP_023644256.1	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700
OG0000000	XP_023640349.1	Ag045G4516900
OG0000000	XP_023633451.1	Ag066G5137400
OG0000000	XP_023633818.1	Ag013G1386400, Ag033G3486500
OG0000000	XP_023633877.1	Ag031G3406900
OG0000000	XP_023635799.1	Ag011G1121000, Ag019G2526000, Ag051G4805800, Ag023G2823300
OG0000000	XP_023632892.1	Ag067G5173700
OG0000003	XP_023638041.1	Ag067G5203100
OG0000004	XP_023644517.1, XP_023638874.1	Ag033G3561100
OG0000004	XP_023633832.1	Ag012G1335000, Ag008G0950900, Ag016G2280500, Ag002G0174700, Ag011G1226600, Ag034G4031200, Ag002G0145400, Ag002G0123900, Ag014G1970800, Ag068G5216500, Ag011G1178300, Ag031G3300400
OG0000005	XP_023633682.1	Ag011G1235500
OG0000008	XP_023641963.1	Ag027G3054100
OG0000008	XP_023638567.1, XP_023633352.1	Ag001G0025300
OG0000008	XP_023633344.1	Ag033G3526400
OG0000009	XP_023639354.1	Ag034G3970500, Ag034G3983500
OG0000009	XP_023640352.1	Ag016G2319900, Ag025G2919200
OG0000011	XP_023638113.1, XP_023633028.1	Ag015G2211300
OG0000011	XP_006298993.2, XP_023637233.1, XP_023641182.1, XP_006288329.2	Ag027G3007700
OG0000018	XP_023639601.1, XP_023641956.1	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500
OG0000020	XP_023640323.1	Ag016G2337300
OG0000020	XP_006279199.1	Ag068G5227400
