Orthogroup	Capsella_rubella	Noccaea_praecox
OG0000000	XP_023633614.1	Np004G2263100, Np001G0314800, Np002G0926900, Np004G2012200
OG0000000	XP_023643231.1, XP_023644538.1	Np005G3087900, Np001G0546600
OG0000000	XP_023640443.1, XP_023633512.1	Np005G3094200, Np004G2127900, Np001G0216600, Np005G3036600, Np004G2157000, Np001G0630500, Np005G3117600, Np002G0913600, Np003G1515800, Np003G1649400, Np001G0236600, Np003G1751900, Np003G1819000, Np006G3224000, Np005G3184600
OG0000000	XP_023632892.1	Np002G1002000
OG0000002	XP_023638855.1	Np005G2965700, Np008G4260500, Np002G1057800, Np002G1036100, Np011G4364100, Np008G4275700, Np002G1017600
OG0000003	XP_023641338.1	Np007G3935700
OG0000003	XP_023637460.1, XP_023637566.1	Np006G3546100, Np001G0132800, Np004G1961000, Np002G0878000, Np004G2165400, Np005G2971100, Np004G2177600, Np001G0443800
OG0000003	XP_023644456.1	Np004G2027900
OG0000004	XP_023644517.1, XP_023638874.1	Np005G2950600, Np010G4347300, Np007G4015400
OG0000005	XP_023638126.1	Np007G4024700
OG0000005	XP_023645768.1	Np006G3465300
OG0000005	XP_023642453.1, XP_023636063.1	Np012G4370200, Np004G2223900
OG0000007	XP_023639048.1, XP_023644546.1, XP_023641719.1, XP_023637544.1, XP_023643663.1, XP_023636902.1, XP_023640335.1, XP_023643356.1, XP_023634292.1, XP_023634518.1, XP_023644418.1, XP_023636143.1, XP_023633251.1, XP_023633686.1, XP_023640302.1	Np003G1457500
OG0000008	XP_023641963.1	Np005G2918600, Np002G1026800
OG0000008	XP_023633343.1	Np002G1031900, Np005G3077900
OG0000008	XP_006282156.2, XP_023641902.1, XP_006299996.2	Np002G0964800
OG0000008	XP_023638567.1	Np001G0535300
OG0000009	XP_023639354.1	Np005G2652900, Np004G2035600
OG0000009	XP_023641325.1	Np001G0275200
OG0000009	XP_023640352.1	Np003G1663900, Np001G0129200, Np003G1783000
OG0000009	XP_006292284.1	Np006G3566400
OG0000011	XP_023644226.1	Np001G0276300
OG0000011	XP_023638956.1	Np007G4050800, Np001G0276100
OG0000012	XP_023636126.1, XP_023645773.1	Np001G0263200
