Orthogroup	Erysimum_linariifolium	Capsella_rubella
OG0000000	El003G183590	XP_023632701.1
OG0000000	El001G044730	XP_023639960.1
OG0000002	El002G130320	XP_023638855.1
OG0000003	El004G210360	XP_023639598.1
OG0000003	El004G212250	XP_023640434.1, XP_023642103.1
OG0000003	El006G306960	XP_023638126.1
OG0000004	El006G291650, El007G350510	XP_006300431.2
OG0000004	El002G127280	XP_023632892.1, XP_023635799.1
OG0000004	El001G052930, El004G230860, El003G157040	XP_023644510.1
OG0000004	El005G268240	XP_023644490.1
OG0000004	El006G321800	XP_023642406.1, XP_023644536.1, XP_023640443.1, XP_023633512.1, XP_023634309.1, XP_023640349.1
OG0000005	El002G135600	XP_023641325.1
OG0000005	El006G308020, El003G156400	XP_023639614.1
OG0000005	El003G184490	XP_023639354.1
OG0000005	El006G313160	XP_023644435.1, XP_023644436.1
OG0000005	El002G123530	XP_023634342.1
OG0000005	El006G313170	XP_023640809.1
OG0000006	El001G046690	XP_023644546.1, XP_023639048.1
OG0000006	El007G324910, El001G079730	XP_023641260.1, XP_023644414.1
OG0000007	El006G310450, El004G211980, El007G348570	XP_023633614.1
OG0000007	El006G310200	XP_023644256.1
OG0000007	El002G114670	XP_023637681.1
OG0000008	El007G351000	XP_023633645.1
OG0000008	El003G182320	XP_023641963.1
OG0000008	El001G077860	XP_023633617.1
OG0000008	El003G167760	XP_006299996.2
OG0000008	El001G021990, El001G021710	XP_023638567.1
OG0000010	El007G350710	XP_023639612.1
OG0000012	El003G154210, El007G344400, El007G350120	XP_023636242.1
OG0000013	El007G349810	XP_023638853.1
OG0000013	El007G350800	XP_023638858.1
OG0000015	El060G376140, El053G375740	XP_023633382.1
OG0000017	El003G166860, El007G325530	XP_006279199.1
OG0000017	El007G356670, El004G210020	XP_006302668.2
OG0000018	El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830	XP_023641905.1, XP_023634354.1, XP_023638482.1
OG0000018	El002G082650	XP_023637954.1
OG0000018	El001G048290	XP_023642574.1, XP_023637243.1, XP_023644454.1, XP_023641378.1, XP_023641962.1
OG0000018	El001G077880, El004G225550	XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_023638958.1, XP_006285455.2
OG0000019	El002G122780	XP_023641372.1
OG0000020	El002G120700, El006G296260	XP_023632591.1
OG0000020	El007G347970, El005G264160	XP_023634318.1
OG0000023	El007G357800	XP_023634683.1
OG0000023	El001G012210	XP_023638659.1
OG0000023	El001G007540	XP_006289355.2, XP_023635858.1
OG0000023	El003G162170	XP_006285954.1
OG0000023	El003G162000	XP_023634688.1
OG0000023	El003G192470	XP_023634698.1
OG0000024	El006G293740	XP_023644211.1, XP_023634363.1
OG0000024	El007G351440, El002G140900	XP_023638107.1
