Orthogroup	Erysimum_linariifolium	Brassica_oleracea
OG0000000	El004G225890	XP_013601294.1
OG0000000	El005G264610	XP_013624478.1, XP_013594857.1, XP_013601901.1, XP_013617473.1, XP_013601242.1, XP_013601368.1, XP_013594627.1
OG0000000	El003G159590	XP_013594978.1
OG0000000	El004G210980, El005G262990, El005G263050, El005G264050, El003G177780	XP_013616947.1
OG0000000	El006G298040	XP_013601799.1
OG0000000	El001G044720, El001G051780	XP_013601618.1
OG0000002	El004G212920	XP_013613445.1, XP_013624612.1
OG0000002	El002G130310	XP_013632468.1
OG0000002	El004G208640	XP_013624816.1, XP_013617594.1, XP_013617547.1, XP_013614472.1, XP_013632700.1, XP_013639598.1
OG0000003	El003G189560	XP_013626656.1, XP_013589417.1
OG0000003	El002G128770	XP_013639462.1
OG0000003	El006G306960	XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1, XP_013639546.1
OG0000004	El002G127280	XP_013632878.1
OG0000004	El001G079820	XP_013601024.1, XP_013639767.1
OG0000004	El001G052930, El004G230860, El003G157040, El005G268240	XP_013601125.1, XP_013639798.1
OG0000004	El005G268230	XP_013617255.1, XP_013624915.1, XP_013595166.1, XP_013617747.1, XP_013583433.1
OG0000004	El006G301060	XP_013589255.1
OG0000005	El001G038630	XP_013608026.1, XP_013639201.1, XP_013635062.1
OG0000005	El005G258250, El003G177260, El001G065660	XP_013624124.1
OG0000005	El003G186250, El001G082120	XP_013614431.1
OG0000005	El001G081400	XP_013613616.1
OG0000005	El002G096830	XP_013639114.1, XP_013627264.1, XP_013635272.1, XP_013633205.1, XP_013607452.1, XP_013589362.1, XP_013614191.1, XP_013630471.1
OG0000005	El002G122730	XP_013615193.1, XP_013624812.1, XP_013617492.1
OG0000005	El002G123530	XP_013583375.1
OG0000005	El002G120930, El007G348880	XP_013632594.1
OG0000005	El002G122720	XP_013624887.1, XP_013608346.1, XP_013583336.1, XP_013624321.1
OG0000005	El007G349440, El001G070000	XP_013583274.1
OG0000005	El006G313170	XP_013594364.1, XP_013633351.1
OG0000006	El006G316810	XP_013601509.1, XP_013632690.1, XP_013589492.1, XP_013601489.1, XP_013594943.1, XP_013634243.1
OG0000006	El007G324910, El001G079730	XP_013601610.1, XP_013595036.1, XP_013608454.1, XP_013594910.1, XP_013613948.1
OG0000007	El006G311470	XP_013601000.1, XP_013633348.1, XP_013627809.1, XP_013594959.1, XP_013625538.1
OG0000007	El006G311480	XP_013589191.1, XP_013594546.1, XP_013624739.1, XP_013617741.1
OG0000007	El007G348570	XP_013589426.1, XP_013601226.1
OG0000007	El001G053750, El002G123330, El004G208390, El007G348150	XP_013624723.1, XP_013632833.1, XP_013594838.1, XP_013639528.1, XP_013617764.1, XP_013628112.1, XP_013639285.1, XP_013617205.1, XP_013607556.1, XP_013594455.1, XP_013608296.1, XP_013595003.1, XP_013623967.1, XP_013594889.1, XP_013594406.1, XP_013601638.1
OG0000007	El002G114670	XP_013600971.1
OG0000007	El008G369640	XP_013639421.1
OG0000007	El006G293980	XP_013615253.1
OG0000008	El003G182320	XP_013608259.1, XP_013614821.1
OG0000008	El003G167760	XP_013616794.1
OG0000008	El003G174670	XP_013601615.1
OG0000010	El007G350710	XP_013632903.1, XP_013601086.1, XP_013607832.1, XP_013626759.1, XP_013608044.1, XP_013633189.1, XP_013614685.1, XP_013594427.1, XP_013616976.1
OG0000010	El005G270270, El007G361510, El004G205900	XP_013602381.1
OG0000011	El002G121150	XP_013588969.1
