Orthogroup	Erysimum_linariifolium	Eutrema_salsugineum
OG0000002	El004G212920	XP_024010711.1
OG0000002	El002G130310	XP_024010270.1
OG0000002	El004G208640	XP_024013349.1, XP_024007240.1
OG0000002	El006G293750	XP_024013294.1
OG0000003	El003G191660, El006G317350	XP_024010390.1
OG0000003	El002G128770	XP_006391417.2, XP_024011134.1
OG0000003	El004G210360	XP_024013775.1
OG0000003	El003G181050	XP_024015858.1
OG0000003	El003G181070	XP_024009459.1, XP_024011381.1, XP_024013106.1, XP_024009610.1, XP_024014967.1
OG0000004	El006G291650, El007G350510	XP_024006491.1
OG0000004	El002G127280	XP_024014707.1
OG0000004	El001G079820	XP_024013148.1
OG0000004	El001G052930, El004G230860, El003G157040, El005G268240	XP_024014264.1
OG0000004	El006G321800	XP_024004414.1, XP_024016203.1, XP_024012343.1, XP_024010239.1, XP_024011123.1
OG0000005	El001G038630	XP_006391314.1, XP_024014484.1, XP_024013044.1, XP_024009292.1
OG0000005	El006G304740, El004G194240, El006G320990	XP_024013918.1, XP_024007904.1
OG0000005	El002G122730	XP_024004860.1, XP_024006562.1
OG0000005	El003G167150, El003G184490, El004G208560, El002G104670, El006G315290, El001G049310, El004G194230	XP_006404467.1
OG0000005	El002G123530	XP_024004939.1
OG0000005	El002G122720	XP_024016213.1
OG0000005	El006G313170	XP_024014912.1
OG0000006	El006G316810	XP_006397474.2, XP_024011387.1, XP_024004398.1, XP_024013912.1, XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004074.1, XP_024004856.1, XP_024014006.1, XP_024004157.1, XP_024012322.1, XP_024009190.1, XP_024015267.1, XP_024012910.1
OG0000007	El008G369640	XP_024009288.1
OG0000008	El007G351000	XP_024011354.1, XP_024004796.1, XP_024014490.1, XP_024015964.1
OG0000008	El005G264190	XP_024015912.1
OG0000008	El003G182320	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000010	El007G350710	XP_024010715.1, XP_024015164.1, XP_024011409.1, XP_024011382.1, XP_024005930.1, XP_024013196.1
OG0000011	El004G200940	XP_024014215.1
OG0000011	El002G121150	XP_024004156.1, XP_024009442.1, XP_024005001.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024006105.1, XP_024006278.1, XP_024007953.1, XP_024015281.1, XP_024006611.1, XP_024011358.1, XP_024016363.1, XP_024004052.1
OG0000011	El002G082610	XP_024010246.1, XP_024010847.1, XP_024006310.1, XP_024014087.1, XP_024006789.1, XP_024013645.1, XP_024010196.1
OG0000012	El002G120760	XP_024016167.1
OG0000012	El005G268860, El003G182880	XP_024016113.1
OG0000013	El006G310100	XP_024013108.1, XP_024013090.1
OG0000013	El001G045710	XP_024010313.1
OG0000013	El007G349810	XP_024004869.1, XP_024013112.1
OG0000013	El007G350800	XP_024009217.1, XP_024010471.1, XP_024016668.1, XP_024004795.1, XP_024015926.1, XP_024006469.1, XP_024007909.1, XP_024006481.1, XP_024010423.1, XP_024016274.1
OG0000014	El001G041310	XP_024013181.1, XP_024016301.1, XP_024004089.1
OG0000015	El001G070750	XP_024012449.1
OG0000015	El060G376140, El053G375740	XP_024006904.1, XP_024009420.1
OG0000015	El001G047930	XP_024006143.1
OG0000017	El007G356670	XP_024016132.1
OG0000018	El001G048290	XP_024008232.1
OG0000019	El002G122780, El006G281410, El004G213790	XP_024003642.1
OG0000020	El007G347970, El005G264160	XP_024005014.1
OG0000020	El001G045330, El001G045300, El001G045270	XP_024007954.1
OG0000020	El001G045320, El004G206630	XP_024004841.1
OG0000021	El007G346120	XP_024004985.1
OG0000021	El001G037390	XP_024006452.1
OG0000021	El001G063330, El006G289540	XP_024010290.1
OG0000021	El002G141120	XP_024004813.1, XP_024004020.1
OG0000021	El005G277430, El007G325630	XP_024009969.1, XP_024013347.1, XP_024015937.1
OG0000023	El003G162170	XP_006413569.1
OG0000023	El003G162130	XP_024004623.1
OG0000026	El003G164110, El005G264370	XP_024014744.1
OG0000026	El007G356660	XP_024010204.1, XP_024006433.1, XP_024014732.1, XP_024013306.1, XP_024013403.1, XP_024009430.1, XP_024009983.1, XP_024015304.1, XP_024014743.1, XP_024013980.1, XP_024010438.1, XP_024007900.1
OG0000026	El004G210040, El002G122340, El004G232830, El002G140810, El005G251640, El006G294370	XP_024007296.1, XP_024013049.1
OG0000027	El001G029050, El001G025570	XP_006402766.1
OG0000028	El004G212000, El004G211990, El007G348580	XP_024006637.1
OG0000028	El007G334290	XP_024004809.1, XP_024013054.1, XP_024013055.1
OG0000028	El007G365340	XP_024009554.1
OG0000028	El007G351990	XP_024004858.1
OG0000028	El004G220890, El005G261200, El001G000530, El003G163730, El006G311620	XP_024004754.1, XP_024004102.1, XP_024007219.1
OG0000028	El007G352000	XP_024009259.1
OG0000029	El007G359550, El001G031910, El006G302870, El002G125750, El008G368530	XP_024007307.1
OG0000029	El006G307470	XP_024005553.1
OG0000030	El008G371380, El007G349640	XP_024009659.1
OG0000030	El003G181960	XP_024009281.1
OG0000031	El004G197790, El004G197660	XP_006391833.2
OG0000031	El007G349520	XP_006391783.1, XP_006391806.1, XP_006391807.1, XP_006391822.1, XP_006391862.1, XP_006391821.1, XP_006391819.1, XP_024003783.1, XP_006391808.1, XP_006391749.1
OG0000031	El003G192370	XP_024014798.1
OG0000031	El005G253470	XP_024015415.1
OG0000031	El003G157520	XP_006413138.1
OG0000033	El003G162140, El003G162150	XP_024010975.1, XP_006413571.1
OG0000033	El003G192480	XP_006413574.2
OG0000033	El003G162180	XP_024004626.1
OG0000034	El001G041330	XP_024016360.1, XP_024014012.1, XP_024016375.1
OG0000034	El004G208100, El002G125560	XP_024009234.1
OG0000034	El002G123500	XP_024005459.1
OG0000034	El027G373510	XP_024004424.1
OG0000034	El005G264480	XP_024005008.1
OG0000034	El003G149900, El001G048010	XP_024016361.1
OG0000035	El006G299540	XP_006410338.1
OG0000035	El001G033250	XP_024012909.1
OG0000036	El003G178170	XP_024009179.1, XP_024009592.1
OG0000036	El003G186550, El003G186530	XP_024013600.1
OG0000036	El006G309160	XP_024016128.1
OG0000036	El006G309110, El006G311420, El002G122030	XP_024012609.1, XP_024009371.1
OG0000036	El006G312180	XP_024016265.1
OG0000037	El001G053830	XP_024006537.1
OG0000038	El007G361730, El007G361750	XP_024011148.1, XP_006403112.2
OG0000038	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600, El007G360640	XP_006396333.1
OG0000038	El006G282520	XP_024014404.1
OG0000040	El003G181190, El002G112730, El002G112290, El006G296490, El006G297130, El007G346320	XP_024008003.1
OG0000040	El005G250180	XP_024013353.1
OG0000040	El005G257710	XP_006391637.1
OG0000042	El003G192700	XP_024006511.1
OG0000043	El007G350700	XP_024013069.1, XP_024009580.1, XP_024014519.1, XP_024010262.1, XP_024010407.1, XP_024010475.1, XP_024016371.1, XP_024014634.1, XP_024009417.1, XP_024010105.1, XP_024015145.1, XP_024006527.1, XP_024013117.1, XP_024009280.1, XP_024005016.1, XP_024009364.1, XP_024013594.1, XP_024010276.1, XP_024013224.1, XP_024009176.1, XP_024010625.1, XP_024009457.1, XP_024016866.1, XP_024009118.1, XP_024015906.1
OG0000044	El006G308910, El006G308940	XP_024006486.1, XP_006401889.2, XP_024009662.1, XP_024011380.1, XP_024013796.1, XP_024010208.1, XP_006389862.1, XP_006403918.2
OG0000044	El007G360870	XP_024015030.1
OG0000045	El005G249570, El003G188840	XP_024008086.1, XP_024015905.1
OG0000045	El005G264730	XP_024013201.1
OG0000045	El002G101480	XP_024014022.1
OG0000045	El004G208130	XP_024014349.1, XP_024006862.1, XP_024008024.1, XP_024006618.1, XP_024016129.1, XP_024011268.1
OG0000045	El006G320830	XP_024011373.1, XP_024015844.1, XP_024006123.1, XP_024006531.1, XP_024010635.1, XP_024009411.1
OG0000046	El003G188710	XP_024014419.1
OG0000046	El003G186960, El003G186970	XP_024014561.1
OG0000046	El003G168460, El004G213500	XP_024004758.1
OG0000046	El003G187000, El003G186990	XP_024014362.1
OG0000046	El004G216850, El004G216660	XP_006391458.1
OG0000047	El001G050090, El002G123400	XP_024014292.1
OG0000047	El004G204540, El001G049540, El007G364690	XP_024016226.1, XP_024016354.1
OG0000048	El005G238400, El005G238360	XP_006408252.2
OG0000048	El003G193700	XP_006408254.2, XP_006408256.1
OG0000049	El007G333450	XP_024011200.1
OG0000050	El002G124210, El007G359470, El004G226500	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010297.1, XP_024010298.1, XP_024008041.1, XP_024009617.1, XP_024010321.1, XP_024009248.1, XP_024010226.1, XP_024004127.1, XP_024010620.1, XP_024011215.1, XP_024016291.1, XP_024013963.1
OG0000052	El007G364450, El002G116290	XP_024009195.1, XP_024008111.1, XP_006418389.2
OG0000052	El006G286580	XP_024004184.1
OG0000054	El001G039440	XP_006408822.2
OG0000055	El001G016290, El004G208280	XP_024016818.1
OG0000055	El004G198740, El004G198850	XP_024016867.1
OG0000056	El003G171800	XP_024009899.1, XP_024016377.1, XP_024014710.1
OG0000056	El004G200570	XP_024004977.1, XP_024016537.1
OG0000056	El003G179560, El006G285210, El001G008020	XP_024004060.1, XP_024006592.1
