Orthogroup	Erysimum_linariifolium	Brassica_napus
OG0000000	El005G264600	XP_048613195.1
OG0000000	El005G264610	XP_013650497.2, XP_013645047.1, XP_022566278.2, XP_013708996.2, XP_048622901.1, XP_013654443.2, XP_048605703.1, XP_048630710.1, XP_022556310.1, XP_048599740.1, XP_048610442.1, XP_048612193.1, XP_013676819.2, XP_048614904.1, XP_022569515.1, XP_013720075.3
OG0000000	El003G159590	XP_022563908.1
OG0000000	El004G210980, El005G262990, El005G263050, El005G264050, El003G177780	XP_048634050.1
OG0000002	El004G212920	XP_022566414.1, XP_022558213.1
OG0000002	El004G212930	XP_048623762.1
OG0000002	El004G208640	XP_022565049.2
OG0000002	El006G293750	XP_048624137.1, XP_048605110.1, XP_013678027.1, XP_013699413.2, XP_048605922.1, XP_013704005.2, XP_013705046.2, XP_013743402.2, XP_022554443.2, XP_022557545.2, XP_048602403.1, XP_048603537.1, XP_048604763.1, XP_048605599.1, XP_048606467.1, XP_048606492.1, XP_048608321.1, XP_048613262.1, XP_048614401.1, XP_048615840.1, XP_048618038.1, XP_048621685.1, XP_048622894.1, XP_048619508.1, XP_048623072.1, XP_048624199.1, XP_048624223.1, XP_048624554.1, XP_048619988.1, XP_048604876.1, XP_022564570.2, XP_022557418.2, XP_048605038.1
OG0000003	El003G189560, El002G128770	XP_048630494.1
OG0000003	El004G210360	XP_022573072.1
OG0000003	El007G351530	XP_013745520.2
OG0000003	El003G181050	XP_048611587.1
OG0000003	El006G306960	XP_013658381.1, XP_013751798.1
OG0000004	El002G127280	XP_048593472.1, XP_048633069.1
OG0000004	El001G079820	XP_013720023.2, XP_048605758.1, XP_048613516.1
OG0000004	El001G052930, El004G230860, El003G157040, El005G268240	XP_048599890.1, XP_048622927.1, XP_048598122.1, XP_048626290.1, XP_013709134.2, XP_022562623.2
OG0000004	El005G268230	XP_048620167.1, XP_013668578.2, XP_048608449.1, XP_048590919.1, XP_048628328.1, XP_022573038.2, XP_013738903.1, XP_013723746.2, XP_048613577.1, XP_048605567.1, XP_013745811.1, XP_048623656.1, XP_048629721.1, XP_048626338.1, XP_013709365.2, XP_013689957.1, XP_013709295.1, XP_048596464.1, XP_013738880.1
OG0000004	El006G301060	XP_013751510.1
OG0000005	El001G038630	XP_048615628.1, XP_048591448.1, XP_013713475.1, XP_013658836.1
OG0000005	El005G258250, El003G177260, El001G065660	XP_022564533.1
OG0000005	El003G186250, El001G082120	XP_048591512.1
OG0000005	El001G081400	XP_013650434.2
