Orthogroup	Erysimum_linariifolium	Arabidopsis_lyrata_Rawat
OG0000000	El005G264600, El005G264610, El001G044710	AL4G11460
OG0000000	El003G159590	AL1G65200
OG0000003	El003G191660, El006G317350	AL6G48210
OG0000003	El003G189560, El002G128770, El004G210360	AL4G38100
OG0000003	El007G351530	AL4G12740
OG0000003	El004G212250	AL3G54340, AL8G29360
OG0000003	El003G181070	AL6G40720
OG0000003	El007G350820, El007G350790	AL3G44970
OG0000004	El006G291650, El007G350510	AL3G22550, AL5G26100, AL7G39190, AL3G46930, AL2G10670
OG0000004	El002G127280	AL8G17990, AL4G17570
OG0000004	El001G052930, El004G230860, El003G157040	AL3G28120, AL3G23500, AL7G39870
OG0000004	El006G301060	AL1G63670, AL8G39910
OG0000004	El006G321800	AL7G43450, AL5G14690, AL4G13050, AL4G31100, AL6G34180, AL4G37840, AL5G16040, AL3G15150, AL9U11110, AL7G39420, AL7G41970, AL2G28000, AL7G52320
OG0000005	El001G038630	AL1G49730, AL6G36520
OG0000005	El003G166140	AL8G23160
OG0000005	El005G258250, El003G177260, El001G065660	AL4G34770, AL4G46120
OG0000005	El001G081400	AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360, AL6G10570
OG0000005	El002G096830	AL2G12600, AL4G10690
OG0000005	El006G308020, El003G156400	AL1G62100
OG0000005	El006G313160	AL3G41770
OG0000005	El002G123530	AL4G10500, AL6G49130
OG0000005	El002G122720	AL7G37950
OG0000006	El004G209180	AL1G53130
OG0000006	El001G046690	AL1G37680, AL3G20440, AL8G18310
OG0000007	El006G310450, El004G211980, El007G348570	AL2G19540, AL3G39580
OG0000007	El001G053750, El002G123330, El004G208390, El007G348150	AL6G33910, AL4G36510
OG0000007	El006G310200	AL4G24130
OG0000007	El008G369640	AL5G26440, AL3G26530, AL1G56620, AL8G11050, AL8G15150, AL7G49620, AL4G12690, AL8G16910
OG0000007	El006G293980	AL4G39790
