Orthogroup	Erysimum_linariifolium	Camelina_sativa
OG0000000	El003G183590	XP_010448676.1, XP_010494079.1
OG0000000	El005G264610	XP_019100804.1, XP_019097460.1, XP_019087486.1, XP_010436745.1
OG0000000	El003G159590	XP_019085777.1, XP_019094874.1, XP_019095344.1, XP_019088092.1
OG0000000	El001G044760	XP_019094707.1, XP_010479590.1, XP_019097715.1
OG0000000	El003G177780	XP_010507175.1, XP_010478337.2, XP_010518461.1, XP_019098283.1
OG0000000	El004G209750	XP_010488713.1
OG0000002	El004G212920	XP_010484771.1, XP_010513476.1
OG0000002	El002G130310	XP_010423585.1, XP_010495565.1, XP_010424742.1
OG0000002	El004G212930	XP_019100353.1
OG0000002	El004G208640	XP_010506994.1, XP_010507127.1, XP_010513345.1
OG0000002	El002G130320	XP_010457030.1, XP_010420641.1, XP_019091135.1
OG0000002	El006G293750	XP_010451602.1, XP_010468898.1, XP_010495427.1, XP_010480610.1, XP_019089215.1, XP_010451170.2, XP_010451603.1, XP_010424741.1, XP_010496006.1, XP_010496846.1, XP_010456559.1, XP_010480911.1, XP_010424499.1, XP_019089153.1, XP_019085481.1, XP_019089100.1, XP_010451318.1, XP_010451667.1
OG0000002	El001G039400	XP_010468482.1, XP_010419143.1, XP_010430672.1, XP_010424375.1, XP_019092262.1, XP_010431341.1
OG0000003	El003G189560, El002G128770	XP_010480943.1
OG0000003	El007G351530	XP_010412456.1
OG0000003	El004G212250	XP_019082698.1
OG0000003	El002G128790, El002G128760, El002G138440	XP_010501919.1, XP_010419138.1
OG0000003	El006G306960	XP_010445304.1
OG0000004	El006G291650, El007G350510	XP_010468701.1
OG0000004	El002G127280	XP_010495244.1, XP_010495165.1
OG0000004	El005G255260	XP_010462981.1
OG0000004	El001G079820	XP_010425346.1, XP_010490159.1, XP_010419021.1
OG0000004	El001G052930, El004G230860, El003G157040	XP_019097419.1
OG0000004	El005G268240	XP_010445866.1, XP_010513025.1, XP_019093315.1, XP_010419097.1
OG0000004	El005G268230	XP_010473903.1, XP_019087479.1, XP_010512944.1, XP_019099570.1
OG0000005	El001G039730	XP_019096542.1
OG0000005	El002G135600	XP_010445339.1, XP_010474119.1, XP_010419407.1, XP_019089129.1
OG0000005	El002G096830	XP_010462630.1, XP_010424774.1, XP_019085342.1, XP_010468460.1
OG0000005	El002G122730	XP_019096054.1, XP_019090183.1
OG0000005	El006G308020, El003G156400	XP_019089031.1
OG0000005	El003G167150	XP_019085473.1
OG0000005	El006G313160	XP_010445906.1
OG0000005	El003G183090, El002G106850	XP_010412393.1
OG0000005	El004G202650	XP_010490225.1, XP_010431586.1
