Orthogroup	Erysimum_linariifolium	Arabidopsis_arenosa
OG0000000	El001G044730	jg27197, jg21191, jg32817, jg27337, jg72, jg32155, jg20829, jg8262
OG0000000	El001G044710	jg6893, jg23550
OG0000000	El001G044760	jg6905
OG0000000	El004G209750	jg27064
OG0000002	El004G208640	jg27118
OG0000002	El006G293750	jg13863
OG0000003	El003G181050	jg1672
OG0000005	El001G038630	jg20691, jg3218, jg19324, jg12452, jg12267, jg12278
OG0000005	El002G120600	jg20041
OG0000005	El003G167150	jg23533
OG0000005	El004G208560	jg17538
OG0000005	El002G104670, El006G315290, El001G049310, El004G194230	jg11602
OG0000005	El004G214890	jg13854
OG0000005	El002G120930, El007G348880	jg1845
OG0000005	El002G122720	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113
OG0000005	El007G349440, El001G070000	jg21920
OG0000005	El002G135590, El005G263180	jg21901, jg12230
OG0000005	El006G313170	jg27468
OG0000005	El002G106850	jg21611, jg16911, jg12161, jg12492
OG0000007	El007G352010, El006G311480	jg6465
OG0000008	El001G021990, El001G021710	jg15069, jg15062, jg15057, jg15054
OG0000011	El002G082610	jg27473, jg29119, jg27079
OG0000012	El002G120760	jg26919, jg12454, jg31920, jg1757, jg32331, jg12319, jg3735
OG0000012	El002G129160	jg32355, jg32390, jg32436, jg32336, jg17412
OG0000013	El006G310100	jg1575
OG0000013	El007G350800	jg11978
OG0000014	El001G041310	jg22974
OG0000015	El060G376140, El053G375740	jg21088, jg11869
OG0000015	El001G079510	jg27710
OG0000017	El003G166860, El007G325530	jg27354
OG0000017	El007G336340	jg21095
OG0000017	El007G356670	jg11431
OG0000017	El004G210020	jg1560
OG0000018	El003G154150, El006G318220, El001G007900, El001G053230	jg4400, jg32393, jg11989, jg32560, jg26774
OG0000018	El002G082650	jg3954, jg701, jg1978, jg32225, jg20321
OG0000018	El001G048290	jg25715
OG0000019	El002G122780	jg13651
OG0000019	El004G213790	jg26287
OG0000019	El007G351400	jg13839
OG0000020	El002G120700, El006G296260	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520
OG0000020	El001G045330, El001G045300, El001G045270	jg27186
OG0000021	El005G277430, El007G325630	jg17386, jg13577, jg12206
OG0000023	El007G357800	jg10181
OG0000023	El001G007540	jg7517
OG0000023	El003G162170	jg10191
OG0000023	El003G162130	jg10192
OG0000023	El003G192470	jg10187
OG0000024	El006G293740	jg13862
OG0000024	El007G351440, El002G140900	jg2022
OG0000025	El001G014130	jg22442
OG0000025	El003G190320	jg12583, jg12582
OG0000025	El007G338200	jg22219
OG0000025	El007G340450, El007G340490	jg22007
OG0000025	El007G340430	jg22006
OG0000025	El007G339540, El007G339570	jg22074
OG0000025	El007G342330, El007G342400	jg21838
OG0000025	El007G342390	jg21837
OG0000025	El007G340950	jg4645
OG0000027	El002G120570, El001G054130, El006G316890, El006G314010	jg17071
OG0000027	El002G117920, El002G117750, El002G117960, El002G117930, El002G117950	jg31696, jg31707, jg31681
OG0000027	El006G314050, El006G316880	jg16932, jg16933
OG0000027	El002G118120, El002G111110	jg31705
OG0000027	El002G120540	jg31855, jg31856, jg31953, jg31952
OG0000027	El002G118130	jg31701, jg31702, jg31695, jg7351, jg31700, jg31706, jg31682
OG0000027	El002G117940	jg31674, jg31676, jg31678, jg31679, jg31677
OG0000027	El002G117910	jg31671
OG0000027	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820	jg31665
OG0000027	El001G029050	jg15770, jg15695, jg15696
OG0000027	El001G025570	jg15771
OG0000028	El004G212000	jg11997, jg6737
OG0000028	El004G211990	jg17461, jg12004
OG0000028	El007G348580	jg26958, jg13640, jg2465
OG0000028	El007G334290	jg33138, jg30060, jg20837
OG0000028	El007G352000	jg21311
OG0000029	El003G179090	jg16768
OG0000029	El001G046730	jg1946
OG0000029	El006G307470	jg17949
OG0000030	El007G358700	jg32294, jg33373
OG0000030	El008G371380, El007G349640	jg6978
OG0000030	El003G181950	jg12236
OG0000030	El002G130810	jg20585
OG0000030	El003G181960	jg11609
OG0000030	El003G178390, El003G178450	jg900, jg26487, jg11586, jg11588
OG0000030	El004G207450	jg2222
OG0000030	El004G207460	jg2223
OG0000031	El004G208470, El004G208460	jg612, jg644, jg610
OG0000031	El004G197790	jg663
OG0000031	El004G197660	jg642
