Orthogroup	Erysimum_linariifolium	Cardamine_hirsuta
OG0000005	El001G038630	CARHR034640, CARHR017910, CARHR145720
OG0000005	El003G166140, El001G039730	CARHR217600
OG0000005	El006G313160	CARHR091740
OG0000005	El002G123530	CARHR248000
OG0000006	El004G209180	CARHR262640
OG0000007	El007G349510	CARHR034550
OG0000008	El007G351000	CARHR114970, CARHR117380, CARHR149870
OG0000008	El001G021720	CARHR111800, CARHR114980
OG0000008	El001G021990, El001G021710	CARHR161340, CARHR161350
OG0000008	El003G174670	CARHR161300, CARHR161310, CARHR161290
OG0000011	El004G200940	CARHR190150, CARHR151420, CARHR057040
OG0000011	El002G082610	CARHR060340, CARHR032700
OG0000013	El007G353330, El004G207030, El006G312640, El003G182060	CARHR218430, CARHR058120
OG0000013	El001G045710	CARHR259710, CARHR057870, CARHR288340
OG0000015	El060G376140, El053G375740	CARHR258200, CARHR055900
OG0000018	El002G082650	CARHR146600
OG0000019	El002G122780, El006G281410, El004G213790	CARHR218510
OG0000020	El003G191190	CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870
OG0000020	El002G120700, El006G296260	CARHR287070
OG0000020	El005G264160	CARHR159330, CARHR114460
OG0000020	El001G045330, El001G045300, El001G045270	CARHR266450, CARHR035020, CARHR108040, CARHR158140
OG0000023	El007G357800	CARHR230510
OG0000023	El001G007540	CARHR255070
OG0000023	El003G162170	CARHR230390, CARHR230400
OG0000023	El003G162130	CARHR230300
OG0000023	El003G192470	CARHR230350
OG0000025	El001G014130, El001G014870, El001G014670, El003G176790	CARHR100780
OG0000025	El007G338170, El007G338190, El007G338230	CARHR267660
OG0000025	El007G338200	CARHR267520
OG0000025	El003G176780, El001G014170	CARHR285330
OG0000026	El003G164110, El005G264370	CARHR215490
OG0000027	El002G120570	CARHR030460
OG0000027	El001G054130	CARHR030420
OG0000027	El006G316890, El006G314010	CARHR030890, CARHR031230
OG0000027	El002G120540	CARHR113190
OG0000027	El002G117730	CARHR045190
OG0000027	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820	CARHR062310
OG0000027	El001G029050	CARHR167830
OG0000028	El007G351990	CARHR153130
OG0000028	El007G352000	CARHR116610, CARHR153140
OG0000029	El008G371400, El008G371420, El008G371370, El008G371360	CARHR287350
OG0000029	El001G046730	CARHR287660
OG0000029	El006G307470	CARHR213600
OG0000030	El007G358700, El008G371380, El007G349640, El003G181950	CARHR181500
OG0000030	El002G130810	CARHR108100, CARHR262520, CARHR029190, CARHR119670, CARHR035080, CARHR106930, CARHR110000, CARHR102250, CARHR289810, CARHR103350, CARHR112880
OG0000030	El004G207450	CARHR260310
OG0000030	El004G207460	CARHR154720
OG0000031	El004G197660	CARHR049170
OG0000031	El007G349520	CARHR048190, CARHR051150, CARHR047980
OG0000031	El002G096100	CARHR012910
OG0000031	El003G192370	CARHR213210
OG0000031	El005G253470	CARHR091960
OG0000031	El003G157520	CARHR234420
OG0000031	El002G127940, El004G193990	CARHR046360
OG0000033	El003G162140	CARHR230270
OG0000033	El003G162150	CARHR230290
OG0000033	El003G192480	CARHR230320
OG0000033	El003G164670	CARHR228010, CARHR228050, CARHR228080, CARHR228070, CARHR228060
OG0000033	El005G273190	CARHR106160
OG0000033	El003G162220	CARHR230200
OG0000033	El001G014890	CARHR230600
OG0000033	El001G004730	CARHR252350
OG0000035	El001G033250	CARHR171670, CARHR219290
OG0000038	El006G282510	CARHR141500
OG0000038	El002G110410, El002G110580, El002G110340	CARHR024990
OG0000038	El001G019410	CARHR158480, CARHR158470, CARHR158440
OG0000038	El007G341120	CARHR265450
OG0000038	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600, El007G360640	CARHR178840
OG0000040	El005G250180	CARHR088870
OG0000044	El002G124130	CARHR117470
OG0000044	El007G357580, El007G365520, El003G186540	CARHR159290, CARHR150320
OG0000044	El007G360870	CARHR286710, CARHR217190, CARHR273180, CARHR150330, CARHR152970, CARHR258020, CARHR104690, CARHR159300, CARHR215510, CARHR037550, CARHR118760
OG0000046	El003G188710	CARHR263410
OG0000046	El003G186960, El003G186970	CARHR214340
OG0000046	El003G168460	CARHR225000, CARHR225010
OG0000046	El004G216670	CARHR059320, CARHR059230, CARHR124320
OG0000046	El004G216620	CARHR059090
OG0000046	El004G216850, El004G216660	CARHR059250
OG0000046	El004G216560, El004G216600	CARHR059140, CARHR059070, CARHR059130
OG0000046	El004G216760	CARHR059360, CARHR263420
OG0000046	El003G186880, El003G186940	CARHR214430
OG0000048	El005G238400, El005G238360	CARHR077930
OG0000048	El003G193700	CARHR077950
OG0000048	El006G321480	CARHR112070
